asset,year,region,technology,installed,capacity
0,2020,R1,gassupply1,2020,30.00000000000
0,2025,R1,gassupply1,2020,31.15950000000
0,2030,R1,gassupply1,2020,15.93330000000
0,2035,R1,gassupply1,2020,0.93330000000
0,2040,R1,gassupply1,2020,0.93330000000
0,2045,R1,gassupply1,2020,0.93330000000
0,2050,R1,gassupply1,2020,0.93330000000
0,2059,R1,gassupply1,2020,1.15950000000
1,2020,R2,gassupply1,2020,15.00000000000
1,2025,R2,gassupply1,2020,15.57970000000
1,2030,R2,gassupply1,2020,8.07970000000
1,2035,R2,gassupply1,2020,0.57970000000
1,2040,R2,gassupply1,2020,0.57970000000
1,2045,R2,gassupply1,2020,0.57970000000
1,2050,R2,gassupply1,2020,0.57970000000
1,2059,R2,gassupply1,2020,0.57970000000
