technology,region,agent,type,sector,capacity,year
gasboiler,R1,A1,retrofit,residential,10.00000000000,2020
gasboiler,R1,A2,retrofit,residential,10.00000000000,2020
gasboiler,R2,A2,retrofit,residential,10.00000000000,2020
gasCCGT,R1,A1,retrofit,power,1.00000000000,2020
gasCCGT,R1,A2,retrofit,power,1.00000000000,2020
gasCCGT,R2,A2,retrofit,power,1.00000000000,2020
gassupply1,R1,A1,retrofit,gas,15.00000000000,2020
gassupply1,R1,A2,retrofit,gas,15.00000000000,2020
gassupply1,R2,A2,retrofit,gas,15.00000000000,2020
gasboiler,R1,A1,retrofit,residential,5.00000000000,2025
heatpump,R1,A1,retrofit,residential,11.00000000000,2025
gasboiler,R1,A2,retrofit,residential,5.00000000000,2025
heatpump,R1,A2,retrofit,residential,11.00000000000,2025
gasboiler,R2,A2,retrofit,residential,5.00000000000,2025
heatpump,R2,A2,retrofit,residential,27.00000000000,2025
gasCCGT,R1,A1,retrofit,power,1.00000000000,2025
solarPV,R1,A1,retrofit,power,3.75000000000,2025
windturbine,R1,A1,retrofit,power,10.00000000000,2025
gasCCGT,R1,A2,retrofit,power,1.00000000000,2025
solarPV,R1,A2,retrofit,power,3.75000000000,2025
windturbine,R1,A2,retrofit,power,10.00000000000,2025
gasCCGT,R2,A2,retrofit,power,1.00000000000,2025
solarPV,R2,A2,retrofit,power,4.75000000000,2025
windturbine,R2,A2,retrofit,power,25.00000000000,2025
gassupply1,R1,A1,retrofit,gas,15.57970000000,2025
gassupply1,R1,A2,retrofit,gas,15.57970000000,2025
gassupply1,R2,A2,retrofit,gas,15.57970000000,2025
gasboiler,R1,A1,retrofit,residential,3.90000000000,2030
heatpump,R1,A1,retrofit,residential,16.10000000000,2030
gasboiler,R1,A2,retrofit,residential,3.90000000000,2030
heatpump,R1,A2,retrofit,residential,16.10000000000,2030
gasboiler,R2,A2,retrofit,residential,2.30000000000,2030
heatpump,R2,A2,retrofit,residential,37.70000000000,2030
gasCCGT,R1,A1,retrofit,power,0.38890000000,2030
solarPV,R1,A1,retrofit,power,8.67670000000,2030
windturbine,R1,A1,retrofit,power,21.00000000000,2030
gasCCGT,R1,A2,retrofit,power,0.38890000000,2030
solarPV,R1,A2,retrofit,power,8.67670000000,2030
windturbine,R1,A2,retrofit,power,21.00000000000,2030
solarPV,R2,A2,retrofit,power,9.88790000000,2030
windturbine,R2,A2,retrofit,power,52.25000000000,2030
gassupply1,R1,A1,retrofit,gas,11.74370000000,2030
gassupply1,R1,A2,retrofit,gas,11.74370000000,2030
gassupply1,R2,A2,retrofit,gas,8.07970000000,2030
gasboiler,R1,A1,retrofit,residential,3.90000000000,2035
heatpump,R1,A1,retrofit,residential,20.10000000000,2035
gasboiler,R1,A2,retrofit,residential,3.90000000000,2035
heatpump,R1,A2,retrofit,residential,20.10000000000,2035
gasboiler,R2,A2,retrofit,residential,2.30000000000,2035
heatpump,R2,A2,retrofit,residential,45.70000000000,2035
gasCCGT,R1,A1,retrofit,power,0.38890000000,2035
solarPV,R1,A1,retrofit,power,8.67670000000,2035
windturbine,R1,A1,retrofit,power,25.57550000000,2035
gasCCGT,R1,A2,retrofit,power,0.38890000000,2035
solarPV,R1,A2,retrofit,power,8.67670000000,2035
windturbine,R1,A2,retrofit,power,25.57550000000,2035
solarPV,R2,A2,retrofit,power,9.88790000000,2035
windturbine,R2,A2,retrofit,power,61.45750000000,2035
gassupply1,R1,A1,retrofit,gas,12.38420000000,2035
gassupply1,R1,A2,retrofit,gas,12.38420000000,2035
gassupply1,R2,A2,retrofit,gas,6.46790000000,2035
gasboiler,R1,A1,retrofit,residential,1.89000000000,2040
heatpump,R1,A1,retrofit,residential,26.11000000000,2040
gasboiler,R1,A2,retrofit,residential,1.89000000000,2040
heatpump,R1,A2,retrofit,residential,26.11000000000,2040
heatpump,R2,A2,retrofit,residential,56.00000000000,2040
gasCCGT,R1,A1,retrofit,power,0.38890000000,2040
solarPV,R1,A1,retrofit,power,16.77220000000,2040
windturbine,R1,A1,retrofit,power,35.57550000000,2040
gasCCGT,R1,A2,retrofit,power,0.38890000000,2040
solarPV,R1,A2,retrofit,power,16.77220000000,2040
windturbine,R1,A2,retrofit,power,35.57550000000,2040
solarPV,R2,A2,retrofit,power,17.21820000000,2040
windturbine,R2,A2,retrofit,power,86.45750000000,2040
gassupply1,R1,A1,retrofit,gas,12.38420000000,2040
gassupply1,R1,A2,retrofit,gas,12.38420000000,2040
gassupply1,R2,A2,retrofit,gas,6.46790000000,2040
