asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,2.00000000000
0,2025,R1,gasCCGT,2020,2.00000000000
1,2025,R1,solarPV,2020,7.50000000000
1,2049,R1,solarPV,2020,7.50000000000
2,2025,R1,windturbine,2020,20.00000000000
2,2049,R1,windturbine,2020,20.00000000000
3,2020,R2,gasCCGT,2020,1.00000000000
3,2025,R2,gasCCGT,2020,1.00000000000
4,2025,R2,solarPV,2020,4.75000000000
4,2049,R2,solarPV,2020,4.75000000000
5,2025,R2,windturbine,2020,25.00000000000
5,2049,R2,windturbine,2020,25.00000000000
