commodity,asset,year,region,installed,technology,supply
heat,2,2024,R1,2020,gasboiler,12.00000000000
heat,2,2026,R1,2020,gasboiler,5.00000000000
heat,3,2024,R1,2020,heatpump,17.46670000000
heat,3,2026,R1,2020,heatpump,19.20000000000
heat,3,2029,R1,2020,heatpump,21.80000000000
heat,7,2024,R1,2022,heatpump,7.20000000000
heat,7,2026,R1,2022,heatpump,7.20000000000
heat,7,2029,R1,2022,heatpump,7.20000000000
heat,11,2026,R1,2024,heatpump,9.20000000000
heat,11,2029,R1,2024,heatpump,9.20000000000
heat,14,2024,R2,2020,gasboiler,6.00000000000
heat,14,2026,R2,2020,gasboiler,2.50000000000
heat,15,2024,R2,2020,heatpump,17.46670000000
heat,15,2026,R2,2020,heatpump,19.20000000000
heat,15,2029,R2,2020,heatpump,21.80000000000
heat,19,2024,R2,2022,heatpump,5.20000000000
heat,19,2026,R2,2022,heatpump,5.20000000000
heat,19,2029,R2,2022,heatpump,5.20000000000
heat,23,2026,R2,2024,heatpump,6.20000000000
heat,23,2029,R2,2024,heatpump,6.00000000000
CO2f,2,2024,R1,2020,gasboiler,776.52000000000
CO2f,2,2026,R1,2020,gasboiler,323.55000000000
CO2f,14,2024,R2,2020,gasboiler,379.86000000000
CO2f,14,2026,R2,2020,gasboiler,158.27500000000
cook,0,2024,R1,2020,electric_stove,0.40000000000
cook,1,2024,R1,2020,gas_stove,17.76670000000
cook,1,2026,R1,2020,gas_stove,18.90000000000
cook,1,2029,R1,2020,gas_stove,19.33330000000
cook,5,2024,R1,2022,gas_stove,6.13330000000
cook,5,2026,R1,2022,gas_stove,6.13330000000
cook,5,2029,R1,2022,gas_stove,6.13330000000
cook,9,2026,R1,2024,gas_stove,8.13330000000
cook,9,2029,R1,2024,gas_stove,8.13330000000
cook,12,2024,R2,2020,electric_stove,0.20000000000
cook,13,2024,R2,2020,gas_stove,14.06670000000
cook,13,2026,R2,2020,gas_stove,14.60000000000
cook,13,2029,R2,2020,gas_stove,15.40000000000
cook,17,2024,R2,2022,gas_stove,0.40000000000
cook,17,2026,R2,2022,gas_stove,0.40000000000
cook,17,2029,R2,2022,gas_stove,0.40000000000
cook,21,2026,R2,2024,gas_stove,4.06670000000
cook,21,2029,R2,2024,gas_stove,4.06670000000
