asset,capacity,installed,region,technology,year
0,15.00000000000,2020,R1,gassupply1,2020
0,16.73530000000,2020,R1,gassupply1,2025
0,9.23530000000,2020,R1,gassupply1,2030
1,9.28910000000,2025,R1,gassupply1,2030
0,1.73530000000,2020,R1,gassupply1,2035
1,9.28910000000,2025,R1,gassupply1,2035
2,7.47410000000,2030,R1,gassupply1,2035
0,1.73530000000,2020,R1,gassupply1,2040
1,9.28910000000,2025,R1,gassupply1,2040
2,7.47410000000,2030,R1,gassupply1,2040
0,1.73530000000,2020,R1,gassupply1,2045
1,9.28910000000,2025,R1,gassupply1,2045
2,7.47410000000,2030,R1,gassupply1,2045
0,1.73530000000,2020,R1,gassupply1,2050
1,9.28910000000,2025,R1,gassupply1,2050
2,7.47410000000,2030,R1,gassupply1,2050
