,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
2,A1,10.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
0,A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
0,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
2,A1,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
7,A1,19.00000000000,R1,16,2020,R1,residential,heatpump,retrofit,2025
2,A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
12,A1,10.00000000000,R1,22,2020,R1,power,solarPV,retrofit,2025
25,A1,6.75000000000,R1,44,2020,R1,power,windturbine,retrofit,2025
2,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
2,A1,4.10000000000,R1,0,2025,R1,residential,gasboiler,retrofit,2030
6,A1,19.00000000000,R1,8,2020,R1,residential,heatpump,retrofit,2030
7,A1,6.90000000000,R1,9,2025,R1,residential,heatpump,retrofit,2030
0,A1,3.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2030
11,A1,10.00000000000,R1,12,2020,R1,power,solarPV,retrofit,2030
12,A1,2.40000000000,R1,13,2025,R1,power,solarPV,retrofit,2030
31,A1,6.75000000000,R1,48,2020,R1,power,windturbine,retrofit,2030
0,A1,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
1,A1,2.79440000000,R1,1,2025,R1,gas,gassupply1,retrofit,2030
2,A1,4.10000000000,R1,0,2025,R1,residential,gasboiler,retrofit,2035
8,A1,6.90000000000,R1,14,2025,R1,residential,heatpump,retrofit,2035
9,A1,25.00000000000,R1,15,2030,R1,residential,heatpump,retrofit,2035
0,A1,3.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2035
21,A1,10.00000000000,R1,26,2020,R1,power,solarPV,retrofit,2035
22,A1,2.40000000000,R1,27,2025,R1,power,solarPV,retrofit,2035
23,A1,6.00000000000,R1,28,2030,R1,power,solarPV,retrofit,2035
48,A1,6.75000000000,R1,78,2020,R1,power,windturbine,retrofit,2035
0,A1,2.79440000000,R1,0,2025,R1,gas,gassupply1,retrofit,2035
1,A1,7.50000000000,R1,1,2030,R1,gas,gassupply1,retrofit,2035
2,A1,0.91000000000,R1,0,2035,R1,residential,gasboiler,retrofit,2040
6,A1,25.00000000000,R1,7,2030,R1,residential,heatpump,retrofit,2040
7,A1,16.09000000000,R1,8,2035,R1,residential,heatpump,retrofit,2040
0,A1,3.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2040
1,A1,0.72440000000,R1,1,2035,R1,power,gasCCGT,retrofit,2040
20,A1,10.00000000000,R1,24,2020,R1,power,solarPV,retrofit,2040
21,A1,2.40000000000,R1,25,2025,R1,power,solarPV,retrofit,2040
22,A1,6.00000000000,R1,26,2030,R1,power,solarPV,retrofit,2040
23,A1,10.00000000000,R1,27,2035,R1,power,solarPV,retrofit,2040
44,A1,6.75000000000,R1,72,2020,R1,power,windturbine,retrofit,2040
45,A1,6.75000000000,R1,73,2035,R1,power,windturbine,retrofit,2040
0,A1,2.79440000000,R1,0,2025,R1,gas,gassupply1,retrofit,2040
1,A1,7.50000000000,R1,1,2030,R1,gas,gassupply1,retrofit,2040
2,A1,0.91000000000,R1,0,2035,R1,residential,gasboiler,retrofit,2045
4,A1,16.09000000000,R1,7,2035,R1,residential,heatpump,retrofit,2045
5,A1,31.00000000000,R1,8,2040,R1,residential,heatpump,retrofit,2045
2,A1,3.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2045
3,A1,0.72440000000,R1,1,2035,R1,power,gasCCGT,retrofit,2045
20,A1,10.00000000000,R1,22,2020,R1,power,solarPV,retrofit,2045
21,A1,2.40000000000,R1,23,2025,R1,power,solarPV,retrofit,2045
22,A1,6.00000000000,R1,24,2030,R1,power,solarPV,retrofit,2045
23,A1,10.00000000000,R1,25,2035,R1,power,solarPV,retrofit,2045
48,A1,6.75000000000,R1,77,2020,R1,power,windturbine,retrofit,2045
49,A1,6.75000000000,R1,78,2035,R1,power,windturbine,retrofit,2045
0,A1,2.79440000000,R1,0,2025,R1,gas,gassupply1,retrofit,2045
1,A1,7.50000000000,R1,1,2030,R1,gas,gassupply1,retrofit,2045
0,A1,31.00000000000,R1,0,2040,R1,residential,heatpump,retrofit,2050
1,A1,23.00000000000,R1,1,2045,R1,residential,heatpump,retrofit,2050
0,A1,3.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2050
1,A1,0.72440000000,R1,1,2035,R1,power,gasCCGT,retrofit,2050
14,A1,2.40000000000,R1,22,2025,R1,power,solarPV,retrofit,2050
15,A1,6.00000000000,R1,23,2030,R1,power,solarPV,retrofit,2050
16,A1,10.00000000000,R1,24,2035,R1,power,solarPV,retrofit,2050
17,A1,16.91000000000,R1,25,2045,R1,power,solarPV,retrofit,2050
42,A1,6.75000000000,R1,77,2035,R1,power,windturbine,retrofit,2050
43,A1,3.56000000000,R1,78,2045,R1,power,windturbine,retrofit,2050
0,A1,2.79440000000,R1,0,2025,R1,gas,gassupply1,retrofit,2050
1,A1,7.50000000000,R1,1,2030,R1,gas,gassupply1,retrofit,2050
