,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
4,A1,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
15,A2,5.00000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2020
0,A1,0.50000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
21,A2,0.50000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
0,A1,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
3,A2,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
0,A1,2.50000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
3,A1,9.50000000000,R1,7,2020,R1,residential,heatpump,retrofit,2025
6,A2,2.50000000000,R1,0,2020,R1,residential,gasboiler,retrofit,2025
9,A2,278.09670000000,R1,7,2020,R1,residential,heatpump,retrofit,2025
0,A1,0.50000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
14,A1,5.33500000000,R1,18,2020,R1,power,windturbine,retrofit,2025
20,A2,0.50000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
34,A2,211.05640000000,R1,18,2020,R1,power,windturbine,retrofit,2025
0,A1,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
2,A2,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
9,A1,9.50000000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
23,A2,278.09670000000,R1,14,2020,R1,residential,heatpump,retrofit,2030
12,A1,5.33500000000,R1,16,2020,R1,power,windturbine,retrofit,2030
29,A2,211.05640000000,R1,16,2020,R1,power,windturbine,retrofit,2030
2,A1,3.75000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
10,A2,3.75000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
3,A1,18.00000000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
9,A2,283.07480000000,R1,5,2030,R1,residential,heatpump,retrofit,2035
10,A1,5.33500000000,R1,14,2020,R1,power,windturbine,retrofit,2035
24,A2,211.05640000000,R1,14,2020,R1,power,windturbine,retrofit,2035
5,A2,41.22330000000,R1,0,2030,R1,gas,gassupply1,retrofit,2035
9,A1,18.00000000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
23,A2,283.07480000000,R1,12,2030,R1,residential,heatpump,retrofit,2040
8,A1,5.33500000000,R1,12,2020,R1,power,windturbine,retrofit,2040
19,A2,211.05640000000,R1,12,2020,R1,power,windturbine,retrofit,2040
4,A2,41.22330000000,R1,0,2030,R1,gas,gassupply1,retrofit,2040
3,A1,24.00000000000,R1,4,2040,R1,residential,heatpump,retrofit,2045
9,A2,284.59250000000,R1,4,2040,R1,residential,heatpump,retrofit,2045
24,A1,5.33500000000,R1,36,2020,R1,power,windturbine,retrofit,2045
54,A2,211.05640000000,R1,36,2020,R1,power,windturbine,retrofit,2045
3,A2,41.22330000000,R1,0,2030,R1,gas,gassupply1,retrofit,2045
4,A1,24.00000000000,R1,10,2040,R1,residential,heatpump,retrofit,2050
12,A2,284.59250000000,R1,10,2040,R1,residential,heatpump,retrofit,2050
10,A1,3.00000000000,R1,16,2045,R1,power,solarPV,retrofit,2050
15,A1,24.00000000000,R1,24,2045,R1,power,windturbine,retrofit,2050
30,A2,241.64550000000,R1,16,2045,R1,power,solarPV,retrofit,2050
35,A2,23.99980000000,R1,24,2045,R1,power,windturbine,retrofit,2050
3,A2,41.22330000000,R1,0,2030,R1,gas,gassupply1,retrofit,2050
