asset,year,region,technology,installed,capacity
1,2030,R1,gasCCGT,2025,0.13070000000
1,2035,R1,gasCCGT,2025,0.13070000000
1,2040,R1,gasCCGT,2025,0.13070000000
1,2045,R1,gasCCGT,2025,0.13070000000
1,2049,R1,gasCCGT,2025,0.13070000000
1,2050,R1,gasCCGT,2025,0.13070000000
1,2054,R1,gasCCGT,2025,0.13070000000
1,2055,R1,gasCCGT,2025,0.13070000000
1,2059,R1,gasCCGT,2025,0.13070000000
1,2060,R1,gasCCGT,2025,0.13070000000
1,2064,R1,gasCCGT,2025,0.13070000000
3,2030,R1,solarPV,2020,10.00000000000
3,2035,R1,solarPV,2020,10.00000000000
3,2040,R1,solarPV,2020,10.00000000000
3,2045,R1,solarPV,2020,10.00000000000
3,2049,R1,solarPV,2020,10.00000000000
4,2030,R1,solarPV,2025,1.00000000000
4,2035,R1,solarPV,2025,1.00000000000
4,2040,R1,solarPV,2025,1.00000000000
4,2045,R1,solarPV,2025,1.00000000000
4,2049,R1,solarPV,2025,1.00000000000
4,2050,R1,solarPV,2025,1.00000000000
4,2054,R1,solarPV,2025,1.00000000000
5,2035,R1,solarPV,2030,11.32730000000
5,2059,R1,solarPV,2030,11.32730000000
6,2030,R1,windturbine,2020,17.73070000000
6,2035,R1,windturbine,2020,17.73070000000
6,2040,R1,windturbine,2020,17.73070000000
6,2045,R1,windturbine,2020,17.73070000000
6,2049,R1,windturbine,2020,17.73070000000
7,2030,R1,windturbine,2025,1.72340000000
7,2035,R1,windturbine,2025,1.72340000000
7,2040,R1,windturbine,2025,1.72340000000
7,2045,R1,windturbine,2025,1.72340000000
7,2049,R1,windturbine,2025,1.72340000000
7,2050,R1,windturbine,2025,1.72340000000
7,2054,R1,windturbine,2025,1.72340000000
8,2035,R1,windturbine,2030,10.00000000000
8,2059,R1,windturbine,2030,10.00000000000
