timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2030,1,R1,heatpump,2020,all-year,all-week,night,1.66670000000
0,heat,2035,0,R1,gasboiler,2030,all-year,all-week,night,0.10590000000
0,heat,2035,2,R1,heatpump,2030,all-year,all-week,night,1.89410000000
0,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,night,6.85160000000
1,heat,2030,1,R1,heatpump,2020,all-year,all-week,morning,2.50000000000
1,heat,2035,0,R1,gasboiler,2030,all-year,all-week,morning,0.15880000000
1,heat,2035,2,R1,heatpump,2030,all-year,all-week,morning,2.84120000000
1,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,morning,10.27750000000
2,heat,2030,1,R1,heatpump,2020,all-year,all-week,afternoon,1.66670000000
2,heat,2035,0,R1,gasboiler,2030,all-year,all-week,afternoon,0.10590000000
2,heat,2035,2,R1,heatpump,2030,all-year,all-week,afternoon,1.89410000000
2,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,afternoon,6.85160000000
3,heat,2030,1,R1,heatpump,2020,all-year,all-week,early-peak,2.50000000000
3,heat,2035,0,R1,gasboiler,2030,all-year,all-week,early-peak,0.15880000000
3,heat,2035,2,R1,heatpump,2030,all-year,all-week,early-peak,2.84120000000
3,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,early-peak,10.27750000000
4,heat,2030,1,R1,heatpump,2020,all-year,all-week,late-peak,5.00000000000
4,heat,2035,0,R1,gasboiler,2030,all-year,all-week,late-peak,0.31760000000
4,heat,2035,2,R1,heatpump,2030,all-year,all-week,late-peak,5.68240000000
4,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,late-peak,20.55490000000
5,heat,2030,1,R1,heatpump,2020,all-year,all-week,evening,3.33330000000
5,heat,2035,0,R1,gasboiler,2030,all-year,all-week,evening,0.21180000000
5,heat,2035,2,R1,heatpump,2030,all-year,all-week,evening,3.78820000000
5,CO2f,2035,0,R1,gasboiler,2030,all-year,all-week,evening,13.70330000000
