timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2040,0,R1,all-year,all-week,night,gasboiler,2030,0.12350000000
0,heat,2040,2,R1,all-year,all-week,night,heatpump,2030,2.20980000000
0,heat,2045,1,R1,all-year,all-week,night,gasboiler,2040,0.13410000000
0,heat,2045,3,R1,all-year,all-week,night,heatpump,2040,2.53260000000
0,CO2f,2040,0,R1,all-year,all-week,night,gasboiler,2030,7.99360000000
0,CO2f,2045,1,R1,all-year,all-week,night,gasboiler,2040,8.67460000000
1,heat,2040,0,R1,all-year,all-week,morning,gasboiler,2030,0.18530000000
1,heat,2040,2,R1,all-year,all-week,morning,heatpump,2030,3.31470000000
1,heat,2045,1,R1,all-year,all-week,morning,gasboiler,2040,0.20110000000
1,heat,2045,3,R1,all-year,all-week,morning,heatpump,2040,3.79890000000
1,CO2f,2040,0,R1,all-year,all-week,morning,gasboiler,2030,11.99040000000
1,CO2f,2045,1,R1,all-year,all-week,morning,gasboiler,2040,13.01200000000
2,heat,2040,0,R1,all-year,all-week,afternoon,gasboiler,2030,0.12350000000
2,heat,2040,2,R1,all-year,all-week,afternoon,heatpump,2030,2.20980000000
2,heat,2045,1,R1,all-year,all-week,afternoon,gasboiler,2040,0.13410000000
2,heat,2045,3,R1,all-year,all-week,afternoon,heatpump,2040,2.53260000000
2,CO2f,2040,0,R1,all-year,all-week,afternoon,gasboiler,2030,7.99360000000
2,CO2f,2045,1,R1,all-year,all-week,afternoon,gasboiler,2040,8.67460000000
3,heat,2040,0,R1,all-year,all-week,early-peak,gasboiler,2030,0.18530000000
3,heat,2040,2,R1,all-year,all-week,early-peak,heatpump,2030,3.31470000000
3,heat,2045,1,R1,all-year,all-week,early-peak,gasboiler,2040,0.20110000000
3,heat,2045,3,R1,all-year,all-week,early-peak,heatpump,2040,3.79890000000
3,CO2f,2040,0,R1,all-year,all-week,early-peak,gasboiler,2030,11.99040000000
3,CO2f,2045,1,R1,all-year,all-week,early-peak,gasboiler,2040,13.01200000000
4,heat,2040,0,R1,all-year,all-week,late-peak,gasboiler,2030,0.37060000000
4,heat,2040,2,R1,all-year,all-week,late-peak,heatpump,2030,6.62940000000
4,heat,2045,1,R1,all-year,all-week,late-peak,gasboiler,2040,0.40220000000
4,heat,2045,3,R1,all-year,all-week,late-peak,heatpump,2040,7.59780000000
4,CO2f,2040,0,R1,all-year,all-week,late-peak,gasboiler,2030,23.98080000000
4,CO2f,2045,1,R1,all-year,all-week,late-peak,gasboiler,2040,26.02390000000
5,heat,2040,0,R1,all-year,all-week,evening,gasboiler,2030,0.24710000000
5,heat,2040,2,R1,all-year,all-week,evening,heatpump,2030,4.41960000000
5,heat,2045,1,R1,all-year,all-week,evening,gasboiler,2040,0.26810000000
5,heat,2045,3,R1,all-year,all-week,evening,heatpump,2040,5.06520000000
5,CO2f,2040,0,R1,all-year,all-week,evening,gasboiler,2030,15.98720000000
5,CO2f,2045,1,R1,all-year,all-week,evening,gasboiler,2040,17.34930000000
