timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,heat,2050,2,R1,2040,gasboiler,all-year,all-week,night,1.45300000000
0,heat,2050,3,R1,2040,heatpump,all-year,all-week,night,1.54700000000
0,heat,2055,4,R1,2050,gasboiler,all-year,all-week,night,1.39830000000
0,heat,2055,5,R1,2050,heatpump,all-year,all-week,night,1.60170000000
0,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,night,94.02410000000
0,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,night,90.48510000000
1,heat,2050,2,R1,2040,gasboiler,all-year,all-week,morning,2.17950000000
1,heat,2050,3,R1,2040,heatpump,all-year,all-week,morning,2.32050000000
1,heat,2055,4,R1,2050,gasboiler,all-year,all-week,morning,2.09750000000
1,heat,2055,5,R1,2050,heatpump,all-year,all-week,morning,2.40250000000
1,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,morning,141.03620000000
1,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,morning,135.72760000000
2,heat,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,1.45300000000
2,heat,2050,3,R1,2040,heatpump,all-year,all-week,afternoon,1.54700000000
2,heat,2055,4,R1,2050,gasboiler,all-year,all-week,afternoon,1.39830000000
2,heat,2055,5,R1,2050,heatpump,all-year,all-week,afternoon,1.60170000000
2,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,94.02410000000
2,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,afternoon,90.48510000000
3,heat,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,2.17950000000
3,heat,2050,3,R1,2040,heatpump,all-year,all-week,early-peak,2.32050000000
3,heat,2055,4,R1,2050,gasboiler,all-year,all-week,early-peak,2.09750000000
3,heat,2055,5,R1,2050,heatpump,all-year,all-week,early-peak,2.40250000000
3,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,141.03620000000
3,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,early-peak,135.72760000000
4,heat,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,4.35900000000
4,heat,2050,3,R1,2040,heatpump,all-year,all-week,late-peak,4.64100000000
4,heat,2055,4,R1,2050,gasboiler,all-year,all-week,late-peak,4.19500000000
4,heat,2055,5,R1,2050,heatpump,all-year,all-week,late-peak,4.80500000000
4,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,282.07230000000
4,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,late-peak,271.45520000000
5,heat,2050,2,R1,2040,gasboiler,all-year,all-week,evening,2.90600000000
5,heat,2050,3,R1,2040,heatpump,all-year,all-week,evening,3.09400000000
5,heat,2055,4,R1,2050,gasboiler,all-year,all-week,evening,2.79660000000
5,heat,2055,5,R1,2050,heatpump,all-year,all-week,evening,3.20340000000
5,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,evening,188.04820000000
5,CO2f,2055,4,R1,2050,gasboiler,all-year,all-week,evening,180.97020000000
