technology,dst_region,region,agent,sector,type,year,capacity
gasboiler,R1,R1,A1,residential,newcapa,2020,5.00000000000
gasboiler,R1,R1,A2,residential,newcapa,2020,5.00000000000
gasCCGT,R1,R1,A1,power,newcapa,2020,0.50000000000
gasCCGT,R1,R1,A2,power,newcapa,2020,0.50000000000
gassupply1,R1,R1,A1,gas,newcapa,2020,7.50000000000
gassupply1,R1,R1,A2,gas,newcapa,2020,7.50000000000
gasboiler,R1,R1,A1,residential,newcapa,2025,2.50000000000
heatpump,R1,R1,A1,residential,newcapa,2025,9.50000000000
gasboiler,R1,R1,A2,residential,newcapa,2025,2.50000000000
heatpump,R1,R1,A2,residential,newcapa,2025,9.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2025,2.36110000000
gasCCGT,R1,R1,A2,power,newcapa,2025,2.36110000000
gassupply1,R1,R1,A1,gas,newcapa,2025,8.88670000000
gassupply1,R1,R1,A2,gas,newcapa,2025,8.88670000000
heatpump,R1,R1,A1,residential,newcapa,2030,9.50000000000
heatpump,R1,R1,A1,residential,newcapa,2030,5.50000000000
heatpump,R1,R1,A2,residential,newcapa,2030,9.50000000000
heatpump,R1,R1,A2,residential,newcapa,2030,5.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2030,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2030,4.80560000000
gasCCGT,R1,R1,A2,power,newcapa,2030,1.86110000000
gasCCGT,R1,R1,A2,power,newcapa,2030,4.80560000000
gassupply1,R1,R1,A1,gas,newcapa,2030,5.13670000000
gassupply1,R1,R1,A1,gas,newcapa,2030,5.99670000000
gassupply1,R1,R1,A2,gas,newcapa,2030,5.13670000000
gassupply1,R1,R1,A2,gas,newcapa,2030,5.99670000000
heatpump,R1,R1,A1,residential,newcapa,2035,5.50000000000
heatpump,R1,R1,A1,residential,newcapa,2035,12.50000000000
heatpump,R1,R1,A2,residential,newcapa,2035,5.50000000000
heatpump,R1,R1,A2,residential,newcapa,2035,12.50000000000
gasCCGT,R1,R1,A1,power,newcapa,2035,1.86110000000
gasCCGT,R1,R1,A1,power,newcapa,2035,4.80560000000
solarPV,R1,R1,A1,power,newcapa,2035,1.50000000000
gasCCGT,R1,R1,A2,power,newcapa,2035,1.86110000000
gasCCGT,R1,R1,A2,power,newcapa,2035,4.80560000000
