timeslice,commodity,year,asset,region,month,day,hour,technology,installed,supply
0,heat,2040,2,R1,all-year,all-week,night,gasboiler,2030,0.69440000000
0,heat,2040,3,R1,all-year,all-week,night,gasboiler,2035,0.47220000000
0,heat,2040,7,R1,all-year,all-week,night,heatpump,2030,0.69440000000
0,heat,2040,8,R1,all-year,all-week,night,heatpump,2035,0.47220000000
0,heat,2045,3,R1,all-year,all-week,night,gasboiler,2035,0.47220000000
0,heat,2045,4,R1,all-year,all-week,night,gasboiler,2040,0.86110000000
0,heat,2045,8,R1,all-year,all-week,night,heatpump,2035,0.47220000000
0,heat,2045,9,R1,all-year,all-week,night,heatpump,2040,0.86110000000
0,CO2f,2040,2,R1,all-year,all-week,night,gasboiler,2030,44.93750000000
0,CO2f,2040,3,R1,all-year,all-week,night,gasboiler,2035,30.55750000000
0,CO2f,2045,3,R1,all-year,all-week,night,gasboiler,2035,30.55750000000
0,CO2f,2045,4,R1,all-year,all-week,night,gasboiler,2040,55.72250000000
1,heat,2040,2,R1,all-year,all-week,morning,gasboiler,2030,1.04170000000
1,heat,2040,3,R1,all-year,all-week,morning,gasboiler,2035,0.70830000000
1,heat,2040,7,R1,all-year,all-week,morning,heatpump,2030,1.04170000000
1,heat,2040,8,R1,all-year,all-week,morning,heatpump,2035,0.70830000000
1,heat,2045,3,R1,all-year,all-week,morning,gasboiler,2035,0.70830000000
1,heat,2045,4,R1,all-year,all-week,morning,gasboiler,2040,1.29170000000
1,heat,2045,8,R1,all-year,all-week,morning,heatpump,2035,0.70830000000
1,heat,2045,9,R1,all-year,all-week,morning,heatpump,2040,1.29170000000
1,CO2f,2040,2,R1,all-year,all-week,morning,gasboiler,2030,67.40630000000
1,CO2f,2040,3,R1,all-year,all-week,morning,gasboiler,2035,45.83620000000
1,CO2f,2045,3,R1,all-year,all-week,morning,gasboiler,2035,45.83620000000
1,CO2f,2045,4,R1,all-year,all-week,morning,gasboiler,2040,83.58380000000
2,heat,2040,2,R1,all-year,all-week,afternoon,gasboiler,2030,0.69440000000
2,heat,2040,3,R1,all-year,all-week,afternoon,gasboiler,2035,0.47220000000
2,heat,2040,7,R1,all-year,all-week,afternoon,heatpump,2030,0.69440000000
2,heat,2040,8,R1,all-year,all-week,afternoon,heatpump,2035,0.47220000000
2,heat,2045,3,R1,all-year,all-week,afternoon,gasboiler,2035,0.47220000000
2,heat,2045,4,R1,all-year,all-week,afternoon,gasboiler,2040,0.86110000000
2,heat,2045,8,R1,all-year,all-week,afternoon,heatpump,2035,0.47220000000
2,heat,2045,9,R1,all-year,all-week,afternoon,heatpump,2040,0.86110000000
2,CO2f,2040,2,R1,all-year,all-week,afternoon,gasboiler,2030,44.93750000000
2,CO2f,2040,3,R1,all-year,all-week,afternoon,gasboiler,2035,30.55750000000
2,CO2f,2045,3,R1,all-year,all-week,afternoon,gasboiler,2035,30.55750000000
2,CO2f,2045,4,R1,all-year,all-week,afternoon,gasboiler,2040,55.72250000000
3,heat,2040,2,R1,all-year,all-week,early-peak,gasboiler,2030,1.04170000000
3,heat,2040,3,R1,all-year,all-week,early-peak,gasboiler,2035,0.70830000000
3,heat,2040,7,R1,all-year,all-week,early-peak,heatpump,2030,1.04170000000
3,heat,2040,8,R1,all-year,all-week,early-peak,heatpump,2035,0.70830000000
3,heat,2045,3,R1,all-year,all-week,early-peak,gasboiler,2035,0.70830000000
3,heat,2045,4,R1,all-year,all-week,early-peak,gasboiler,2040,1.29170000000
3,heat,2045,8,R1,all-year,all-week,early-peak,heatpump,2035,0.70830000000
3,heat,2045,9,R1,all-year,all-week,early-peak,heatpump,2040,1.29170000000
3,CO2f,2040,2,R1,all-year,all-week,early-peak,gasboiler,2030,67.40630000000
3,CO2f,2040,3,R1,all-year,all-week,early-peak,gasboiler,2035,45.83620000000
3,CO2f,2045,3,R1,all-year,all-week,early-peak,gasboiler,2035,45.83620000000
3,CO2f,2045,4,R1,all-year,all-week,early-peak,gasboiler,2040,83.58380000000
4,heat,2040,2,R1,all-year,all-week,late-peak,gasboiler,2030,2.08330000000
4,heat,2040,3,R1,all-year,all-week,late-peak,gasboiler,2035,1.41670000000
4,heat,2040,7,R1,all-year,all-week,late-peak,heatpump,2030,2.08330000000
4,heat,2040,8,R1,all-year,all-week,late-peak,heatpump,2035,1.41670000000
4,heat,2045,3,R1,all-year,all-week,late-peak,gasboiler,2035,1.41670000000
4,heat,2045,4,R1,all-year,all-week,late-peak,gasboiler,2040,2.58330000000
4,heat,2045,8,R1,all-year,all-week,late-peak,heatpump,2035,1.41670000000
4,heat,2045,9,R1,all-year,all-week,late-peak,heatpump,2040,2.58330000000
4,CO2f,2040,2,R1,all-year,all-week,late-peak,gasboiler,2030,134.81250000000
4,CO2f,2040,3,R1,all-year,all-week,late-peak,gasboiler,2035,91.67250000000
4,CO2f,2045,3,R1,all-year,all-week,late-peak,gasboiler,2035,91.67250000000
4,CO2f,2045,4,R1,all-year,all-week,late-peak,gasboiler,2040,167.16750000000
5,heat,2040,2,R1,all-year,all-week,evening,gasboiler,2030,1.38890000000
5,heat,2040,3,R1,all-year,all-week,evening,gasboiler,2035,0.94440000000
5,heat,2040,7,R1,all-year,all-week,evening,heatpump,2030,1.38890000000
5,heat,2040,8,R1,all-year,all-week,evening,heatpump,2035,0.94440000000
5,heat,2045,3,R1,all-year,all-week,evening,gasboiler,2035,0.94440000000
5,heat,2045,4,R1,all-year,all-week,evening,gasboiler,2040,1.72220000000
5,heat,2045,8,R1,all-year,all-week,evening,heatpump,2035,0.94440000000
5,heat,2045,9,R1,all-year,all-week,evening,heatpump,2040,1.72220000000
5,CO2f,2040,2,R1,all-year,all-week,evening,gasboiler,2030,89.87500000000
5,CO2f,2040,3,R1,all-year,all-week,evening,gasboiler,2035,61.11500000000
