timeslice,commodity,year,asset,region,installed,technology,month,day,hour,supply
0,heat,2045,2,R1,2040,gasboiler,all-year,all-week,night,0.41330000000
0,heat,2045,3,R1,2040,heatpump,all-year,all-week,night,2.25330000000
0,heat,2050,2,R1,2040,gasboiler,all-year,all-week,night,0.46500000000
0,heat,2050,3,R1,2040,heatpump,all-year,all-week,night,2.53500000000
0,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,night,26.74680000000
0,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,night,30.09010000000
1,heat,2045,2,R1,2040,gasboiler,all-year,all-week,morning,0.62000000000
1,heat,2045,3,R1,2040,heatpump,all-year,all-week,morning,3.38000000000
1,heat,2050,2,R1,2040,gasboiler,all-year,all-week,morning,0.69750000000
1,heat,2050,3,R1,2040,heatpump,all-year,all-week,morning,3.80250000000
1,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,morning,40.12020000000
1,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,morning,45.13520000000
2,heat,2045,2,R1,2040,gasboiler,all-year,all-week,afternoon,0.41330000000
2,heat,2045,3,R1,2040,heatpump,all-year,all-week,afternoon,2.25330000000
2,heat,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,0.46500000000
2,heat,2050,3,R1,2040,heatpump,all-year,all-week,afternoon,2.53500000000
2,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,afternoon,26.74680000000
2,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,afternoon,30.09010000000
3,heat,2045,2,R1,2040,gasboiler,all-year,all-week,early-peak,0.62000000000
3,heat,2045,3,R1,2040,heatpump,all-year,all-week,early-peak,3.38000000000
3,heat,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,0.69750000000
3,heat,2050,3,R1,2040,heatpump,all-year,all-week,early-peak,3.80250000000
3,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,early-peak,40.12020000000
3,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,early-peak,45.13520000000
4,heat,2045,2,R1,2040,gasboiler,all-year,all-week,late-peak,1.24000000000
4,heat,2045,3,R1,2040,heatpump,all-year,all-week,late-peak,6.76000000000
4,heat,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,1.39500000000
4,heat,2050,3,R1,2040,heatpump,all-year,all-week,late-peak,7.60500000000
4,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,late-peak,80.24040000000
4,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,late-peak,90.27040000000
5,heat,2045,2,R1,2040,gasboiler,all-year,all-week,evening,0.82670000000
5,heat,2045,3,R1,2040,heatpump,all-year,all-week,evening,4.50670000000
5,heat,2050,2,R1,2040,gasboiler,all-year,all-week,evening,0.93000000000
5,heat,2050,3,R1,2040,heatpump,all-year,all-week,evening,5.07000000000
5,CO2f,2045,2,R1,2040,gasboiler,all-year,all-week,evening,53.49360000000
5,CO2f,2050,2,R1,2040,gasboiler,all-year,all-week,evening,60.18030000000
