asset,year,region,technology,installed,capacity
0,2020,R1,gassupply1,2020,15.00000000000
0,2025,R1,gassupply1,2020,15.00000000000
0,2030,R1,gassupply1,2020,7.50000000000
1,2030,R1,gassupply1,2025,3.63330000000
1,2035,R1,gassupply1,2025,3.63330000000
1,2040,R1,gassupply1,2025,3.63330000000
1,2045,R1,gassupply1,2025,3.63330000000
1,2050,R1,gassupply1,2025,3.63330000000
1,2064,R1,gassupply1,2025,3.63330000000
2,2035,R1,gassupply1,2030,8.89170000000
2,2040,R1,gassupply1,2030,8.89170000000
2,2045,R1,gassupply1,2030,8.89170000000
2,2050,R1,gassupply1,2030,8.89170000000
2,2064,R1,gassupply1,2030,8.89170000000
2,2065,R1,gassupply1,2030,8.89170000000
2,2069,R1,gassupply1,2030,8.89170000000
