commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,R1,1.16000000000,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,R1,1.00000000000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,R1,64.71000000000,0,MUS$2010/kt,2020
gas,all-week,morning,all-year,R1,1.74000000000,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,R1,1.50000000000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,R1,97.06500000000,1,MUS$2010/kt,2020
gas,all-week,afternoon,all-year,R1,1.16000000000,2,MUS$2010/PJ,2020
heat,all-week,afternoon,all-year,R1,1.00000000000,2,MUS$2010/PJ,2020
CO2f,all-week,afternoon,all-year,R1,64.71000000000,2,MUS$2010/kt,2020
gas,all-week,early-peak,all-year,R1,1.74000000000,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,R1,1.50000000000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,R1,97.06500000000,3,MUS$2010/kt,2020
gas,all-week,late-peak,all-year,R1,3.48000000000,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,R1,3.00000000000,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,R1,194.13000000000,4,MUS$2010/kt,2020
gas,all-week,evening,all-year,R1,2.32000000000,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,R1,2.00000000000,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,R1,129.42000000000,5,MUS$2010/kt,2020
electricity,all-week,night,all-year,R1,0.21110000000,0,MUS$2010/PJ,2025
gas,all-week,night,all-year,R1,1.17820000000,0,MUS$2010/PJ,2025
heat,all-week,night,all-year,R1,1.33330000000,0,MUS$2010/PJ,2025
CO2f,all-week,night,all-year,R1,65.50960000000,0,MUS$2010/kt,2025
electricity,all-week,morning,all-year,R1,0.31670000000,1,MUS$2010/PJ,2025
gas,all-week,morning,all-year,R1,1.76730000000,1,MUS$2010/PJ,2025
heat,all-week,morning,all-year,R1,2.00000000000,1,MUS$2010/PJ,2025
CO2f,all-week,morning,all-year,R1,98.26440000000,1,MUS$2010/kt,2025
electricity,all-week,afternoon,all-year,R1,0.21110000000,2,MUS$2010/PJ,2025
gas,all-week,afternoon,all-year,R1,1.17820000000,2,MUS$2010/PJ,2025
heat,all-week,afternoon,all-year,R1,1.33330000000,2,MUS$2010/PJ,2025
CO2f,all-week,afternoon,all-year,R1,65.50960000000,2,MUS$2010/kt,2025
electricity,all-week,early-peak,all-year,R1,0.31670000000,3,MUS$2010/PJ,2025
gas,all-week,early-peak,all-year,R1,1.76730000000,3,MUS$2010/PJ,2025
heat,all-week,early-peak,all-year,R1,2.00000000000,3,MUS$2010/PJ,2025
CO2f,all-week,early-peak,all-year,R1,98.26440000000,3,MUS$2010/kt,2025
electricity,all-week,late-peak,all-year,R1,0.63330000000,4,MUS$2010/PJ,2025
gas,all-week,late-peak,all-year,R1,3.53470000000,4,MUS$2010/PJ,2025
heat,all-week,late-peak,all-year,R1,4.00000000000,4,MUS$2010/PJ,2025
CO2f,all-week,late-peak,all-year,R1,196.52880000000,4,MUS$2010/kt,2025
electricity,all-week,evening,all-year,R1,0.42220000000,5,MUS$2010/PJ,2025
gas,all-week,evening,all-year,R1,2.35650000000,5,MUS$2010/PJ,2025
heat,all-week,evening,all-year,R1,2.66670000000,5,MUS$2010/PJ,2025
CO2f,all-week,evening,all-year,R1,131.01920000000,5,MUS$2010/kt,2025
electricity,all-week,night,all-year,R1,0.45560000000,0,MUS$2010/PJ,2030
gas,all-week,night,all-year,R1,0.99260000000,0,MUS$2010/PJ,2030
heat,all-week,night,all-year,R1,1.66670000000,0,MUS$2010/PJ,2030
CO2f,all-week,night,all-year,R1,55.03290000000,0,MUS$2010/kt,2030
electricity,all-week,morning,all-year,R1,0.68330000000,1,MUS$2010/PJ,2030
gas,all-week,morning,all-year,R1,1.48890000000,1,MUS$2010/PJ,2030
heat,all-week,morning,all-year,R1,2.50000000000,1,MUS$2010/PJ,2030
CO2f,all-week,morning,all-year,R1,82.54930000000,1,MUS$2010/kt,2030
electricity,all-week,afternoon,all-year,R1,0.45560000000,2,MUS$2010/PJ,2030
gas,all-week,afternoon,all-year,R1,0.99260000000,2,MUS$2010/PJ,2030
heat,all-week,afternoon,all-year,R1,1.66670000000,2,MUS$2010/PJ,2030
CO2f,all-week,afternoon,all-year,R1,55.03290000000,2,MUS$2010/kt,2030
electricity,all-week,early-peak,all-year,R1,0.68330000000,3,MUS$2010/PJ,2030
gas,all-week,early-peak,all-year,R1,1.48890000000,3,MUS$2010/PJ,2030
heat,all-week,early-peak,all-year,R1,2.50000000000,3,MUS$2010/PJ,2030
CO2f,all-week,early-peak,all-year,R1,82.54930000000,3,MUS$2010/kt,2030
electricity,all-week,late-peak,all-year,R1,1.36670000000,4,MUS$2010/PJ,2030
gas,all-week,late-peak,all-year,R1,2.97780000000,4,MUS$2010/PJ,2030
heat,all-week,late-peak,all-year,R1,5.00000000000,4,MUS$2010/PJ,2030
CO2f,all-week,late-peak,all-year,R1,165.09870000000,4,MUS$2010/kt,2030
electricity,all-week,evening,all-year,R1,0.91110000000,5,MUS$2010/PJ,2030
gas,all-week,evening,all-year,R1,1.98520000000,5,MUS$2010/PJ,2030
heat,all-week,evening,all-year,R1,3.33330000000,5,MUS$2010/PJ,2030
CO2f,all-week,evening,all-year,R1,110.06580000000,5,MUS$2010/kt,2030
electricity,all-week,night,all-year,R1,0.54670000000,0,MUS$2010/PJ,2035
gas,all-week,night,all-year,R1,1.15930000000,0,MUS$2010/PJ,2035
heat,all-week,night,all-year,R1,2.00000000000,0,MUS$2010/PJ,2035
CO2f,all-week,night,all-year,R1,64.29130000000,0,MUS$2010/kt,2035
electricity,all-week,morning,all-year,R1,0.82000000000,1,MUS$2010/PJ,2035
gas,all-week,morning,all-year,R1,1.73890000000,1,MUS$2010/PJ,2035
heat,all-week,morning,all-year,R1,3.00000000000,1,MUS$2010/PJ,2035
CO2f,all-week,morning,all-year,R1,96.43700000000,1,MUS$2010/kt,2035
electricity,all-week,afternoon,all-year,R1,0.54670000000,2,MUS$2010/PJ,2035
gas,all-week,afternoon,all-year,R1,1.15930000000,2,MUS$2010/PJ,2035
heat,all-week,afternoon,all-year,R1,2.00000000000,2,MUS$2010/PJ,2035
CO2f,all-week,afternoon,all-year,R1,64.29130000000,2,MUS$2010/kt,2035
electricity,all-week,early-peak,all-year,R1,0.82000000000,3,MUS$2010/PJ,2035
gas,all-week,early-peak,all-year,R1,1.73890000000,3,MUS$2010/PJ,2035
heat,all-week,early-peak,all-year,R1,3.00000000000,3,MUS$2010/PJ,2035
CO2f,all-week,early-peak,all-year,R1,96.43700000000,3,MUS$2010/kt,2035
electricity,all-week,late-peak,all-year,R1,1.64000000000,4,MUS$2010/PJ,2035
gas,all-week,late-peak,all-year,R1,3.47790000000,4,MUS$2010/PJ,2035
heat,all-week,late-peak,all-year,R1,6.00000000000,4,MUS$2010/PJ,2035
CO2f,all-week,late-peak,all-year,R1,192.87400000000,4,MUS$2010/kt,2035
electricity,all-week,evening,all-year,R1,1.09330000000,5,MUS$2010/PJ,2035
gas,all-week,evening,all-year,R1,2.31860000000,5,MUS$2010/PJ,2035
heat,all-week,evening,all-year,R1,4.00000000000,5,MUS$2010/PJ,2035
CO2f,all-week,evening,all-year,R1,128.58270000000,5,MUS$2010/kt,2035
