asset,year,region,technology,installed,capacity
0,2020,R1,gasboiler,2020,10.00000000000
0,2025,R1,gasboiler,2020,5.00000000000
1,2025,R1,heatpump,2020,59.50000000000
1,2030,R1,heatpump,2020,59.50000000000
1,2034,R1,heatpump,2020,59.50000000000
2,2035,R1,heatpump,2030,68.00000000000
2,2040,R1,heatpump,2030,68.00000000000
2,2044,R1,heatpump,2030,68.00000000000
3,2045,R1,heatpump,2040,74.00000000000
3,2050,R1,heatpump,2040,74.00000000000
3,2054,R1,heatpump,2040,74.00000000000
4,2055,R1,heatpump,2050,77.00000000000
4,2064,R1,heatpump,2050,77.00000000000
