,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasCCGT,2020,1.00000000000
14,1,2030,R1,gasCCGT,2025,9.61110000000
15,1,2035,R1,gasCCGT,2025,9.61110000000
16,1,2040,R1,gasCCGT,2025,9.61110000000
17,1,2045,R1,gasCCGT,2025,9.61110000000
18,1,2049,R1,gasCCGT,2025,9.61110000000
19,1,2050,R1,gasCCGT,2025,9.61110000000
20,1,2054,R1,gasCCGT,2025,9.61110000000
21,1,2055,R1,gasCCGT,2025,9.61110000000
22,1,2059,R1,gasCCGT,2025,9.61110000000
23,1,2060,R1,gasCCGT,2025,9.61110000000
24,1,2064,R1,gasCCGT,2025,9.61110000000
52,4,2025,R1,windturbine,2020,8.37500000000
53,4,2030,R1,windturbine,2020,8.37500000000
54,4,2035,R1,windturbine,2020,8.37500000000
55,4,2040,R1,windturbine,2020,8.37500000000
56,4,2045,R1,windturbine,2020,8.37500000000
57,4,2049,R1,windturbine,2020,8.37500000000
