,asset,year,region,installed,technology,capacity
38,2,2040,R1,2020,windturbine,8.37500000000
39,2,2045,R1,2020,windturbine,8.37500000000
40,2,2049,R1,2020,windturbine,8.37500000000
56,3,2040,R1,2025,gasCCGT,9.61110000000
57,3,2045,R1,2025,gasCCGT,9.61110000000
58,3,2049,R1,2025,gasCCGT,9.61110000000
59,3,2050,R1,2025,gasCCGT,9.61110000000
60,3,2054,R1,2025,gasCCGT,9.61110000000
61,3,2055,R1,2025,gasCCGT,9.61110000000
62,3,2059,R1,2025,gasCCGT,9.61110000000
63,3,2060,R1,2025,gasCCGT,9.61110000000
64,3,2064,R1,2025,gasCCGT,9.61110000000
146,8,2040,R1,2030,windturbine,9.00000000000
147,8,2045,R1,2030,windturbine,9.00000000000
148,8,2049,R1,2030,windturbine,9.00000000000
149,8,2050,R1,2030,windturbine,9.00000000000
150,8,2054,R1,2030,windturbine,9.00000000000
151,8,2055,R1,2030,windturbine,9.00000000000
152,8,2059,R1,2030,windturbine,9.00000000000
182,10,2040,R1,2035,solarPV,0.00080000000
183,10,2045,R1,2035,solarPV,0.00080000000
184,10,2049,R1,2035,solarPV,0.00080000000
185,10,2050,R1,2035,solarPV,0.00080000000
186,10,2054,R1,2035,solarPV,0.00080000000
187,10,2055,R1,2035,solarPV,0.00080000000
188,10,2059,R1,2035,solarPV,0.00080000000
189,10,2060,R1,2035,solarPV,0.00080000000
190,10,2064,R1,2035,solarPV,0.00080000000
200,11,2040,R1,2035,windturbine,4.49920000000
201,11,2045,R1,2035,windturbine,4.49920000000
202,11,2049,R1,2035,windturbine,4.49920000000
203,11,2050,R1,2035,windturbine,4.49920000000
204,11,2054,R1,2035,windturbine,4.49920000000
205,11,2055,R1,2035,windturbine,4.49920000000
206,11,2059,R1,2035,windturbine,4.49920000000
207,11,2060,R1,2035,windturbine,4.49920000000
208,11,2064,R1,2035,windturbine,4.49920000000
237,13,2045,R1,2040,solarPV,0.01760000000
238,13,2049,R1,2040,solarPV,0.01760000000
239,13,2050,R1,2040,solarPV,0.01760000000
240,13,2054,R1,2040,solarPV,0.01760000000
241,13,2055,R1,2040,solarPV,0.01760000000
242,13,2059,R1,2040,solarPV,0.01760000000
243,13,2060,R1,2040,solarPV,0.01760000000
244,13,2064,R1,2040,solarPV,0.01760000000
245,13,2065,R1,2040,solarPV,0.01760000000
246,13,2069,R1,2040,solarPV,0.01760000000
255,14,2045,R1,2040,windturbine,2.23240000000
256,14,2049,R1,2040,windturbine,2.23240000000
257,14,2050,R1,2040,windturbine,2.23240000000
258,14,2054,R1,2040,windturbine,2.23240000000
259,14,2055,R1,2040,windturbine,2.23240000000
260,14,2059,R1,2040,windturbine,2.23240000000
261,14,2060,R1,2040,windturbine,2.23240000000
262,14,2064,R1,2040,windturbine,2.23240000000
263,14,2065,R1,2040,windturbine,2.23240000000
264,14,2069,R1,2040,windturbine,2.23240000000
