asset,year,region,technology,installed,capacity
0,2045,R1,solarPV,2025,22.08140000000
0,2049,R1,solarPV,2025,22.08140000000
0,2050,R1,solarPV,2025,22.08140000000
0,2054,R1,solarPV,2025,22.08140000000
1,2050,R1,solarPV,2045,30.14000000000
1,2054,R1,solarPV,2045,30.14000000000
1,2055,R1,solarPV,2045,30.14000000000
1,2074,R1,solarPV,2045,30.14000000000
2,2045,R1,windturbine,2020,18.95930000000
2,2049,R1,windturbine,2020,18.95930000000
3,2050,R1,windturbine,2045,16.95720000000
3,2054,R1,windturbine,2045,16.95720000000
3,2055,R1,windturbine,2045,16.95720000000
3,2074,R1,windturbine,2045,16.95720000000
