asset,year,region,installed,technology,capacity
1,2050,R1,2025,gasCCGT,8.00000000000
1,2054,R1,2025,gasCCGT,8.00000000000
1,2055,R1,2025,gasCCGT,8.00000000000
1,2064,R1,2025,gasCCGT,8.00000000000
2,2050,R1,2025,solarPV,4.08140000000
2,2054,R1,2025,solarPV,4.08140000000
3,2050,R1,2045,solarPV,30.14000000000
3,2054,R1,2045,solarPV,30.14000000000
3,2055,R1,2045,solarPV,30.14000000000
3,2064,R1,2045,solarPV,30.14000000000
3,2065,R1,2045,solarPV,30.14000000000
3,2074,R1,2045,solarPV,30.14000000000
4,2050,R1,2045,windturbine,16.95720000000
4,2054,R1,2045,windturbine,16.95720000000
4,2055,R1,2045,windturbine,16.95720000000
4,2064,R1,2045,windturbine,16.95720000000
4,2065,R1,2045,windturbine,16.95720000000
4,2074,R1,2045,windturbine,16.95720000000
