asset,year,region,technology,installed,capacity
1,2040,R1,gasboiler,2035,5.86000000000
1,2044,R1,gasboiler,2035,5.86000000000
1,2045,R1,gasboiler,2035,5.86000000000
1,2049,R1,gasboiler,2035,5.86000000000
3,2040,R1,heatpump,2030,20.00000000000
3,2044,R1,heatpump,2030,20.00000000000
4,2040,R1,heatpump,2035,16.14000000000
4,2044,R1,heatpump,2035,16.14000000000
4,2045,R1,heatpump,2035,16.14000000000
4,2049,R1,heatpump,2035,16.14000000000
5,2045,R1,heatpump,2040,26.00000000000
5,2049,R1,heatpump,2040,20.00000000000
5,2050,R1,heatpump,2040,20.00000000000
5,2054,R1,heatpump,2040,26.00000000000
