timeslice,commodity,year,asset,region,technology,installed,month,day,hour,supply
0,heat,2040,0,R1,gasboiler,2030,all-year,all-week,night,1.13900000000
0,heat,2040,2,R1,heatpump,2030,all-year,all-week,night,1.19430000000
0,heat,2045,1,R1,gasboiler,2040,all-year,all-week,night,1.29160000000
0,heat,2045,3,R1,heatpump,2040,all-year,all-week,night,1.37510000000
0,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,night,73.70690000000
0,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,night,83.57700000000
1,heat,2040,0,R1,gasboiler,2030,all-year,all-week,morning,1.70860000000
1,heat,2040,2,R1,heatpump,2030,all-year,all-week,morning,1.79140000000
1,heat,2045,1,R1,gasboiler,2040,all-year,all-week,morning,1.93730000000
1,heat,2045,3,R1,heatpump,2040,all-year,all-week,morning,2.06270000000
1,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,morning,110.56030000000
1,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,morning,125.36550000000
2,heat,2040,0,R1,gasboiler,2030,all-year,all-week,afternoon,1.13900000000
2,heat,2040,2,R1,heatpump,2030,all-year,all-week,afternoon,1.19430000000
2,heat,2045,1,R1,gasboiler,2040,all-year,all-week,afternoon,1.29160000000
2,heat,2045,3,R1,heatpump,2040,all-year,all-week,afternoon,1.37510000000
2,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,afternoon,73.70690000000
2,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,afternoon,83.57700000000
3,heat,2040,0,R1,gasboiler,2030,all-year,all-week,early-peak,1.70860000000
3,heat,2040,2,R1,heatpump,2030,all-year,all-week,early-peak,1.79140000000
3,heat,2045,1,R1,gasboiler,2040,all-year,all-week,early-peak,1.93730000000
3,heat,2045,3,R1,heatpump,2040,all-year,all-week,early-peak,2.06270000000
3,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,early-peak,110.56030000000
3,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,early-peak,125.36550000000
4,heat,2040,0,R1,gasboiler,2030,all-year,all-week,late-peak,3.41710000000
4,heat,2040,2,R1,heatpump,2030,all-year,all-week,late-peak,3.58290000000
4,heat,2045,1,R1,gasboiler,2040,all-year,all-week,late-peak,3.87470000000
4,heat,2045,3,R1,heatpump,2040,all-year,all-week,late-peak,4.12530000000
4,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,late-peak,221.12070000000
4,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,late-peak,250.73100000000
5,heat,2040,0,R1,gasboiler,2030,all-year,all-week,evening,2.27810000000
5,heat,2040,2,R1,heatpump,2030,all-year,all-week,evening,2.38860000000
5,heat,2045,1,R1,gasboiler,2040,all-year,all-week,evening,2.58310000000
5,heat,2045,3,R1,heatpump,2040,all-year,all-week,evening,2.75020000000
5,CO2f,2040,0,R1,gasboiler,2030,all-year,all-week,evening,147.41380000000
5,CO2f,2045,1,R1,gasboiler,2040,all-year,all-week,evening,167.15400000000
