asset,year,region,technology,installed,capacity
0,2030,R1,gassupply1,2020,7.50000000000
1,2035,R1,gassupply1,2030,5.28440000000
1,2040,R1,gassupply1,2030,5.28440000000
1,2045,R1,gassupply1,2030,5.28440000000
1,2050,R1,gassupply1,2030,5.28440000000
1,2069,R1,gassupply1,2030,5.28440000000
2,2030,R2,gassupply1,2020,7.50000000000
3,2035,R2,gassupply1,2030,5.28440000000
3,2040,R2,gassupply1,2030,5.28440000000
3,2045,R2,gassupply1,2030,5.28440000000
3,2050,R2,gassupply1,2030,5.28440000000
3,2069,R2,gassupply1,2030,5.28440000000
