asset,year,region,installed,technology,capacity
2,2050,R1,2025,gasCCGT,4.06670000000
2,2055,R1,2025,gasCCGT,4.06670000000
2,2059,R1,2025,gasCCGT,4.06670000000
2,2060,R1,2025,gasCCGT,4.06670000000
2,2064,R1,2025,gasCCGT,4.06670000000
3,2050,R1,2030,solarPV,6.00000000000
3,2055,R1,2030,solarPV,6.00000000000
3,2059,R1,2030,solarPV,6.00000000000
4,2050,R1,2035,solarPV,9.19000000000
4,2055,R1,2035,solarPV,9.19000000000
4,2059,R1,2035,solarPV,9.19000000000
4,2060,R1,2035,solarPV,9.19000000000
4,2064,R1,2035,solarPV,9.19000000000
5,2050,R1,2040,solarPV,6.00000000000
5,2055,R1,2040,solarPV,6.00000000000
5,2059,R1,2040,solarPV,6.00000000000
5,2060,R1,2040,solarPV,6.00000000000
5,2064,R1,2040,solarPV,6.00000000000
5,2065,R1,2040,solarPV,6.00000000000
5,2069,R1,2040,solarPV,6.00000000000
6,2050,R1,2045,solarPV,16.91000000000
6,2055,R1,2045,solarPV,16.91000000000
6,2059,R1,2045,solarPV,16.91000000000
6,2060,R1,2045,solarPV,16.91000000000
6,2064,R1,2045,solarPV,16.91000000000
6,2065,R1,2045,solarPV,16.91000000000
6,2069,R1,2045,solarPV,16.91000000000
6,2070,R1,2045,solarPV,16.91000000000
6,2074,R1,2045,solarPV,16.91000000000
7,2050,R1,2045,windturbine,6.75000000000
7,2055,R1,2045,windturbine,6.75000000000
7,2059,R1,2045,windturbine,6.75000000000
7,2060,R1,2045,windturbine,6.75000000000
7,2064,R1,2045,windturbine,6.75000000000
7,2065,R1,2045,windturbine,6.75000000000
7,2069,R1,2045,windturbine,6.75000000000
7,2070,R1,2045,windturbine,6.75000000000
7,2074,R1,2045,windturbine,6.75000000000
9,2050,R2,2025,gasCCGT,4.06670000000
9,2055,R2,2025,gasCCGT,4.06670000000
9,2059,R2,2025,gasCCGT,4.06670000000
9,2060,R2,2025,gasCCGT,4.06670000000
9,2064,R2,2025,gasCCGT,4.06670000000
10,2050,R2,2030,solarPV,6.00000000000
10,2055,R2,2030,solarPV,6.00000000000
10,2059,R2,2030,solarPV,6.00000000000
11,2050,R2,2035,solarPV,9.19000000000
11,2055,R2,2035,solarPV,9.19000000000
11,2059,R2,2035,solarPV,9.19000000000
11,2060,R2,2035,solarPV,9.19000000000
11,2064,R2,2035,solarPV,9.19000000000
12,2050,R2,2040,solarPV,6.00000000000
12,2055,R2,2040,solarPV,6.00000000000
12,2059,R2,2040,solarPV,6.00000000000
12,2060,R2,2040,solarPV,6.00000000000
12,2064,R2,2040,solarPV,6.00000000000
12,2065,R2,2040,solarPV,6.00000000000
12,2069,R2,2040,solarPV,6.00000000000
13,2050,R2,2045,solarPV,16.91000000000
13,2055,R2,2045,solarPV,16.91000000000
13,2059,R2,2045,solarPV,16.91000000000
13,2060,R2,2045,solarPV,16.91000000000
13,2064,R2,2045,solarPV,16.91000000000
13,2065,R2,2045,solarPV,16.91000000000
13,2069,R2,2045,solarPV,16.91000000000
13,2070,R2,2045,solarPV,16.91000000000
13,2074,R2,2045,solarPV,16.91000000000
14,2050,R2,2045,windturbine,6.75000000000
14,2055,R2,2045,windturbine,6.75000000000
14,2059,R2,2045,windturbine,6.75000000000
14,2060,R2,2045,windturbine,6.75000000000
14,2064,R2,2045,windturbine,6.75000000000
14,2065,R2,2045,windturbine,6.75000000000
14,2069,R2,2045,windturbine,6.75000000000
14,2070,R2,2045,windturbine,6.75000000000
14,2074,R2,2045,windturbine,6.75000000000
