asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
0,heat,all-week,night,2020,all-year,R1,0.50000000000,gasboiler,0,2020
2,heat,all-week,night,2020,all-year,R1,0.50000000000,gasboiler,0,2020
0,heat,all-week,night,2020,all-year,R2,0.50000000000,gasboiler,0,2020
2,heat,all-week,night,2020,all-year,R2,0.50000000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R1,32.35500000000,gasboiler,0,2020
2,CO2f,all-week,night,2020,all-year,R1,32.35500000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R2,32.35500000000,gasboiler,0,2020
2,CO2f,all-week,night,2020,all-year,R2,32.35500000000,gasboiler,0,2020
0,heat,all-week,morning,2020,all-year,R1,0.75000000000,gasboiler,1,2020
2,heat,all-week,morning,2020,all-year,R1,0.75000000000,gasboiler,1,2020
0,heat,all-week,morning,2020,all-year,R2,0.75000000000,gasboiler,1,2020
2,heat,all-week,morning,2020,all-year,R2,0.75000000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R1,48.53250000000,gasboiler,1,2020
2,CO2f,all-week,morning,2020,all-year,R1,48.53250000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R2,48.53250000000,gasboiler,1,2020
2,CO2f,all-week,morning,2020,all-year,R2,48.53250000000,gasboiler,1,2020
0,heat,all-week,afternoon,2020,all-year,R1,0.50000000000,gasboiler,2,2020
2,heat,all-week,afternoon,2020,all-year,R1,0.50000000000,gasboiler,2,2020
0,heat,all-week,afternoon,2020,all-year,R2,0.50000000000,gasboiler,2,2020
2,heat,all-week,afternoon,2020,all-year,R2,0.50000000000,gasboiler,2,2020
0,CO2f,all-week,afternoon,2020,all-year,R1,32.35500000000,gasboiler,2,2020
2,CO2f,all-week,afternoon,2020,all-year,R1,32.35500000000,gasboiler,2,2020
0,CO2f,all-week,afternoon,2020,all-year,R2,32.35500000000,gasboiler,2,2020
2,CO2f,all-week,afternoon,2020,all-year,R2,32.35500000000,gasboiler,2,2020
0,heat,all-week,early-peak,2020,all-year,R1,0.75000000000,gasboiler,3,2020
2,heat,all-week,early-peak,2020,all-year,R1,0.75000000000,gasboiler,3,2020
0,heat,all-week,early-peak,2020,all-year,R2,0.75000000000,gasboiler,3,2020
2,heat,all-week,early-peak,2020,all-year,R2,0.75000000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R1,48.53250000000,gasboiler,3,2020
2,CO2f,all-week,early-peak,2020,all-year,R1,48.53250000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R2,48.53250000000,gasboiler,3,2020
2,CO2f,all-week,early-peak,2020,all-year,R2,48.53250000000,gasboiler,3,2020
0,heat,all-week,late-peak,2020,all-year,R1,1.50000000000,gasboiler,4,2020
2,heat,all-week,late-peak,2020,all-year,R1,1.50000000000,gasboiler,4,2020
0,heat,all-week,late-peak,2020,all-year,R2,1.50000000000,gasboiler,4,2020
