timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
0,heat,R1,2035,0,gasboiler,2025,all-year,all-week,night,0.11390000000
0,heat,R1,2035,2,gasboiler,2025,all-year,all-week,night,0.11390000000
0,heat,R1,2035,4,heatpump,2025,all-year,all-week,night,0.19170000000
0,heat,R1,2035,5,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R1,2035,7,heatpump,2025,all-year,all-week,night,0.19170000000
0,heat,R1,2035,8,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R1,2040,1,gasboiler,2035,all-year,all-week,night,0.02530000000
0,heat,R1,2040,3,gasboiler,2035,all-year,all-week,night,0.02530000000
0,heat,R1,2040,5,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R1,2040,6,heatpump,2035,all-year,all-week,night,0.44690000000
0,heat,R1,2040,8,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R1,2040,9,heatpump,2035,all-year,all-week,night,0.44690000000
0,heat,R2,2035,0,gasboiler,2025,all-year,all-week,night,0.11390000000
0,heat,R2,2035,2,gasboiler,2025,all-year,all-week,night,0.11390000000
0,heat,R2,2035,4,heatpump,2025,all-year,all-week,night,0.19170000000
0,heat,R2,2035,5,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R2,2035,7,heatpump,2025,all-year,all-week,night,0.19170000000
0,heat,R2,2035,8,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R2,2040,1,gasboiler,2035,all-year,all-week,night,0.02530000000
0,heat,R2,2040,3,gasboiler,2035,all-year,all-week,night,0.02530000000
0,heat,R2,2040,5,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R2,2040,6,heatpump,2035,all-year,all-week,night,0.44690000000
0,heat,R2,2040,8,heatpump,2030,all-year,all-week,night,0.69440000000
0,heat,R2,2040,9,heatpump,2035,all-year,all-week,night,0.44690000000
0,CO2f,R1,2035,0,gasboiler,2025,all-year,all-week,night,7.36970000000
0,CO2f,R1,2035,2,gasboiler,2025,all-year,all-week,night,7.36970000000
0,CO2f,R1,2040,1,gasboiler,2035,all-year,all-week,night,1.63570000000
0,CO2f,R1,2040,3,gasboiler,2035,all-year,all-week,night,1.63570000000
