timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2040,0,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R1,2040,1,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R1,2040,2,all-year,all-week,night,heatpump,2030,0.69440000000
0,heat,R1,2040,3,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R1,2040,5,all-year,all-week,night,heatpump,2030,0.69440000000
0,heat,R1,2040,6,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R1,2045,0,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R1,2045,1,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R1,2045,3,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R1,2045,4,all-year,all-week,night,heatpump,2040,0.86110000000
0,heat,R1,2045,6,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R1,2045,7,all-year,all-week,night,heatpump,2040,0.86110000000
0,heat,R2,2040,0,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R2,2040,1,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R2,2040,2,all-year,all-week,night,heatpump,2030,0.69440000000
0,heat,R2,2040,3,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R2,2040,5,all-year,all-week,night,heatpump,2030,0.69440000000
0,heat,R2,2040,6,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R2,2045,0,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R2,2045,1,all-year,all-week,night,gasboiler,2035,0.02530000000
0,heat,R2,2045,3,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R2,2045,4,all-year,all-week,night,heatpump,2040,0.86110000000
0,heat,R2,2045,6,all-year,all-week,night,heatpump,2035,0.44690000000
0,heat,R2,2045,7,all-year,all-week,night,heatpump,2040,0.86110000000
0,CO2f,R1,2040,0,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R1,2040,1,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R1,2045,0,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R1,2045,1,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R2,2040,0,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R2,2040,1,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R2,2045,0,all-year,all-week,night,gasboiler,2035,1.63570000000
0,CO2f,R2,2045,1,all-year,all-week,night,gasboiler,2035,1.63570000000
1,heat,R1,2040,0,all-year,all-week,morning,gasboiler,2035,0.03790000000
1,heat,R1,2040,1,all-year,all-week,morning,gasboiler,2035,0.03790000000
1,heat,R1,2040,2,all-year,all-week,morning,heatpump,2030,1.04170000000
1,heat,R1,2040,3,all-year,all-week,morning,heatpump,2035,0.67040000000
1,heat,R1,2040,5,all-year,all-week,morning,heatpump,2030,1.04170000000
1,heat,R1,2040,6,all-year,all-week,morning,heatpump,2035,0.67040000000
1,heat,R1,2045,0,all-year,all-week,morning,gasboiler,2035,0.03790000000
1,heat,R1,2045,1,all-year,all-week,morning,gasboiler,2035,0.03790000000
1,heat,R1,2045,3,all-year,all-week,morning,heatpump,2035,0.67040000000
1,heat,R1,2045,4,all-year,all-week,morning,heatpump,2040,1.29170000000
1,heat,R1,2045,6,all-year,all-week,morning,heatpump,2035,0.67040000000
1,heat,R1,2045,7,all-year,all-week,morning,heatpump,2040,1.29170000000
1,heat,R2,2040,0,all-year,all-week,morning,gasboiler,2035,0.03790000000
1,heat,R2,2040,1,all-year,all-week,morning,gasboiler,2035,0.03790000000
