month,day,hour,technology,installed,supply
all-year,all-week,night,heatpump,2040,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2040,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2050,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2050,0.88890000000
all-year,all-week,night,heatpump,2040,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2040,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2050,0.88890000000
all-year,all-week,night,heatpump,2045,0.61110000000
all-year,all-week,night,heatpump,2050,0.88890000000
all-year,all-week,morning,heatpump,2040,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2040,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2050,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2050,1.33330000000
all-year,all-week,morning,heatpump,2040,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2040,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2050,1.33330000000
all-year,all-week,morning,heatpump,2045,0.91670000000
all-year,all-week,morning,heatpump,2050,1.33330000000
all-year,all-week,afternoon,heatpump,2040,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2040,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2050,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2050,0.88890000000
all-year,all-week,afternoon,heatpump,2040,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2040,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2050,0.88890000000
all-year,all-week,afternoon,heatpump,2045,0.61110000000
all-year,all-week,afternoon,heatpump,2050,0.88890000000
all-year,all-week,early-peak,heatpump,2040,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2040,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2050,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2050,1.33330000000
all-year,all-week,early-peak,heatpump,2040,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2040,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2050,1.33330000000
all-year,all-week,early-peak,heatpump,2045,0.91670000000
all-year,all-week,early-peak,heatpump,2050,1.33330000000
all-year,all-week,late-peak,heatpump,2040,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2040,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2050,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2050,2.66670000000
all-year,all-week,late-peak,heatpump,2040,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2040,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2050,2.66670000000
all-year,all-week,late-peak,heatpump,2045,1.83330000000
all-year,all-week,late-peak,heatpump,2050,2.66670000000
all-year,all-week,evening,heatpump,2040,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2040,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2050,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2050,1.77780000000
all-year,all-week,evening,heatpump,2040,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2040,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2050,1.77780000000
all-year,all-week,evening,heatpump,2045,1.22220000000
all-year,all-week,evening,heatpump,2050,1.77780000000
