asset,year,region,installed,technology,capacity
1,2035,R1,2025,gassupply1,5.03330000000
1,2040,R1,2025,gassupply1,5.03330000000
1,2045,R1,2025,gassupply1,5.03330000000
1,2050,R1,2025,gassupply1,5.03330000000
1,2064,R1,2025,gassupply1,5.03330000000
2,2035,R1,2030,gassupply1,15.14840000000
2,2040,R1,2030,gassupply1,15.14840000000
2,2045,R1,2030,gassupply1,15.14840000000
2,2050,R1,2030,gassupply1,15.14840000000
2,2064,R1,2030,gassupply1,15.14840000000
2,2065,R1,2030,gassupply1,15.14840000000
2,2069,R1,2030,gassupply1,15.14840000000
4,2035,R2,2025,gassupply1,3.00600000000
4,2040,R2,2025,gassupply1,3.00600000000
4,2045,R2,2025,gassupply1,3.00600000000
4,2050,R2,2025,gassupply1,3.00600000000
4,2064,R2,2025,gassupply1,3.00600000000
5,2035,R2,2030,gassupply1,15.20380000000
5,2040,R2,2030,gassupply1,15.20380000000
5,2045,R2,2030,gassupply1,15.20380000000
5,2050,R2,2030,gassupply1,15.20380000000
5,2064,R2,2030,gassupply1,15.20380000000
5,2065,R2,2030,gassupply1,15.20380000000
5,2069,R2,2030,gassupply1,15.20380000000
