technology,region,agent,type,sector,capacity,year
gasboiler,R1,A1,retrofit,residential,10.00000000000,2020
gasboiler,R2,A1,retrofit,residential,10.00000000000,2020
gasboiler,R1,A2,retrofit,residential,10.00000000000,2020
gasboiler,R2,A2,retrofit,residential,10.00000000000,2020
gasCCGT,R1,A1,retrofit,power,1.00000000000,2020
gasCCGT,R2,A1,retrofit,power,1.00000000000,2020
gasCCGT,R1,A2,retrofit,power,1.00000000000,2020
gasCCGT,R2,A2,retrofit,power,1.00000000000,2020
gassupply1,R1,A1,retrofit,gas,15.00000000000,2020
gassupply1,R2,A1,retrofit,gas,15.00000000000,2020
gassupply1,R1,A2,retrofit,gas,15.00000000000,2020
gassupply1,R2,A2,retrofit,gas,15.00000000000,2020
gasboiler,R1,A1,retrofit,residential,5.00000000000,2025
heatpump,R1,A1,retrofit,residential,11.00000000000,2025
gasboiler,R2,A1,retrofit,residential,5.00000000000,2025
heatpump,R2,A1,retrofit,residential,11.00000000000,2025
gasboiler,R1,A2,retrofit,residential,5.00000000000,2025
heatpump,R1,A2,retrofit,residential,11.00000000000,2025
gasboiler,R2,A2,retrofit,residential,5.00000000000,2025
heatpump,R2,A2,retrofit,residential,11.00000000000,2025
gasCCGT,R1,A1,retrofit,power,1.00000000000,2025
windturbine,R1,A1,retrofit,power,13.75000000000,2025
gasCCGT,R2,A1,retrofit,power,1.00000000000,2025
windturbine,R2,A1,retrofit,power,13.75000000000,2025
gasCCGT,R1,A2,retrofit,power,1.00000000000,2025
windturbine,R1,A2,retrofit,power,13.75000000000,2025
gasCCGT,R2,A2,retrofit,power,1.00000000000,2025
windturbine,R2,A2,retrofit,power,13.75000000000,2025
gassupply1,R1,A1,retrofit,gas,15.00000000000,2025
gassupply1,R2,A1,retrofit,gas,15.00000000000,2025
gassupply1,R1,A2,retrofit,gas,15.00000000000,2025
gassupply1,R2,A2,retrofit,gas,15.00000000000,2025
gasboiler,R1,A1,retrofit,residential,3.90000000000,2030
heatpump,R1,A1,retrofit,residential,16.10000000000,2030
gasboiler,R2,A1,retrofit,residential,3.90000000000,2030
heatpump,R2,A1,retrofit,residential,16.10000000000,2030
gasboiler,R1,A2,retrofit,residential,3.90000000000,2030
heatpump,R1,A2,retrofit,residential,16.10000000000,2030
gasboiler,R2,A2,retrofit,residential,3.90000000000,2030
heatpump,R2,A2,retrofit,residential,16.10000000000,2030
windturbine,R1,A1,retrofit,power,28.41180000000,2030
windturbine,R2,A1,retrofit,power,28.83580000000,2030
windturbine,R1,A2,retrofit,power,28.41180000000,2030
windturbine,R2,A2,retrofit,power,28.83580000000,2030
gassupply1,R1,A1,retrofit,gas,8.87060000000,2030
gassupply1,R2,A1,retrofit,gas,9.00300000000,2030
gassupply1,R1,A2,retrofit,gas,8.87060000000,2030
gassupply1,R2,A2,retrofit,gas,9.00300000000,2030
gasboiler,R1,A1,retrofit,residential,3.90000000000,2035
heatpump,R1,A1,retrofit,residential,20.10000000000,2035
gasboiler,R2,A1,retrofit,residential,3.90000000000,2035
heatpump,R2,A1,retrofit,residential,20.10000000000,2035
gasboiler,R1,A2,retrofit,residential,3.90000000000,2035
heatpump,R1,A2,retrofit,residential,20.10000000000,2035
gasboiler,R2,A2,retrofit,residential,3.90000000000,2035
heatpump,R2,A2,retrofit,residential,20.10000000000,2035
solarPV,R1,A1,retrofit,power,4.65490000000,2035
windturbine,R1,A1,retrofit,power,28.41180000000,2035
solarPV,R2,A1,retrofit,power,4.40190000000,2035
windturbine,R2,A1,retrofit,power,28.83580000000,2035
solarPV,R1,A2,retrofit,power,4.65490000000,2035
windturbine,R1,A2,retrofit,power,28.41180000000,2035
solarPV,R2,A2,retrofit,power,4.40190000000,2035
windturbine,R2,A2,retrofit,power,28.83580000000,2035
gassupply1,R1,A1,retrofit,gas,8.93630000000,2035
gassupply1,R2,A1,retrofit,gas,9.10490000000,2035
gassupply1,R1,A2,retrofit,gas,8.93630000000,2035
gassupply1,R2,A2,retrofit,gas,9.10490000000,2035
gasboiler,R1,A1,retrofit,residential,1.89000000000,2040
