,asset,year,region,installed,technology,capacity
11,1,2050,R1,2040,heatpump,39.57200000000
12,1,2054,R1,2040,heatpump,39.57200000000
20,2,2050,R1,2045,heatpump,32.42800000000
21,2,2054,R1,2045,heatpump,32.42800000000
22,2,2055,R1,2045,heatpump,32.42800000000
23,2,2059,R1,2045,heatpump,32.42800000000
31,3,2055,R1,2050,heatpump,39.57200000000
32,3,2059,R1,2050,heatpump,39.57200000000
33,3,2060,R1,2050,heatpump,39.57200000000
34,3,2064,R1,2050,heatpump,39.57200000000
47,5,2050,R2,2040,heatpump,39.57200000000
48,5,2054,R2,2040,heatpump,39.57200000000
56,6,2050,R2,2045,heatpump,32.42800000000
57,6,2054,R2,2045,heatpump,32.42800000000
58,6,2055,R2,2045,heatpump,32.42800000000
59,6,2059,R2,2045,heatpump,32.42800000000
67,7,2055,R2,2050,heatpump,39.57200000000
68,7,2059,R2,2050,heatpump,39.57200000000
69,7,2060,R2,2050,heatpump,39.57200000000
70,7,2064,R2,2050,heatpump,39.57200000000
