timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2045,0,all-year,all-week,night,heatpump,2035,0.34210000000
0,heat,R1,2045,1,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2045,3,all-year,all-week,night,heatpump,2035,0.34210000000
0,heat,R1,2045,4,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2050,1,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2050,2,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R1,2050,4,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R1,2050,5,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2045,0,all-year,all-week,night,heatpump,2035,0.34210000000
0,heat,R2,2045,1,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2045,3,all-year,all-week,night,heatpump,2035,0.34210000000
0,heat,R2,2045,4,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2050,1,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2050,2,all-year,all-week,night,heatpump,2045,0.46110000000
0,heat,R2,2050,4,all-year,all-week,night,heatpump,2040,0.60990000000
0,heat,R2,2050,5,all-year,all-week,night,heatpump,2045,0.46110000000
1,heat,R1,2045,0,all-year,all-week,morning,heatpump,2035,0.51320000000
1,heat,R1,2045,1,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2045,3,all-year,all-week,morning,heatpump,2035,0.51320000000
1,heat,R1,2045,4,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2050,1,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2050,2,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R1,2050,4,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R1,2050,5,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2045,0,all-year,all-week,morning,heatpump,2035,0.51320000000
1,heat,R2,2045,1,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2045,3,all-year,all-week,morning,heatpump,2035,0.51320000000
1,heat,R2,2045,4,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2050,1,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2050,2,all-year,all-week,morning,heatpump,2045,0.69170000000
1,heat,R2,2050,4,all-year,all-week,morning,heatpump,2040,0.91480000000
1,heat,R2,2050,5,all-year,all-week,morning,heatpump,2045,0.69170000000
2,heat,R1,2045,0,all-year,all-week,mid-afternoon,heatpump,2035,0.34210000000
2,heat,R1,2045,1,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R1,2045,3,all-year,all-week,mid-afternoon,heatpump,2035,0.34210000000
2,heat,R1,2045,4,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R1,2050,1,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R1,2050,2,all-year,all-week,mid-afternoon,heatpump,2045,0.46110000000
2,heat,R1,2050,4,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R1,2050,5,all-year,all-week,mid-afternoon,heatpump,2045,0.46110000000
2,heat,R2,2045,0,all-year,all-week,mid-afternoon,heatpump,2035,0.34210000000
2,heat,R2,2045,1,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R2,2045,3,all-year,all-week,mid-afternoon,heatpump,2035,0.34210000000
2,heat,R2,2045,4,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R2,2050,1,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R2,2050,2,all-year,all-week,mid-afternoon,heatpump,2045,0.46110000000
2,heat,R2,2050,4,all-year,all-week,mid-afternoon,heatpump,2040,0.60990000000
2,heat,R2,2050,5,all-year,all-week,mid-afternoon,heatpump,2045,0.46110000000
3,heat,R1,2045,0,all-year,all-week,early-peak,heatpump,2035,0.51320000000
3,heat,R1,2045,1,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R1,2045,3,all-year,all-week,early-peak,heatpump,2035,0.51320000000
3,heat,R1,2045,4,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R1,2050,1,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R1,2050,2,all-year,all-week,early-peak,heatpump,2045,0.69170000000
3,heat,R1,2050,4,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R1,2050,5,all-year,all-week,early-peak,heatpump,2045,0.69170000000
3,heat,R2,2045,0,all-year,all-week,early-peak,heatpump,2035,0.51320000000
3,heat,R2,2045,1,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R2,2045,3,all-year,all-week,early-peak,heatpump,2035,0.51320000000
3,heat,R2,2045,4,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R2,2050,1,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R2,2050,2,all-year,all-week,early-peak,heatpump,2045,0.69170000000
3,heat,R2,2050,4,all-year,all-week,early-peak,heatpump,2040,0.91480000000
3,heat,R2,2050,5,all-year,all-week,early-peak,heatpump,2045,0.69170000000
