,asset,year,technology,region,installed,capacity
0,0,2024,gassupply1,R1,2020,15
1,0,2025,gassupply1,R1,2020,15
2,0,2026,gassupply1,R1,2020,11.25
3,0,2027,gassupply1,R1,2020,7.5
4,0,2029,gassupply1,R1,2020,7.5
5,0,2030,gassupply1,R1,2020,7.5
14,1,2026,gassupply1,R1,2024,0.8802
15,1,2027,gassupply1,R1,2024,0.8802
16,1,2029,gassupply1,R1,2024,0.8802
17,1,2030,gassupply1,R1,2024,0.8802
18,1,2035,gassupply1,R1,2024,0.8802
19,1,2040,gassupply1,R1,2024,0.8802
20,1,2045,gassupply1,R1,2024,0.8802
21,1,2050,gassupply1,R1,2024,0.8802
22,1,2060,gassupply1,R1,2024,0.8802
24,2,2024,gassupply1,R2,2020,15
25,2,2025,gassupply1,R2,2020,15
26,2,2026,gassupply1,R2,2020,11.25
27,2,2027,gassupply1,R2,2020,7.5
28,2,2029,gassupply1,R2,2020,7.5
29,2,2030,gassupply1,R2,2020,7.5
38,3,2026,gassupply1,R2,2024,0.8802
39,3,2027,gassupply1,R2,2024,0.8802
40,3,2029,gassupply1,R2,2024,0.8802
41,3,2030,gassupply1,R2,2024,0.8802
42,3,2035,gassupply1,R2,2024,0.8802
43,3,2040,gassupply1,R2,2024,0.8802
44,3,2045,gassupply1,R2,2024,0.8802
45,3,2050,gassupply1,R2,2024,0.8802
46,3,2060,gassupply1,R2,2024,0.8802
