asset,year,region,installed,technology,capacity
0,2026,R1,2020,gassupply1,7.50000000000
0,2028,R1,2020,gassupply1,7.50000000000
0,2030,R1,2020,gassupply1,7.50000000000
1,2026,R1,2024,gassupply1,2.54560000000
1,2028,R1,2024,gassupply1,2.54560000000
1,2030,R1,2024,gassupply1,2.54560000000
1,2035,R1,2024,gassupply1,2.54560000000
1,2040,R1,2024,gassupply1,2.54560000000
1,2045,R1,2024,gassupply1,2.54560000000
1,2050,R1,2024,gassupply1,2.54560000000
1,2060,R1,2024,gassupply1,2.54560000000
2,2028,R1,2026,gassupply1,1.69660000000
2,2030,R1,2026,gassupply1,1.69660000000
2,2035,R1,2026,gassupply1,1.69660000000
2,2040,R1,2026,gassupply1,1.69660000000
2,2045,R1,2026,gassupply1,1.69660000000
2,2050,R1,2026,gassupply1,1.69660000000
2,2060,R1,2026,gassupply1,1.69660000000
2,2061,R1,2026,gassupply1,1.69660000000
2,2062,R1,2026,gassupply1,1.69660000000
3,2026,R2,2020,gassupply1,7.50000000000
3,2028,R2,2020,gassupply1,7.50000000000
3,2030,R2,2020,gassupply1,7.50000000000
4,2026,R2,2024,gassupply1,2.54560000000
4,2028,R2,2024,gassupply1,2.54560000000
4,2030,R2,2024,gassupply1,2.54560000000
4,2035,R2,2024,gassupply1,2.54560000000
4,2040,R2,2024,gassupply1,2.54560000000
4,2045,R2,2024,gassupply1,2.54560000000
4,2050,R2,2024,gassupply1,2.54560000000
4,2060,R2,2024,gassupply1,2.54560000000
5,2028,R2,2026,gassupply1,1.69660000000
5,2030,R2,2026,gassupply1,1.69660000000
5,2035,R2,2026,gassupply1,1.69660000000
5,2040,R2,2026,gassupply1,1.69660000000
5,2045,R2,2026,gassupply1,1.69660000000
5,2050,R2,2026,gassupply1,1.69660000000
5,2060,R2,2026,gassupply1,1.69660000000
5,2061,R2,2026,gassupply1,1.69660000000
5,2062,R2,2026,gassupply1,1.69660000000
