asset,year,region,technology,installed,capacity
1,2036,R1,gassupply1,2030,4.72790000000
1,2038,R1,gassupply1,2030,4.72790000000
1,2040,R1,gassupply1,2030,4.72790000000
1,2045,R1,gassupply1,2030,4.72790000000
1,2050,R1,gassupply1,2030,4.72790000000
1,2066,R1,gassupply1,2030,4.72790000000
3,2036,R2,gassupply1,2030,4.72790000000
3,2038,R2,gassupply1,2030,4.72790000000
3,2040,R2,gassupply1,2030,4.72790000000
3,2045,R2,gassupply1,2030,4.72790000000
3,2050,R2,gassupply1,2030,4.72790000000
3,2066,R2,gassupply1,2030,4.72790000000
