,asset,year,region,installed,technology,capacity
41,1,2040,R1,2024,gassupply1,0.88020000000
42,1,2041,R1,2024,gassupply1,0.88020000000
43,1,2043,R1,2024,gassupply1,0.88020000000
44,1,2045,R1,2024,gassupply1,0.88020000000
45,1,2050,R1,2024,gassupply1,0.88020000000
46,1,2060,R1,2024,gassupply1,0.88020000000
68,2,2040,R1,2026,gassupply1,4.39520000000
69,2,2041,R1,2026,gassupply1,4.39520000000
70,2,2043,R1,2026,gassupply1,4.39520000000
71,2,2045,R1,2026,gassupply1,4.39520000000
72,2,2050,R1,2026,gassupply1,4.39520000000
73,2,2060,R1,2026,gassupply1,4.39520000000
74,2,2061,R1,2026,gassupply1,4.39520000000
75,2,2062,R1,2026,gassupply1,4.39520000000
95,3,2040,R1,2028,gassupply1,1.80600000000
96,3,2041,R1,2028,gassupply1,1.80600000000
97,3,2043,R1,2028,gassupply1,1.80600000000
98,3,2045,R1,2028,gassupply1,1.80600000000
99,3,2050,R1,2028,gassupply1,1.80600000000
100,3,2060,R1,2028,gassupply1,1.80600000000
101,3,2061,R1,2028,gassupply1,1.80600000000
102,3,2062,R1,2028,gassupply1,1.80600000000
103,3,2063,R1,2028,gassupply1,1.80600000000
104,3,2064,R1,2028,gassupply1,1.80600000000
122,4,2040,R1,2030,gassupply1,7.24210000000
123,4,2041,R1,2030,gassupply1,7.24210000000
124,4,2043,R1,2030,gassupply1,7.24210000000
125,4,2045,R1,2030,gassupply1,7.24210000000
126,4,2050,R1,2030,gassupply1,7.24210000000
127,4,2060,R1,2030,gassupply1,7.24210000000
128,4,2061,R1,2030,gassupply1,7.24210000000
129,4,2062,R1,2030,gassupply1,7.24210000000
130,4,2063,R1,2030,gassupply1,7.24210000000
131,4,2064,R1,2030,gassupply1,7.24210000000
132,4,2065,R1,2030,gassupply1,7.24210000000
133,4,2066,R1,2030,gassupply1,7.24210000000
176,6,2040,R2,2024,gassupply1,0.88020000000
177,6,2041,R2,2024,gassupply1,0.88020000000
178,6,2043,R2,2024,gassupply1,0.88020000000
179,6,2045,R2,2024,gassupply1,0.88020000000
180,6,2050,R2,2024,gassupply1,0.88020000000
181,6,2060,R2,2024,gassupply1,0.88020000000
203,7,2040,R2,2026,gassupply1,4.39520000000
204,7,2041,R2,2026,gassupply1,4.39520000000
205,7,2043,R2,2026,gassupply1,4.39520000000
206,7,2045,R2,2026,gassupply1,4.39520000000
207,7,2050,R2,2026,gassupply1,4.39520000000
208,7,2060,R2,2026,gassupply1,4.39520000000
209,7,2061,R2,2026,gassupply1,4.39520000000
210,7,2062,R2,2026,gassupply1,4.39520000000
230,8,2040,R2,2028,gassupply1,1.80600000000
231,8,2041,R2,2028,gassupply1,1.80600000000
232,8,2043,R2,2028,gassupply1,1.80600000000
233,8,2045,R2,2028,gassupply1,1.80600000000
234,8,2050,R2,2028,gassupply1,1.80600000000
235,8,2060,R2,2028,gassupply1,1.80600000000
236,8,2061,R2,2028,gassupply1,1.80600000000
237,8,2062,R2,2028,gassupply1,1.80600000000
238,8,2063,R2,2028,gassupply1,1.80600000000
239,8,2064,R2,2028,gassupply1,1.80600000000
257,9,2040,R2,2030,gassupply1,7.24210000000
258,9,2041,R2,2030,gassupply1,7.24210000000
259,9,2043,R2,2030,gassupply1,7.24210000000
260,9,2045,R2,2030,gassupply1,7.24210000000
261,9,2050,R2,2030,gassupply1,7.24210000000
262,9,2060,R2,2030,gassupply1,7.24210000000
263,9,2061,R2,2030,gassupply1,7.24210000000
264,9,2062,R2,2030,gassupply1,7.24210000000
265,9,2063,R2,2030,gassupply1,7.24210000000
266,9,2064,R2,2030,gassupply1,7.24210000000
267,9,2065,R2,2030,gassupply1,7.24210000000
268,9,2066,R2,2030,gassupply1,7.24210000000
