commodity,day,hour,month,region,supply,timeslice,units_prices,year
gas,all-week,night,all-year,R1,0.81200000000,0,MUS$2010/PJ,2020
heat,all-week,night,all-year,R1,0.70000000000,0,MUS$2010/PJ,2020
CO2f,all-week,night,all-year,R1,45.29700000000,0,MUS$2010/kt,2020
gas,all-week,morning,all-year,R1,1.16000000000,1,MUS$2010/PJ,2020
heat,all-week,morning,all-year,R1,1.00000000000,1,MUS$2010/PJ,2020
CO2f,all-week,morning,all-year,R1,64.71000000000,1,MUS$2010/kt,2020
gas,all-week,mid-afternoon,all-year,R1,0.81200000000,2,MUS$2010/PJ,2020
heat,all-week,mid-afternoon,all-year,R1,0.70000000000,2,MUS$2010/PJ,2020
CO2f,all-week,mid-afternoon,all-year,R1,45.29700000000,2,MUS$2010/kt,2020
gas,all-week,early-peak,all-year,R1,1.16000000000,3,MUS$2010/PJ,2020
heat,all-week,early-peak,all-year,R1,1.00000000000,3,MUS$2010/PJ,2020
CO2f,all-week,early-peak,all-year,R1,64.71000000000,3,MUS$2010/kt,2020
gas,all-week,late-peak,all-year,R1,2.43600000000,4,MUS$2010/PJ,2020
heat,all-week,late-peak,all-year,R1,2.10000000000,4,MUS$2010/PJ,2020
CO2f,all-week,late-peak,all-year,R1,135.89100000000,4,MUS$2010/kt,2020
gas,all-week,evening,all-year,R1,1.62400000000,5,MUS$2010/PJ,2020
heat,all-week,evening,all-year,R1,1.40000000000,5,MUS$2010/PJ,2020
CO2f,all-week,evening,all-year,R1,90.59400000000,5,MUS$2010/kt,2020
gas,all-week,early-morning,all-year,R1,1.62400000000,6,MUS$2010/PJ,2020
heat,all-week,early-morning,all-year,R1,1.40000000000,6,MUS$2010/PJ,2020
CO2f,all-week,early-morning,all-year,R1,90.59400000000,6,MUS$2010/kt,2020
gas,all-week,late-afternoon,all-year,R1,1.62400000000,7,MUS$2010/PJ,2020
heat,all-week,late-afternoon,all-year,R1,1.40000000000,7,MUS$2010/PJ,2020
CO2f,all-week,late-afternoon,all-year,R1,90.59400000000,7,MUS$2010/kt,2020
electricity,all-week,night,all-year,R1,0.18370000000,0,MUS$2010/PJ,2022
gas,all-week,night,all-year,R1,0.58010000000,0,MUS$2010/PJ,2022
heat,all-week,night,all-year,R1,0.79330000000,0,MUS$2010/PJ,2022
CO2f,all-week,night,all-year,R1,32.19030000000,0,MUS$2010/kt,2022
electricity,all-week,morning,all-year,R1,0.26250000000,1,MUS$2010/PJ,2022
gas,all-week,morning,all-year,R1,0.82880000000,1,MUS$2010/PJ,2022
heat,all-week,morning,all-year,R1,1.13330000000,1,MUS$2010/PJ,2022
CO2f,all-week,morning,all-year,R1,45.98620000000,1,MUS$2010/kt,2022
electricity,all-week,mid-afternoon,all-year,R1,0.18370000000,2,MUS$2010/PJ,2022
gas,all-week,mid-afternoon,all-year,R1,0.58010000000,2,MUS$2010/PJ,2022
heat,all-week,mid-afternoon,all-year,R1,0.79330000000,2,MUS$2010/PJ,2022
CO2f,all-week,mid-afternoon,all-year,R1,32.19030000000,2,MUS$2010/kt,2022
electricity,all-week,early-peak,all-year,R1,0.26250000000,3,MUS$2010/PJ,2022
gas,all-week,early-peak,all-year,R1,0.82880000000,3,MUS$2010/PJ,2022
heat,all-week,early-peak,all-year,R1,1.13330000000,3,MUS$2010/PJ,2022
CO2f,all-week,early-peak,all-year,R1,45.98620000000,3,MUS$2010/kt,2022
electricity,all-week,late-peak,all-year,R1,0.55120000000,4,MUS$2010/PJ,2022
gas,all-week,late-peak,all-year,R1,1.74040000000,4,MUS$2010/PJ,2022
heat,all-week,late-peak,all-year,R1,2.38000000000,4,MUS$2010/PJ,2022
CO2f,all-week,late-peak,all-year,R1,96.57100000000,4,MUS$2010/kt,2022
electricity,all-week,evening,all-year,R1,0.36740000000,5,MUS$2010/PJ,2022
gas,all-week,evening,all-year,R1,1.16030000000,5,MUS$2010/PJ,2022
heat,all-week,evening,all-year,R1,1.58670000000,5,MUS$2010/PJ,2022
CO2f,all-week,evening,all-year,R1,64.38070000000,5,MUS$2010/kt,2022
electricity,all-week,early-morning,all-year,R1,0.36740000000,6,MUS$2010/PJ,2022
gas,all-week,early-morning,all-year,R1,1.16030000000,6,MUS$2010/PJ,2022
heat,all-week,early-morning,all-year,R1,1.58670000000,6,MUS$2010/PJ,2022
CO2f,all-week,early-morning,all-year,R1,64.38070000000,6,MUS$2010/kt,2022
electricity,all-week,late-afternoon,all-year,R1,0.36740000000,7,MUS$2010/PJ,2022
gas,all-week,late-afternoon,all-year,R1,1.16030000000,7,MUS$2010/PJ,2022
heat,all-week,late-afternoon,all-year,R1,1.58670000000,7,MUS$2010/PJ,2022
CO2f,all-week,late-afternoon,all-year,R1,64.38070000000,7,MUS$2010/kt,2022
electricity,all-week,night,all-year,R1,0.25330000000,0,MUS$2010/PJ,2024
gas,all-week,night,all-year,R1,0.58680000000,0,MUS$2010/PJ,2024
heat,all-week,night,all-year,R1,0.88670000000,0,MUS$2010/PJ,2024
CO2f,all-week,night,all-year,R1,32.47070000000,0,MUS$2010/kt,2024
electricity,all-week,morning,all-year,R1,0.36190000000,1,MUS$2010/PJ,2024
