,asset,year,region,installed,technology,capacity
45,1,2036,R1,2020,solarPV,1.1799
46,1,2037,R1,2020,solarPV,1.1799
47,1,2038,R1,2020,solarPV,1.1799
48,1,2039,R1,2020,solarPV,1.1799
49,1,2040,R1,2020,solarPV,1.1799
50,1,2041,R1,2020,solarPV,1.1799
51,1,2045,R1,2020,solarPV,1.1799
52,1,2046,R1,2020,solarPV,1.1799
80,2,2036,R1,2020,windturbine,8
81,2,2037,R1,2020,windturbine,8
82,2,2038,R1,2020,windturbine,8
83,2,2039,R1,2020,windturbine,8
84,2,2040,R1,2020,windturbine,8
85,2,2041,R1,2020,windturbine,8
86,2,2045,R1,2020,windturbine,8
87,2,2046,R1,2020,windturbine,8
115,3,2036,R1,2022,gasCCGT,0.4
116,3,2037,R1,2022,gasCCGT,0.4
117,3,2038,R1,2022,gasCCGT,0.4
118,3,2039,R1,2022,gasCCGT,0.4
119,3,2040,R1,2022,gasCCGT,0.4
120,3,2041,R1,2022,gasCCGT,0.4
121,3,2045,R1,2022,gasCCGT,0.4
122,3,2046,R1,2022,gasCCGT,0.4
123,3,2047,R1,2022,gasCCGT,0.4
124,3,2048,R1,2022,gasCCGT,0.4
125,3,2049,R1,2022,gasCCGT,0.4
126,3,2050,R1,2022,gasCCGT,0.4
127,3,2051,R1,2022,gasCCGT,0.4
128,3,2052,R1,2022,gasCCGT,0.4
129,3,2053,R1,2022,gasCCGT,0.4
130,3,2056,R1,2022,gasCCGT,0.4
131,3,2057,R1,2022,gasCCGT,0.4
132,3,2058,R1,2022,gasCCGT,0.4
150,4,2036,R1,2022,windturbine,2.0144
151,4,2037,R1,2022,windturbine,2.0144
152,4,2038,R1,2022,windturbine,2.0144
153,4,2039,R1,2022,windturbine,2.0144
154,4,2040,R1,2022,windturbine,2.0144
155,4,2041,R1,2022,windturbine,2.0144
156,4,2045,R1,2022,windturbine,2.0144
157,4,2046,R1,2022,windturbine,2.0144
158,4,2047,R1,2022,windturbine,2.0144
159,4,2048,R1,2022,windturbine,2.0144
185,5,2036,R1,2024,gasCCGT,1.56
186,5,2037,R1,2024,gasCCGT,1.56
187,5,2038,R1,2024,gasCCGT,1.56
188,5,2039,R1,2024,gasCCGT,1.56
189,5,2040,R1,2024,gasCCGT,1.56
