asset,capacity,installed,region,technology,year
0,10,2020,R1,gasboiler,2020
2,10,2020,R2,gasboiler,2020
0,8,2020,R1,gasboiler,2022
1,11,2020,R1,heatpump,2022
3,8,2020,R2,gasboiler,2022
4,11,2020,R2,heatpump,2022
0,6,2020,R1,gasboiler,2024
1,11,2020,R1,heatpump,2024
2,4,2022,R1,heatpump,2024
4,6,2020,R2,gasboiler,2024
5,11,2020,R2,heatpump,2024
6,4,2022,R2,heatpump,2024
0,4,2020,R1,gasboiler,2026
1,11,2020,R1,heatpump,2026
2,4,2022,R1,heatpump,2026
3,4,2024,R1,heatpump,2026
5,4,2020,R2,gasboiler,2026
6,11,2020,R2,heatpump,2026
7,4,2022,R2,heatpump,2026
8,4,2024,R2,heatpump,2026
0,2,2020,R1,gasboiler,2028
1,11,2020,R1,heatpump,2028
2,4,2022,R1,heatpump,2028
3,4,2024,R1,heatpump,2028
4,4,2026,R1,heatpump,2028
6,2,2020,R2,gasboiler,2028
7,11,2020,R2,heatpump,2028
8,4,2022,R2,heatpump,2028
9,4,2024,R2,heatpump,2028
10,4,2026,R2,heatpump,2028
1,11,2020,R1,heatpump,2030
2,4,2022,R1,heatpump,2030
3,4,2024,R1,heatpump,2030
4,4,2026,R1,heatpump,2030
5,5,2028,R1,heatpump,2030
8,11,2020,R2,heatpump,2030
9,4,2022,R2,heatpump,2030
10,4,2024,R2,heatpump,2030
11,4,2026,R2,heatpump,2030
12,5,2028,R2,heatpump,2030
2,4,2022,R1,heatpump,2032
3,4,2024,R1,heatpump,2032
4,4,2026,R1,heatpump,2032
5,5,2028,R1,heatpump,2032
6,13,2030,R1,heatpump,2032
10,4,2022,R2,heatpump,2032
11,4,2024,R2,heatpump,2032
12,4,2026,R2,heatpump,2032
13,5,2028,R2,heatpump,2032
14,13,2030,R2,heatpump,2032
3,4,2024,R1,heatpump,2034
4,4,2026,R1,heatpump,2034
5,5,2028,R1,heatpump,2034
6,13,2030,R1,heatpump,2034
7,6,2032,R1,heatpump,2034
12,4,2024,R2,heatpump,2034
13,4,2026,R2,heatpump,2034
14,5,2028,R2,heatpump,2034
15,13,2030,R2,heatpump,2034
16,6,2032,R2,heatpump,2034
4,4,2026,R1,heatpump,2036
5,5,2028,R1,heatpump,2036
6,13,2030,R1,heatpump,2036
7,6,2032,R1,heatpump,2036
8,6,2034,R1,heatpump,2036
14,4,2026,R2,heatpump,2036
15,5,2028,R2,heatpump,2036
16,13,2030,R2,heatpump,2036
17,6,2032,R2,heatpump,2036
18,6,2034,R2,heatpump,2036
5,5,2028,R1,heatpump,2038
6,13,2030,R1,heatpump,2038
7,6,2032,R1,heatpump,2038
8,6,2034,R1,heatpump,2038
9,6,2036,R1,heatpump,2038
16,5,2028,R2,heatpump,2038
17,13,2030,R2,heatpump,2038
18,6,2032,R2,heatpump,2038
19,6,2034,R2,heatpump,2038
20,6,2036,R2,heatpump,2038
6,13,2030,R1,heatpump,2040
7,6,2032,R1,heatpump,2040
8,6,2034,R1,heatpump,2040
9,6,2036,R1,heatpump,2040
10,8,2038,R1,heatpump,2040
18,13,2030,R2,heatpump,2040
19,6,2032,R2,heatpump,2040
20,6,2034,R2,heatpump,2040
21,6,2036,R2,heatpump,2040
22,8,2038,R2,heatpump,2040
