,asset,year,region,installed,technology,capacity
19,1,2028,R1,2020,heatpump,11.42990000000
20,1,2029,R1,2020,heatpump,11.42990000000
21,1,2030,R1,2020,heatpump,11.42990000000
22,1,2031,R1,2020,heatpump,11.42990000000
36,2,2028,R1,2022,gasboiler,1.37150000000
37,2,2029,R1,2022,gasboiler,1.37150000000
38,2,2030,R1,2022,gasboiler,1.37150000000
39,2,2031,R1,2022,gasboiler,1.37150000000
40,2,2032,R1,2022,gasboiler,1.37150000000
41,2,2033,R1,2022,gasboiler,1.37150000000
53,3,2028,R1,2022,heatpump,2.91440000000
54,3,2029,R1,2022,heatpump,2.91440000000
55,3,2030,R1,2022,heatpump,2.91440000000
56,3,2031,R1,2022,heatpump,2.91440000000
57,3,2032,R1,2022,heatpump,2.91440000000
58,3,2033,R1,2022,heatpump,2.91440000000
70,4,2028,R1,2024,gasboiler,2.35250000000
71,4,2029,R1,2024,gasboiler,2.35250000000
72,4,2030,R1,2024,gasboiler,2.35250000000
73,4,2031,R1,2024,gasboiler,2.35250000000
74,4,2032,R1,2024,gasboiler,2.35250000000
75,4,2033,R1,2024,gasboiler,2.35250000000
76,4,2034,R1,2024,gasboiler,2.35250000000
77,4,2035,R1,2024,gasboiler,2.35250000000
87,5,2028,R1,2024,heatpump,3.43340000000
88,5,2029,R1,2024,heatpump,3.43340000000
89,5,2030,R1,2024,heatpump,3.43340000000
90,5,2031,R1,2024,heatpump,3.43340000000
91,5,2032,R1,2024,heatpump,3.43340000000
92,5,2033,R1,2024,heatpump,3.43340000000
93,5,2034,R1,2024,heatpump,3.43340000000
94,5,2035,R1,2024,heatpump,3.43340000000
104,6,2028,R1,2026,gasboiler,1.07780000000
105,6,2029,R1,2026,gasboiler,1.07780000000
106,6,2030,R1,2026,gasboiler,1.07780000000
107,6,2031,R1,2026,gasboiler,1.07780000000
108,6,2032,R1,2026,gasboiler,1.07780000000
109,6,2033,R1,2026,gasboiler,1.07780000000
110,6,2034,R1,2026,gasboiler,1.07780000000
111,6,2035,R1,2026,gasboiler,1.07780000000
112,6,2036,R1,2026,gasboiler,1.07780000000
113,6,2037,R1,2026,gasboiler,1.07780000000
121,7,2028,R1,2026,heatpump,3.70810000000
122,7,2029,R1,2026,heatpump,3.70810000000
123,7,2030,R1,2026,heatpump,3.70810000000
124,7,2031,R1,2026,heatpump,3.70810000000
125,7,2032,R1,2026,heatpump,3.70810000000
126,7,2033,R1,2026,heatpump,3.70810000000
127,7,2034,R1,2026,heatpump,3.70810000000
128,7,2035,R1,2026,heatpump,3.70810000000
129,7,2036,R1,2026,heatpump,3.70810000000
130,7,2037,R1,2026,heatpump,3.70810000000
140,8,2030,R1,2028,heatpump,1.14290000000
141,8,2031,R1,2028,heatpump,1.14290000000
142,8,2032,R1,2028,heatpump,1.14290000000
143,8,2033,R1,2028,heatpump,1.14290000000
144,8,2034,R1,2028,heatpump,1.14290000000
