,asset,year,technology,region,installed,capacity
0,0,2038,gasboiler,R1,2032,0.06880000000
1,0,2039,gasboiler,R1,2032,0.06880000000
2,0,2040,gasboiler,R1,2032,0.06880000000
3,0,2041,gasboiler,R1,2032,0.06880000000
4,0,2042,gasboiler,R1,2032,0.06880000000
5,0,2043,gasboiler,R1,2032,0.06880000000
13,1,2038,gasboiler,R2,2032,0.06880000000
14,1,2039,gasboiler,R2,2032,0.06880000000
15,1,2040,gasboiler,R2,2032,0.06880000000
16,1,2041,gasboiler,R2,2032,0.06880000000
17,1,2042,gasboiler,R2,2032,0.06880000000
18,1,2043,gasboiler,R2,2032,0.06880000000
26,2,2038,heatpump,R1,2028,1.82850000000
27,2,2039,heatpump,R1,2028,1.82850000000
39,3,2038,heatpump,R1,2030,18.28670000000
40,3,2039,heatpump,R1,2030,18.28670000000
41,3,2040,heatpump,R1,2030,18.28670000000
42,3,2041,heatpump,R1,2030,18.28670000000
52,4,2038,heatpump,R1,2032,9.24540000000
53,4,2039,heatpump,R1,2032,9.24540000000
54,4,2040,heatpump,R1,2032,9.24540000000
55,4,2041,heatpump,R1,2032,9.24540000000
56,4,2042,heatpump,R1,2032,9.24540000000
57,4,2043,heatpump,R1,2032,9.24540000000
65,5,2038,heatpump,R1,2034,10.81410000000
66,5,2039,heatpump,R1,2034,10.81410000000
67,5,2040,heatpump,R1,2034,10.81410000000
68,5,2041,heatpump,R1,2034,10.81410000000
69,5,2042,heatpump,R1,2034,10.81410000000
70,5,2043,heatpump,R1,2034,10.81410000000
71,5,2044,heatpump,R1,2034,10.81410000000
72,5,2045,heatpump,R1,2034,10.81410000000
78,6,2038,heatpump,R1,2036,9.81410000000
79,6,2039,heatpump,R1,2036,9.81410000000
80,6,2040,heatpump,R1,2036,9.81410000000
81,6,2041,heatpump,R1,2036,9.81410000000
82,6,2042,heatpump,R1,2036,9.81410000000
83,6,2043,heatpump,R1,2036,9.81410000000
84,6,2044,heatpump,R1,2036,9.81410000000
85,6,2045,heatpump,R1,2036,9.81410000000
86,6,2046,heatpump,R1,2036,9.81410000000
87,6,2047,heatpump,R1,2036,9.81410000000
93,7,2040,heatpump,R1,2038,5.48560000000
94,7,2041,heatpump,R1,2038,5.48560000000
95,7,2042,heatpump,R1,2038,5.48560000000
96,7,2043,heatpump,R1,2038,5.48560000000
97,7,2044,heatpump,R1,2038,5.48560000000
98,7,2045,heatpump,R1,2038,5.48560000000
99,7,2046,heatpump,R1,2038,5.48560000000
100,7,2047,heatpump,R1,2038,5.48560000000
101,7,2048,heatpump,R1,2038,5.48560000000
102,7,2049,heatpump,R1,2038,5.48560000000
104,8,2038,heatpump,R2,2028,1.82850000000
105,8,2039,heatpump,R2,2028,1.82850000000
117,9,2038,heatpump,R2,2030,18.28670000000
118,9,2039,heatpump,R2,2030,18.28670000000
119,9,2040,heatpump,R2,2030,18.28670000000
120,9,2041,heatpump,R2,2030,18.28670000000
130,10,2038,heatpump,R2,2032,9.24540000000
131,10,2039,heatpump,R2,2032,9.24540000000
132,10,2040,heatpump,R2,2032,9.24540000000
133,10,2041,heatpump,R2,2032,9.24540000000
134,10,2042,heatpump,R2,2032,9.24540000000
135,10,2043,heatpump,R2,2032,9.24540000000
143,11,2038,heatpump,R2,2034,10.81410000000
144,11,2039,heatpump,R2,2034,10.81410000000
145,11,2040,heatpump,R2,2034,10.81410000000
146,11,2041,heatpump,R2,2034,10.81410000000
147,11,2042,heatpump,R2,2034,10.81410000000
148,11,2043,heatpump,R2,2034,10.81410000000
149,11,2044,heatpump,R2,2034,10.81410000000
150,11,2045,heatpump,R2,2034,10.81410000000
156,12,2038,heatpump,R2,2036,9.81410000000
157,12,2039,heatpump,R2,2036,9.81410000000
158,12,2040,heatpump,R2,2036,9.81410000000
159,12,2041,heatpump,R2,2036,9.81410000000
160,12,2042,heatpump,R2,2036,9.81410000000
161,12,2043,heatpump,R2,2036,9.81410000000
162,12,2044,heatpump,R2,2036,9.81410000000
163,12,2045,heatpump,R2,2036,9.81410000000
164,12,2046,heatpump,R2,2036,9.81410000000
165,12,2047,heatpump,R2,2036,9.81410000000
171,13,2040,heatpump,R2,2038,5.48560000000
172,13,2041,heatpump,R2,2038,5.48560000000
173,13,2042,heatpump,R2,2038,5.48560000000
174,13,2043,heatpump,R2,2038,5.48560000000
175,13,2044,heatpump,R2,2038,5.48560000000
176,13,2045,heatpump,R2,2038,5.48560000000
177,13,2046,heatpump,R2,2038,5.48560000000
178,13,2047,heatpump,R2,2038,5.48560000000
179,13,2048,heatpump,R2,2038,5.48560000000
180,13,2049,heatpump,R2,2038,5.48560000000
