asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
0,heat,all-week,night,2020,all-year,R1,0.35000000000,gasboiler,0,2020
2,heat,all-week,night,2020,all-year,R1,0.35000000000,gasboiler,0,2020
0,heat,all-week,night,2020,all-year,R2,0.35000000000,gasboiler,0,2020
2,heat,all-week,night,2020,all-year,R2,0.35000000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R1,22.64850000000,gasboiler,0,2020
2,CO2f,all-week,night,2020,all-year,R1,22.64850000000,gasboiler,0,2020
0,CO2f,all-week,night,2020,all-year,R2,22.64850000000,gasboiler,0,2020
2,CO2f,all-week,night,2020,all-year,R2,22.64850000000,gasboiler,0,2020
0,heat,all-week,morning,2020,all-year,R1,0.50000000000,gasboiler,1,2020
2,heat,all-week,morning,2020,all-year,R1,0.50000000000,gasboiler,1,2020
0,heat,all-week,morning,2020,all-year,R2,0.50000000000,gasboiler,1,2020
2,heat,all-week,morning,2020,all-year,R2,0.50000000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R1,32.35500000000,gasboiler,1,2020
2,CO2f,all-week,morning,2020,all-year,R1,32.35500000000,gasboiler,1,2020
0,CO2f,all-week,morning,2020,all-year,R2,32.35500000000,gasboiler,1,2020
2,CO2f,all-week,morning,2020,all-year,R2,32.35500000000,gasboiler,1,2020
0,heat,all-week,mid-afternoon,2020,all-year,R1,0.35000000000,gasboiler,2,2020
2,heat,all-week,mid-afternoon,2020,all-year,R1,0.35000000000,gasboiler,2,2020
0,heat,all-week,mid-afternoon,2020,all-year,R2,0.35000000000,gasboiler,2,2020
2,heat,all-week,mid-afternoon,2020,all-year,R2,0.35000000000,gasboiler,2,2020
0,CO2f,all-week,mid-afternoon,2020,all-year,R1,22.64850000000,gasboiler,2,2020
2,CO2f,all-week,mid-afternoon,2020,all-year,R1,22.64850000000,gasboiler,2,2020
0,CO2f,all-week,mid-afternoon,2020,all-year,R2,22.64850000000,gasboiler,2,2020
2,CO2f,all-week,mid-afternoon,2020,all-year,R2,22.64850000000,gasboiler,2,2020
0,heat,all-week,early-peak,2020,all-year,R1,0.50000000000,gasboiler,3,2020
2,heat,all-week,early-peak,2020,all-year,R1,0.50000000000,gasboiler,3,2020
0,heat,all-week,early-peak,2020,all-year,R2,0.50000000000,gasboiler,3,2020
2,heat,all-week,early-peak,2020,all-year,R2,0.50000000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R1,32.35500000000,gasboiler,3,2020
2,CO2f,all-week,early-peak,2020,all-year,R1,32.35500000000,gasboiler,3,2020
0,CO2f,all-week,early-peak,2020,all-year,R2,32.35500000000,gasboiler,3,2020
2,CO2f,all-week,early-peak,2020,all-year,R2,32.35500000000,gasboiler,3,2020
0,heat,all-week,late-peak,2020,all-year,R1,1.05000000000,gasboiler,4,2020
2,heat,all-week,late-peak,2020,all-year,R1,1.05000000000,gasboiler,4,2020
0,heat,all-week,late-peak,2020,all-year,R2,1.05000000000,gasboiler,4,2020
2,heat,all-week,late-peak,2020,all-year,R2,1.05000000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R1,67.94550000000,gasboiler,4,2020
2,CO2f,all-week,late-peak,2020,all-year,R1,67.94550000000,gasboiler,4,2020
0,CO2f,all-week,late-peak,2020,all-year,R2,67.94550000000,gasboiler,4,2020
2,CO2f,all-week,late-peak,2020,all-year,R2,67.94550000000,gasboiler,4,2020
0,heat,all-week,evening,2020,all-year,R1,0.70000000000,gasboiler,5,2020
2,heat,all-week,evening,2020,all-year,R1,0.70000000000,gasboiler,5,2020
0,heat,all-week,evening,2020,all-year,R2,0.70000000000,gasboiler,5,2020
2,heat,all-week,evening,2020,all-year,R2,0.70000000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R1,45.29700000000,gasboiler,5,2020
2,CO2f,all-week,evening,2020,all-year,R1,45.29700000000,gasboiler,5,2020
0,CO2f,all-week,evening,2020,all-year,R2,45.29700000000,gasboiler,5,2020
2,CO2f,all-week,evening,2020,all-year,R2,45.29700000000,gasboiler,5,2020
0,heat,all-week,early-morning,2020,all-year,R1,0.70000000000,gasboiler,6,2020
