timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2024,0,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R1,2024,2,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R1,2024,4,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R1,2024,5,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R1,2024,7,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R1,2024,8,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R1,2026,1,all-year,all-week,night,gasboiler,2024,0.04840000000
0,heat,R1,2026,3,all-year,all-week,night,gasboiler,2024,0.04840000000
0,heat,R1,2026,4,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R1,2026,5,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R1,2026,6,all-year,all-week,night,heatpump,2024,0.10330000000
0,heat,R1,2026,7,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R1,2026,8,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R1,2026,9,all-year,all-week,night,heatpump,2024,0.10330000000
0,heat,R2,2024,0,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R2,2024,2,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R2,2024,4,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R2,2024,5,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R2,2024,7,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R2,2024,8,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R2,2026,1,all-year,all-week,night,gasboiler,2024,0.04840000000
0,heat,R2,2026,3,all-year,all-week,night,gasboiler,2024,0.04840000000
0,heat,R2,2026,4,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R2,2026,5,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R2,2026,6,all-year,all-week,night,heatpump,2024,0.10330000000
0,heat,R2,2026,7,all-year,all-week,night,heatpump,2020,0.30050000000
0,heat,R2,2026,8,all-year,all-week,night,heatpump,2022,0.04760000000
0,heat,R2,2026,9,all-year,all-week,night,heatpump,2024,0.10330000000
0,CO2f,R1,2024,0,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R1,2024,2,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R1,2026,1,all-year,all-week,night,gasboiler,2024,3.13360000000
0,CO2f,R1,2026,3,all-year,all-week,night,gasboiler,2024,3.13360000000
0,CO2f,R2,2024,0,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R2,2024,2,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R2,2026,1,all-year,all-week,night,gasboiler,2024,3.13360000000
0,CO2f,R2,2026,3,all-year,all-week,night,gasboiler,2024,3.13360000000
1,heat,R1,2024,0,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R1,2024,2,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R1,2024,4,all-year,all-week,morning,heatpump,2020,0.45070000000
1,heat,R1,2024,5,all-year,all-week,morning,heatpump,2022,0.07140000000
1,heat,R1,2024,7,all-year,all-week,morning,heatpump,2020,0.45070000000
1,heat,R1,2024,8,all-year,all-week,morning,heatpump,2022,0.07140000000
1,heat,R1,2026,1,all-year,all-week,morning,gasboiler,2024,0.07260000000
1,heat,R1,2026,3,all-year,all-week,morning,gasboiler,2024,0.07260000000
1,heat,R1,2026,4,all-year,all-week,morning,heatpump,2020,0.45070000000
1,heat,R1,2026,5,all-year,all-week,morning,heatpump,2022,0.07140000000
