region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2038,all-year,all-week,night,1.57080000000
R1,0,heat,2040,all-year,all-week,night,1.66600000000
R1,0,heat,2043,all-year,all-week,night,1.79530000000
R1,1,heat,2038,all-year,all-week,morning,2.35620000000
R1,1,heat,2040,all-year,all-week,morning,2.49900000000
R1,1,heat,2043,all-year,all-week,morning,2.69290000000
R1,2,heat,2038,all-year,all-week,mid-afternoon,1.57080000000
R1,2,heat,2040,all-year,all-week,mid-afternoon,1.66600000000
R1,2,heat,2043,all-year,all-week,mid-afternoon,1.79530000000
R1,3,heat,2038,all-year,all-week,early-peak,2.35620000000
R1,3,heat,2040,all-year,all-week,early-peak,2.49900000000
R1,3,heat,2043,all-year,all-week,early-peak,2.69290000000
R1,4,heat,2038,all-year,all-week,late-peak,4.71460000000
R1,4,heat,2040,all-year,all-week,late-peak,5.00030000000
R1,4,heat,2043,all-year,all-week,late-peak,5.38840000000
R1,5,heat,2038,all-year,all-week,evening,3.14380000000
R1,5,heat,2040,all-year,all-week,evening,3.33430000000
R1,5,heat,2043,all-year,all-week,evening,3.59310000000
R1,6,heat,2038,all-year,all-week,early-morning,3.14380000000
R1,6,heat,2040,all-year,all-week,early-morning,3.33430000000
R1,6,heat,2043,all-year,all-week,early-morning,3.59310000000
R1,7,heat,2038,all-year,all-week,late-afternoon,3.14380000000
R1,7,heat,2040,all-year,all-week,late-afternoon,3.33430000000
R1,7,heat,2043,all-year,all-week,late-afternoon,3.59310000000
R2,0,heat,2038,all-year,all-week,night,1.57080000000
R2,0,heat,2040,all-year,all-week,night,1.66600000000
R2,0,heat,2043,all-year,all-week,night,1.79530000000
R2,1,heat,2038,all-year,all-week,morning,2.35620000000
R2,1,heat,2040,all-year,all-week,morning,2.49900000000
R2,1,heat,2043,all-year,all-week,morning,2.69290000000
R2,2,heat,2038,all-year,all-week,mid-afternoon,1.57080000000
R2,2,heat,2040,all-year,all-week,mid-afternoon,1.66600000000
R2,2,heat,2043,all-year,all-week,mid-afternoon,1.79530000000
R2,3,heat,2038,all-year,all-week,early-peak,2.35620000000
R2,3,heat,2040,all-year,all-week,early-peak,2.49900000000
R2,3,heat,2043,all-year,all-week,early-peak,2.69290000000
R2,4,heat,2038,all-year,all-week,late-peak,4.71460000000
R2,4,heat,2040,all-year,all-week,late-peak,5.00030000000
R2,4,heat,2043,all-year,all-week,late-peak,5.38840000000
R2,5,heat,2038,all-year,all-week,evening,3.14380000000
R2,5,heat,2040,all-year,all-week,evening,3.33430000000
R2,5,heat,2043,all-year,all-week,evening,3.59310000000
R2,6,heat,2038,all-year,all-week,early-morning,3.14380000000
R2,6,heat,2040,all-year,all-week,early-morning,3.33430000000
R2,6,heat,2043,all-year,all-week,early-morning,3.59310000000
R2,7,heat,2038,all-year,all-week,late-afternoon,3.14380000000
R2,7,heat,2040,all-year,all-week,late-afternoon,3.33430000000
R2,7,heat,2043,all-year,all-week,late-afternoon,3.59310000000
