month,day,hour,technology,installed,supply
all-year,all-week,night,heatpump,2030,0.27220000000
all-year,all-week,night,heatpump,2032,0.12560000000
all-year,all-week,night,heatpump,2034,0.12560000000
all-year,all-week,night,heatpump,2036,0.12560000000
all-year,all-week,night,heatpump,2038,0.16750000000
all-year,all-week,night,heatpump,2030,0.27220000000
all-year,all-week,night,heatpump,2032,0.12560000000
all-year,all-week,night,heatpump,2034,0.12560000000
all-year,all-week,night,heatpump,2036,0.12560000000
all-year,all-week,night,heatpump,2038,0.16750000000
all-year,all-week,night,heatpump,2032,0.12630000000
all-year,all-week,night,heatpump,2034,0.12630000000
all-year,all-week,night,heatpump,2036,0.12630000000
all-year,all-week,night,heatpump,2038,0.16850000000
all-year,all-week,night,heatpump,2040,0.31590000000
all-year,all-week,night,heatpump,2032,0.12630000000
all-year,all-week,night,heatpump,2034,0.12630000000
all-year,all-week,night,heatpump,2036,0.12630000000
all-year,all-week,night,heatpump,2038,0.16850000000
all-year,all-week,night,heatpump,2040,0.31590000000
all-year,all-week,night,heatpump,2030,0.27220000000
all-year,all-week,night,heatpump,2032,0.12560000000
all-year,all-week,night,heatpump,2034,0.12560000000
all-year,all-week,night,heatpump,2036,0.12560000000
all-year,all-week,night,heatpump,2038,0.16750000000
all-year,all-week,night,heatpump,2030,0.27220000000
all-year,all-week,night,heatpump,2032,0.12560000000
all-year,all-week,night,heatpump,2034,0.12560000000
all-year,all-week,night,heatpump,2036,0.12560000000
all-year,all-week,night,heatpump,2038,0.16750000000
all-year,all-week,night,heatpump,2032,0.12630000000
all-year,all-week,night,heatpump,2034,0.12630000000
all-year,all-week,night,heatpump,2036,0.12630000000
all-year,all-week,night,heatpump,2038,0.16850000000
all-year,all-week,night,heatpump,2040,0.31590000000
all-year,all-week,night,heatpump,2032,0.12630000000
all-year,all-week,night,heatpump,2034,0.12630000000
all-year,all-week,night,heatpump,2036,0.12630000000
all-year,all-week,night,heatpump,2038,0.16850000000
all-year,all-week,night,heatpump,2040,0.31590000000
all-year,all-week,morning,heatpump,2030,0.38890000000
all-year,all-week,morning,heatpump,2032,0.17950000000
all-year,all-week,morning,heatpump,2034,0.17950000000
all-year,all-week,morning,heatpump,2036,0.17950000000
all-year,all-week,morning,heatpump,2038,0.23930000000
all-year,all-week,morning,heatpump,2030,0.38890000000
all-year,all-week,morning,heatpump,2032,0.17950000000
all-year,all-week,morning,heatpump,2034,0.17950000000
all-year,all-week,morning,heatpump,2036,0.17950000000
all-year,all-week,morning,heatpump,2038,0.23930000000
all-year,all-week,morning,heatpump,2032,0.18050000000
all-year,all-week,morning,heatpump,2034,0.18050000000
all-year,all-week,morning,heatpump,2036,0.18050000000
all-year,all-week,morning,heatpump,2038,0.24070000000
all-year,all-week,morning,heatpump,2040,0.45120000000
all-year,all-week,morning,heatpump,2032,0.18050000000
all-year,all-week,morning,heatpump,2034,0.18050000000
all-year,all-week,morning,heatpump,2036,0.18050000000
all-year,all-week,morning,heatpump,2038,0.24070000000
all-year,all-week,morning,heatpump,2040,0.45120000000
all-year,all-week,morning,heatpump,2030,0.38890000000
all-year,all-week,morning,heatpump,2032,0.17950000000
all-year,all-week,morning,heatpump,2034,0.17950000000
all-year,all-week,morning,heatpump,2036,0.17950000000
all-year,all-week,morning,heatpump,2038,0.23930000000
all-year,all-week,morning,heatpump,2030,0.38890000000
all-year,all-week,morning,heatpump,2032,0.17950000000
all-year,all-week,morning,heatpump,2034,0.17950000000
all-year,all-week,morning,heatpump,2036,0.17950000000
all-year,all-week,morning,heatpump,2038,0.23930000000
all-year,all-week,morning,heatpump,2032,0.18050000000
all-year,all-week,morning,heatpump,2034,0.18050000000
all-year,all-week,morning,heatpump,2036,0.18050000000
all-year,all-week,morning,heatpump,2038,0.24070000000
all-year,all-week,morning,heatpump,2040,0.45120000000
all-year,all-week,morning,heatpump,2032,0.18050000000
all-year,all-week,morning,heatpump,2034,0.18050000000
all-year,all-week,morning,heatpump,2036,0.18050000000
all-year,all-week,morning,heatpump,2038,0.24070000000
all-year,all-week,morning,heatpump,2040,0.45120000000
all-year,all-week,mid-afternoon,heatpump,2030,0.27220000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16750000000
all-year,all-week,mid-afternoon,heatpump,2030,0.27220000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16750000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16850000000
all-year,all-week,mid-afternoon,heatpump,2040,0.31590000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16850000000
all-year,all-week,mid-afternoon,heatpump,2040,0.31590000000
all-year,all-week,mid-afternoon,heatpump,2030,0.27220000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16750000000
all-year,all-week,mid-afternoon,heatpump,2030,0.27220000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12560000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16750000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16850000000
all-year,all-week,mid-afternoon,heatpump,2040,0.31590000000
all-year,all-week,mid-afternoon,heatpump,2032,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2034,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2036,0.12630000000
all-year,all-week,mid-afternoon,heatpump,2038,0.16850000000
all-year,all-week,mid-afternoon,heatpump,2040,0.31590000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2030,0.38890000000
all-year,all-week,early-peak,heatpump,2032,0.17950000000
all-year,all-week,early-peak,heatpump,2034,0.17950000000
all-year,all-week,early-peak,heatpump,2036,0.17950000000
all-year,all-week,early-peak,heatpump,2038,0.23930000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
all-year,all-week,early-peak,heatpump,2038,0.24070000000
all-year,all-week,early-peak,heatpump,2040,0.45120000000
all-year,all-week,early-peak,heatpump,2032,0.18050000000
all-year,all-week,early-peak,heatpump,2034,0.18050000000
all-year,all-week,early-peak,heatpump,2036,0.18050000000
