asset,capacity,installed,region,technology,year
0,15.00000000000,2020,R1,gassupply1,2020
1,15.00000000000,2020,R2,gassupply1,2020
0,31.49320000000,2020,R1,gassupply1,2025
2,31.49320000000,2020,R2,gassupply1,2025
0,23.99320000000,2020,R1,gassupply1,2030
1,10.24680000000,2025,R1,gassupply1,2030
3,23.99320000000,2020,R2,gassupply1,2030
4,10.24680000000,2025,R2,gassupply1,2030
0,16.49320000000,2020,R1,gassupply1,2035
1,10.24680000000,2025,R1,gassupply1,2035
2,2.60860000000,2030,R1,gassupply1,2035
4,16.49320000000,2020,R2,gassupply1,2035
5,10.24680000000,2025,R2,gassupply1,2035
6,2.60860000000,2030,R2,gassupply1,2035
0,16.49320000000,2020,R1,gassupply1,2040
1,10.24680000000,2025,R1,gassupply1,2040
2,2.60860000000,2030,R1,gassupply1,2040
3,4.89140000000,2035,R1,gassupply1,2040
4,16.49320000000,2020,R2,gassupply1,2040
5,10.24680000000,2025,R2,gassupply1,2040
6,2.60860000000,2030,R2,gassupply1,2040
7,4.89140000000,2035,R2,gassupply1,2040
0,16.49320000000,2020,R1,gassupply1,2045
1,10.24680000000,2025,R1,gassupply1,2045
2,2.60860000000,2030,R1,gassupply1,2045
3,4.89140000000,2035,R1,gassupply1,2045
4,16.49320000000,2020,R2,gassupply1,2045
5,10.24680000000,2025,R2,gassupply1,2045
6,2.60860000000,2030,R2,gassupply1,2045
7,4.89140000000,2035,R2,gassupply1,2045
0,16.49320000000,2020,R1,gassupply1,2050
1,10.24680000000,2025,R1,gassupply1,2050
2,2.60860000000,2030,R1,gassupply1,2050
3,4.89140000000,2035,R1,gassupply1,2050
4,16.49320000000,2020,R2,gassupply1,2050
5,10.24680000000,2025,R2,gassupply1,2050
6,2.60860000000,2030,R2,gassupply1,2050
7,4.89140000000,2035,R2,gassupply1,2050
