technology,dst_region,region,agent,sector,type,year,capacity
gas_stove,R1,R1,A1,residential,retrofit,2020,10.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2020,10.00000000000
gas_stove,R2,R2,A1,residential,retrofit,2020,10.00000000000
gasboiler,R2,R2,A1,residential,retrofit,2020,10.00000000000
gasCCGT,R1,R1,A1,power,retrofit,2020,1.00000000000
gasCCGT,R2,R2,A1,power,retrofit,2020,1.00000000000
gassupply1,R1,R1,A1,gas,retrofit,2020,15.00000000000
gassupply1,R2,R2,A1,gas,retrofit,2020,15.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2025,17.40000000000
gas_stove,R1,R1,A1,residential,retrofit,2025,5.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,5.00000000000
heatpump,R1,R1,A1,residential,retrofit,2025,17.40000000000
electric_stove,R2,R2,A1,residential,retrofit,2025,17.40000000000
gas_stove,R2,R2,A1,residential,retrofit,2025,5.00000000000
gasboiler,R2,R2,A1,residential,retrofit,2025,5.00000000000
heatpump,R2,R2,A1,residential,retrofit,2025,17.40000000000
gasCCGT,R1,R1,A1,power,retrofit,2025,1.00000000000
solarPV,R1,R1,A1,power,retrofit,2025,12.55000000000
windturbine,R1,R1,A1,power,retrofit,2025,20.00000000000
gasCCGT,R2,R2,A1,power,retrofit,2025,1.00000000000
windturbine,R2,R2,A1,power,retrofit,2025,32.55000000000
gassupply1,R1,R1,A1,gas,retrofit,2025,15.00000000000
gassupply1,R2,R2,A1,gas,retrofit,2025,15.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2030,17.40000000000
electric_stove,R1,R1,A1,residential,retrofit,2030,6.74000000000
gas_stove,R1,R1,A1,residential,retrofit,2030,3.86000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,3.86000000000
heatpump,R1,R1,A1,residential,retrofit,2030,17.40000000000
heatpump,R1,R1,A1,residential,retrofit,2030,6.74000000000
electric_stove,R2,R2,A1,residential,retrofit,2030,17.40000000000
electric_stove,R2,R2,A1,residential,retrofit,2030,6.74000000000
gas_stove,R2,R2,A1,residential,retrofit,2030,3.86000000000
gasboiler,R2,R2,A1,residential,retrofit,2030,3.86000000000
heatpump,R2,R2,A1,residential,retrofit,2030,17.40000000000
heatpump,R2,R2,A1,residential,retrofit,2030,6.74000000000
solarPV,R1,R1,A1,power,retrofit,2030,12.55000000000
solarPV,R1,R1,A1,power,retrofit,2030,15.73000000000
windturbine,R1,R1,A1,power,retrofit,2030,20.00000000000
solarPV,R2,R2,A1,power,retrofit,2030,15.73000000000
windturbine,R2,R2,A1,power,retrofit,2030,32.55000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,7.50000000000
gassupply1,R1,R1,A1,gas,retrofit,2030,2.45020000000
gassupply1,R2,R2,A1,gas,retrofit,2030,7.50000000000
gassupply1,R2,R2,A1,gas,retrofit,2030,2.45020000000
electric_stove,R1,R1,A1,residential,retrofit,2035,6.74000000000
electric_stove,R1,R1,A1,residential,retrofit,2035,23.00000000000
gas_stove,R1,R1,A1,residential,retrofit,2035,3.86000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,3.86000000000
heatpump,R1,R1,A1,residential,retrofit,2035,6.74000000000
heatpump,R1,R1,A1,residential,retrofit,2035,23.00000000000
electric_stove,R2,R2,A1,residential,retrofit,2035,6.74000000000
electric_stove,R2,R2,A1,residential,retrofit,2035,23.00000000000
gas_stove,R2,R2,A1,residential,retrofit,2035,3.86000000000
gasboiler,R2,R2,A1,residential,retrofit,2035,3.86000000000
heatpump,R2,R2,A1,residential,retrofit,2035,6.74000000000
heatpump,R2,R2,A1,residential,retrofit,2035,23.00000000000
solarPV,R1,R1,A1,power,retrofit,2035,12.55000000000
solarPV,R1,R1,A1,power,retrofit,2035,15.73000000000
solarPV,R1,R1,A1,power,retrofit,2035,20.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,20.00000000000
windturbine,R1,R1,A1,power,retrofit,2035,2.40000000000
solarPV,R2,R2,A1,power,retrofit,2035,15.73000000000
solarPV,R2,R2,A1,power,retrofit,2035,11.20000000000
windturbine,R2,R2,A1,power,retrofit,2035,32.55000000000
gassupply1,R1,R1,A1,gas,retrofit,2035,2.45020000000
gassupply1,R1,R1,A1,gas,retrofit,2035,7.50000000000
gassupply1,R2,R2,A1,gas,retrofit,2035,2.45020000000
gassupply1,R2,R2,A1,gas,retrofit,2035,7.50000000000
electric_stove,R1,R1,A1,residential,retrofit,2040,23.00000000000
electric_stove,R1,R1,A1,residential,retrofit,2040,15.31400000000
gas_stove,R1,R1,A1,residential,retrofit,2040,0.88600000000
gasboiler,R1,R1,A1,residential,retrofit,2040,0.88600000000
heatpump,R1,R1,A1,residential,retrofit,2040,23.00000000000
heatpump,R1,R1,A1,residential,retrofit,2040,15.31400000000
electric_stove,R2,R2,A1,residential,retrofit,2040,23.00000000000
electric_stove,R2,R2,A1,residential,retrofit,2040,15.31400000000
gas_stove,R2,R2,A1,residential,retrofit,2040,0.88600000000
gasboiler,R2,R2,A1,residential,retrofit,2040,0.88600000000
heatpump,R2,R2,A1,residential,retrofit,2040,23.00000000000
heatpump,R2,R2,A1,residential,retrofit,2040,15.31400000000
solarPV,R1,R1,A1,power,retrofit,2040,12.55000000000
solarPV,R1,R1,A1,power,retrofit,2040,15.73000000000
solarPV,R1,R1,A1,power,retrofit,2040,20.00000000000
solarPV,R1,R1,A1,power,retrofit,2040,5.94800000000
windturbine,R1,R1,A1,power,retrofit,2040,20.00000000000
windturbine,R1,R1,A1,power,retrofit,2040,2.40000000000
solarPV,R2,R2,A1,power,retrofit,2040,15.73000000000
solarPV,R2,R2,A1,power,retrofit,2040,11.20000000000
solarPV,R2,R2,A1,power,retrofit,2040,17.14800000000
windturbine,R2,R2,A1,power,retrofit,2040,32.55000000000
gassupply1,R1,R1,A1,gas,retrofit,2040,2.45020000000
gassupply1,R1,R1,A1,gas,retrofit,2040,7.50000000000
gassupply1,R2,R2,A1,gas,retrofit,2040,2.45020000000
gassupply1,R2,R2,A1,gas,retrofit,2040,7.50000000000
electric_stove,R1,R1,A1,residential,retrofit,2045,15.31400000000
electric_stove,R1,R1,A1,residential,retrofit,2045,28.60000000000
gas_stove,R1,R1,A1,residential,retrofit,2045,0.88600000000
gasboiler,R1,R1,A1,residential,retrofit,2045,0.88600000000
heatpump,R1,R1,A1,residential,retrofit,2045,15.31400000000
heatpump,R1,R1,A1,residential,retrofit,2045,28.60000000000
electric_stove,R2,R2,A1,residential,retrofit,2045,15.31400000000
electric_stove,R2,R2,A1,residential,retrofit,2045,28.60000000000
gas_stove,R2,R2,A1,residential,retrofit,2045,0.88600000000
gasboiler,R2,R2,A1,residential,retrofit,2045,0.88600000000
heatpump,R2,R2,A1,residential,retrofit,2045,15.31400000000
heatpump,R2,R2,A1,residential,retrofit,2045,28.60000000000
solarPV,R1,R1,A1,power,retrofit,2045,12.55000000000
solarPV,R1,R1,A1,power,retrofit,2045,15.73000000000
solarPV,R1,R1,A1,power,retrofit,2045,20.00000000000
solarPV,R1,R1,A1,power,retrofit,2045,5.94800000000
solarPV,R1,R1,A1,power,retrofit,2045,11.20000000000
windturbine,R1,R1,A1,power,retrofit,2045,20.00000000000
windturbine,R1,R1,A1,power,retrofit,2045,2.40000000000
solarPV,R2,R2,A1,power,retrofit,2045,15.73000000000
solarPV,R2,R2,A1,power,retrofit,2045,11.20000000000
solarPV,R2,R2,A1,power,retrofit,2045,17.14800000000
solarPV,R2,R2,A1,power,retrofit,2045,11.20000000000
windturbine,R2,R2,A1,power,retrofit,2045,32.55000000000
gassupply1,R1,R1,A1,gas,retrofit,2045,2.45020000000
gassupply1,R1,R1,A1,gas,retrofit,2045,7.50000000000
gassupply1,R2,R2,A1,gas,retrofit,2045,2.45020000000
gassupply1,R2,R2,A1,gas,retrofit,2045,7.50000000000
electric_stove,R1,R1,A1,residential,retrofit,2050,28.60000000000
