asset,year,region,installed,technology,capacity
1,2030,R1,2020,solarPV,13.46730000000
1,2035,R1,2020,solarPV,13.46730000000
1,2040,R1,2020,solarPV,13.46730000000
1,2045,R1,2020,solarPV,13.46730000000
1,2049,R1,2020,solarPV,13.46730000000
2,2030,R1,2020,windturbine,20.00000000000
2,2035,R1,2020,windturbine,20.00000000000
2,2040,R1,2020,windturbine,20.00000000000
2,2045,R1,2020,windturbine,20.00000000000
2,2049,R1,2020,windturbine,20.00000000000
3,2030,R1,2025,solarPV,19.39350000000
3,2035,R1,2025,solarPV,19.39350000000
3,2040,R1,2025,solarPV,19.39350000000
3,2045,R1,2025,solarPV,19.39350000000
3,2049,R1,2025,solarPV,19.39350000000
3,2050,R1,2025,solarPV,19.39350000000
3,2054,R1,2025,solarPV,19.39350000000
4,2035,R1,2030,solarPV,11.42930000000
4,2040,R1,2030,solarPV,11.42930000000
4,2045,R1,2030,solarPV,11.42930000000
4,2049,R1,2030,solarPV,11.42930000000
4,2050,R1,2030,solarPV,11.42930000000
4,2054,R1,2030,solarPV,11.42930000000
4,2055,R1,2030,solarPV,11.42930000000
4,2059,R1,2030,solarPV,11.42930000000
6,2030,R2,2020,windturbine,33.46730000000
6,2035,R2,2020,windturbine,33.46730000000
6,2040,R2,2020,windturbine,33.46730000000
6,2045,R2,2020,windturbine,33.46730000000
6,2049,R2,2020,windturbine,33.46730000000
7,2030,R2,2025,solarPV,19.39350000000
7,2035,R2,2025,solarPV,19.39350000000
7,2040,R2,2025,solarPV,19.39350000000
7,2045,R2,2025,solarPV,19.39350000000
7,2049,R2,2025,solarPV,19.39350000000
7,2050,R2,2025,solarPV,19.39350000000
7,2054,R2,2025,solarPV,19.39350000000
8,2035,R2,2030,solarPV,11.42930000000
8,2040,R2,2030,solarPV,11.42930000000
8,2045,R2,2030,solarPV,11.42930000000
8,2049,R2,2030,solarPV,11.42930000000
8,2050,R2,2030,solarPV,11.42930000000
8,2054,R2,2030,solarPV,11.42930000000
8,2055,R2,2030,solarPV,11.42930000000
8,2059,R2,2030,solarPV,11.42930000000
