asset,year,region,technology,installed,capacity
0,2020,R1,gasCCGT,2020,1.00000000000
0,2025,R1,gasCCGT,2020,11.00000000000
0,2030,R1,gasCCGT,2020,10.00000000000
0,2035,R1,gasCCGT,2020,10.00000000000
0,2040,R1,gasCCGT,2020,10.00000000000
0,2045,R1,gasCCGT,2020,10.00000000000
0,2049,R1,gasCCGT,2020,10.00000000000
0,2050,R1,gasCCGT,2020,10.00000000000
0,2059,R1,gasCCGT,2020,10.00000000000
1,2030,R1,gasCCGT,2025,10.50300000000
1,2035,R1,gasCCGT,2025,10.50300000000
1,2040,R1,gasCCGT,2025,10.50300000000
1,2045,R1,gasCCGT,2025,10.50300000000
1,2049,R1,gasCCGT,2025,10.50300000000
1,2050,R1,gasCCGT,2025,10.50300000000
1,2059,R1,gasCCGT,2025,10.50300000000
1,2060,R1,gasCCGT,2025,10.50300000000
1,2064,R1,gasCCGT,2025,10.50300000000
2,2035,R1,solarPV,2030,20.00000000000
2,2040,R1,solarPV,2030,20.00000000000
2,2045,R1,solarPV,2030,20.00000000000
2,2049,R1,solarPV,2030,20.00000000000
2,2050,R1,solarPV,2030,20.00000000000
2,2059,R1,solarPV,2030,20.00000000000
3,2045,R1,solarPV,2040,11.20000000000
3,2049,R1,solarPV,2040,11.20000000000
3,2050,R1,solarPV,2040,11.20000000000
3,2059,R1,solarPV,2040,11.20000000000
3,2060,R1,solarPV,2040,11.20000000000
3,2064,R1,solarPV,2040,11.20000000000
3,2065,R1,solarPV,2040,11.20000000000
3,2069,R1,solarPV,2040,11.20000000000
4,2050,R1,solarPV,2045,20.00000000000
4,2059,R1,solarPV,2045,20.00000000000
4,2060,R1,solarPV,2045,20.00000000000
4,2064,R1,solarPV,2045,20.00000000000
4,2065,R1,solarPV,2045,20.00000000000
4,2069,R1,solarPV,2045,20.00000000000
4,2070,R1,solarPV,2045,20.00000000000
4,2074,R1,solarPV,2045,20.00000000000
5,2025,R1,windturbine,2020,9.86820000000
5,2030,R1,windturbine,2020,9.86820000000
5,2035,R1,windturbine,2020,9.86820000000
5,2040,R1,windturbine,2020,9.86820000000
5,2045,R1,windturbine,2020,9.86820000000
5,2049,R1,windturbine,2020,9.86820000000
6,2035,R1,windturbine,2030,2.40000000000
6,2040,R1,windturbine,2030,2.40000000000
6,2045,R1,windturbine,2030,2.40000000000
6,2049,R1,windturbine,2030,2.40000000000
6,2050,R1,windturbine,2030,2.40000000000
6,2059,R1,windturbine,2030,2.40000000000
7,2050,R1,windturbine,2045,1.06820000000
7,2059,R1,windturbine,2045,1.06820000000
7,2060,R1,windturbine,2045,1.06820000000
