asset,year,technology,region,installed,capacity
0,2045,electric_stove,R1,2035,15.31400000000
0,2049,electric_stove,R1,2035,15.31400000000
1,2045,electric_stove,R1,2040,28.60000000000
1,2049,electric_stove,R1,2040,28.60000000000
1,2050,electric_stove,R1,2040,28.60000000000
1,2054,electric_stove,R1,2040,28.60000000000
2,2050,electric_stove,R1,2045,21.80000000000
2,2054,electric_stove,R1,2045,21.80000000000
2,2055,electric_stove,R1,2045,21.80000000000
2,2059,electric_stove,R1,2045,21.80000000000
3,2045,electric_stove,R2,2035,15.31400000000
3,2049,electric_stove,R2,2035,15.31400000000
4,2045,electric_stove,R2,2040,28.60000000000
4,2049,electric_stove,R2,2040,28.60000000000
4,2050,electric_stove,R2,2040,28.60000000000
4,2054,electric_stove,R2,2040,28.60000000000
5,2050,electric_stove,R2,2045,21.80000000000
5,2054,electric_stove,R2,2045,21.80000000000
5,2055,electric_stove,R2,2045,21.80000000000
5,2059,electric_stove,R2,2045,21.80000000000
6,2045,gas_stove,R1,2035,0.88600000000
6,2049,gas_stove,R1,2035,0.88600000000
7,2045,gas_stove,R2,2035,0.88600000000
7,2049,gas_stove,R2,2035,0.88600000000
8,2045,gasboiler,R1,2035,0.88600000000
8,2049,gasboiler,R1,2035,0.88600000000
9,2045,gasboiler,R2,2035,0.88600000000
9,2049,gasboiler,R2,2035,0.88600000000
10,2045,heatpump,R1,2035,15.31400000000
10,2049,heatpump,R1,2035,15.31400000000
11,2045,heatpump,R1,2040,28.60000000000
11,2049,heatpump,R1,2040,28.60000000000
11,2050,heatpump,R1,2040,28.60000000000
11,2054,heatpump,R1,2040,28.60000000000
12,2050,heatpump,R1,2045,21.80000000000
12,2054,heatpump,R1,2045,21.80000000000
12,2055,heatpump,R1,2045,21.80000000000
12,2059,heatpump,R1,2045,21.80000000000
13,2045,heatpump,R2,2035,15.31400000000
13,2049,heatpump,R2,2035,15.31400000000
14,2045,heatpump,R2,2040,28.60000000000
14,2049,heatpump,R2,2040,28.60000000000
14,2050,heatpump,R2,2040,28.60000000000
14,2054,heatpump,R2,2040,28.60000000000
15,2050,heatpump,R2,2045,21.80000000000
15,2054,heatpump,R2,2045,21.80000000000
15,2055,heatpump,R2,2045,21.80000000000
15,2059,heatpump,R2,2045,21.80000000000
