asset,year,region,technology,installed,capacity
0,2025,R1,electric_stove,2020,17
0,2030,R1,electric_stove,2020,17
0,2034,R1,electric_stove,2020,17
1,2030,R1,electric_stove,2025,11
1,2034,R1,electric_stove,2025,11
1,2035,R1,electric_stove,2025,11
1,2039,R1,electric_stove,2025,11
2,2035,R1,electric_stove,2030,22
2,2039,R1,electric_stove,2030,22
2,2040,R1,electric_stove,2030,22
2,2044,R1,electric_stove,2030,22
3,2040,R1,electric_stove,2035,17
3,2044,R1,electric_stove,2035,17
3,2045,R1,electric_stove,2035,17
3,2049,R1,electric_stove,2035,17
4,2045,R1,electric_stove,2040,27
4,2049,R1,electric_stove,2040,27
4,2050,R1,electric_stove,2040,27
4,2054,R1,electric_stove,2040,27
5,2050,R1,electric_stove,2045,23
5,2054,R1,electric_stove,2045,23
5,2055,R1,electric_stove,2045,23
5,2059,R1,electric_stove,2045,23
6,2055,R1,electric_stove,2050,27
6,2059,R1,electric_stove,2050,27
6,2060,R1,electric_stove,2050,27
6,2064,R1,electric_stove,2050,27
7,2020,R1,gas_stove,2020,10
7,2025,R1,gas_stove,2020,5
8,2020,R1,gasboiler,2020,10
8,2025,R1,gasboiler,2020,5
9,2025,R1,heatpump,2020,17
9,2030,R1,heatpump,2020,17
9,2034,R1,heatpump,2020,17
10,2030,R1,heatpump,2025,11
10,2034,R1,heatpump,2025,11
10,2035,R1,heatpump,2025,11
10,2039,R1,heatpump,2025,11
11,2035,R1,heatpump,2030,22
11,2039,R1,heatpump,2030,22
11,2040,R1,heatpump,2030,22
11,2044,R1,heatpump,2030,22
12,2040,R1,heatpump,2035,17
12,2044,R1,heatpump,2035,17
12,2045,R1,heatpump,2035,17
12,2049,R1,heatpump,2035,17
13,2045,R1,heatpump,2040,27
13,2049,R1,heatpump,2040,27
13,2050,R1,heatpump,2040,27
13,2054,R1,heatpump,2040,27
14,2050,R1,heatpump,2045,23
14,2054,R1,heatpump,2045,23
14,2055,R1,heatpump,2045,23
14,2059,R1,heatpump,2045,23
15,2055,R1,heatpump,2050,27
15,2059,R1,heatpump,2050,27
15,2060,R1,heatpump,2050,27
15,2064,R1,heatpump,2050,27
16,2025,R2,electric_stove,2020,17
16,2030,R2,electric_stove,2020,17
16,2034,R2,electric_stove,2020,17
17,2030,R2,electric_stove,2025,11
17,2034,R2,electric_stove,2025,11
17,2035,R2,electric_stove,2025,11
17,2039,R2,electric_stove,2025,11
18,2035,R2,electric_stove,2030,22
18,2039,R2,electric_stove,2030,22
18,2040,R2,electric_stove,2030,22
18,2044,R2,electric_stove,2030,22
19,2040,R2,electric_stove,2035,17
19,2044,R2,electric_stove,2035,17
19,2045,R2,electric_stove,2035,17
19,2049,R2,electric_stove,2035,17
20,2045,R2,electric_stove,2040,27
20,2049,R2,electric_stove,2040,27
20,2050,R2,electric_stove,2040,27
20,2054,R2,electric_stove,2040,27
21,2050,R2,electric_stove,2045,23
21,2054,R2,electric_stove,2045,23
21,2055,R2,electric_stove,2045,23
21,2059,R2,electric_stove,2045,23
22,2055,R2,electric_stove,2050,27
22,2059,R2,electric_stove,2050,27
22,2060,R2,electric_stove,2050,27
22,2064,R2,electric_stove,2050,27
23,2020,R2,gas_stove,2020,10
23,2025,R2,gas_stove,2020,5
24,2020,R2,gasboiler,2020,10
24,2025,R2,gasboiler,2020,5
25,2025,R2,heatpump,2020,17
25,2030,R2,heatpump,2020,17
25,2034,R2,heatpump,2020,17
26,2030,R2,heatpump,2025,11
26,2034,R2,heatpump,2025,11
26,2035,R2,heatpump,2025,11
26,2039,R2,heatpump,2025,11
27,2035,R2,heatpump,2030,22
27,2039,R2,heatpump,2030,22
27,2040,R2,heatpump,2030,22
27,2044,R2,heatpump,2030,22
28,2040,R2,heatpump,2035,17
28,2044,R2,heatpump,2035,17
28,2045,R2,heatpump,2035,17
28,2049,R2,heatpump,2035,17
29,2045,R2,heatpump,2040,27
29,2049,R2,heatpump,2040,27
29,2050,R2,heatpump,2040,27
29,2054,R2,heatpump,2040,27
30,2050,R2,heatpump,2045,23
30,2054,R2,heatpump,2045,23
30,2055,R2,heatpump,2045,23
30,2059,R2,heatpump,2045,23
31,2055,R2,heatpump,2050,27
31,2059,R2,heatpump,2050,27
31,2060,R2,heatpump,2050,27
31,2064,R2,heatpump,2050,27
