region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2020,all-year,all-week,night,1.00000000000
R1,0,heat,2025,all-year,all-week,night,1.33330000000
R1,0,CO2f,2020,all-year,all-week,night,64.71000000000
R1,0,CO2f,2025,all-year,all-week,night,15.97780000000
R1,1,heat,2020,all-year,all-week,morning,1.50000000000
R1,1,heat,2025,all-year,all-week,morning,2.00000000000
R1,1,CO2f,2020,all-year,all-week,morning,97.06500000000
R1,1,CO2f,2025,all-year,all-week,morning,23.96670000000
R1,2,heat,2020,all-year,all-week,mid-afternoon,1.00000000000
R1,2,heat,2025,all-year,all-week,mid-afternoon,1.33330000000
R1,2,CO2f,2020,all-year,all-week,mid-afternoon,64.71000000000
R1,2,CO2f,2025,all-year,all-week,mid-afternoon,15.97780000000
R1,3,heat,2020,all-year,all-week,early-peak,1.50000000000
R1,3,heat,2025,all-year,all-week,early-peak,2.00000000000
R1,3,CO2f,2020,all-year,all-week,early-peak,97.06500000000
R1,3,CO2f,2025,all-year,all-week,early-peak,23.96670000000
R1,4,heat,2020,all-year,all-week,late-peak,3.00000000000
R1,4,heat,2025,all-year,all-week,late-peak,4.00000000000
R1,4,CO2f,2020,all-year,all-week,late-peak,194.13000000000
R1,4,CO2f,2025,all-year,all-week,late-peak,47.93330000000
R1,5,heat,2020,all-year,all-week,evening,2.00000000000
R1,5,heat,2025,all-year,all-week,evening,2.66670000000
R1,5,CO2f,2020,all-year,all-week,evening,129.42000000000
R1,5,CO2f,2025,all-year,all-week,evening,31.95560000000
R1,6,heat,2020,all-year,all-week,early-morning,2.00000000000
R1,6,heat,2025,all-year,all-week,early-morning,2.50000000000
R1,6,CO2f,2020,all-year,all-week,early-morning,129.42000000000
R1,6,CO2f,2025,all-year,all-week,early-morning,29.95830000000
R1,7,heat,2020,all-year,all-week,late-afternoon,2.00000000000
R1,7,heat,2025,all-year,all-week,late-afternoon,2.50000000000
R1,7,CO2f,2020,all-year,all-week,late-afternoon,129.42000000000
R1,7,CO2f,2025,all-year,all-week,late-afternoon,29.95830000000
