timeslice,commodity,region,year,asset,technology,installed,month,day,hour,supply
0,heat,R1,2025,8,gasboiler,2020,all-year,all-week,night,0.10420000000
0,heat,R1,2025,10,gasboiler,2020,all-year,all-week,night,0.10420000000
0,heat,R1,2025,12,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R1,2025,14,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R1,2030,9,gasboiler,2025,all-year,all-week,night,0.04420000000
0,heat,R1,2030,11,gasboiler,2025,all-year,all-week,night,0.04420000000
0,heat,R1,2030,12,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R1,2030,13,heatpump,2025,all-year,all-week,night,0.17670000000
0,heat,R1,2030,14,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R1,2030,15,heatpump,2025,all-year,all-week,night,0.17670000000
0,heat,R2,2025,8,gasboiler,2020,all-year,all-week,night,0.10420000000
0,heat,R2,2025,10,gasboiler,2020,all-year,all-week,night,0.10420000000
0,heat,R2,2025,12,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R2,2025,14,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R2,2030,9,gasboiler,2025,all-year,all-week,night,0.04420000000
0,heat,R2,2030,11,gasboiler,2025,all-year,all-week,night,0.04420000000
0,heat,R2,2030,12,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R2,2030,13,heatpump,2025,all-year,all-week,night,0.17670000000
0,heat,R2,2030,14,heatpump,2020,all-year,all-week,night,0.36250000000
0,heat,R2,2030,15,heatpump,2025,all-year,all-week,night,0.17670000000
0,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,night,5.20830000000
0,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,night,5.20830000000
0,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,night,6.74060000000
0,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,night,6.74060000000
0,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,night,2.20830000000
0,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,night,2.20830000000
0,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,night,2.85800000000
0,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,night,2.85800000000
0,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,night,5.20830000000
0,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,night,5.20830000000
0,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,night,6.74060000000
0,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,night,6.74060000000
0,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,night,2.20830000000
0,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,night,2.20830000000
0,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,night,2.85800000000
0,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,night,2.85800000000
0,cook,R1,2025,0,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R1,2025,2,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R1,2025,4,gas_stove,2020,all-year,all-week,night,0.10420000000
0,cook,R1,2025,6,gas_stove,2020,all-year,all-week,night,0.10420000000
0,cook,R1,2030,0,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R1,2030,1,electric_stove,2025,all-year,all-week,night,0.17670000000
0,cook,R1,2030,2,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R1,2030,3,electric_stove,2025,all-year,all-week,night,0.17670000000
0,cook,R1,2030,5,gas_stove,2025,all-year,all-week,night,0.04420000000
0,cook,R1,2030,7,gas_stove,2025,all-year,all-week,night,0.04420000000
0,cook,R2,2025,0,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R2,2025,2,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R2,2025,4,gas_stove,2020,all-year,all-week,night,0.10420000000
0,cook,R2,2025,6,gas_stove,2020,all-year,all-week,night,0.10420000000
0,cook,R2,2030,0,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R2,2030,1,electric_stove,2025,all-year,all-week,night,0.17670000000
0,cook,R2,2030,2,electric_stove,2020,all-year,all-week,night,0.36250000000
0,cook,R2,2030,3,electric_stove,2025,all-year,all-week,night,0.17670000000
0,cook,R2,2030,5,gas_stove,2025,all-year,all-week,night,0.04420000000
0,cook,R2,2030,7,gas_stove,2025,all-year,all-week,night,0.04420000000
1,heat,R1,2025,8,gasboiler,2020,all-year,all-week,morning,0.14880000000
1,heat,R1,2025,10,gasboiler,2020,all-year,all-week,morning,0.14880000000
1,heat,R1,2025,12,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R1,2025,14,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R1,2030,9,gasboiler,2025,all-year,all-week,morning,0.06310000000
1,heat,R1,2030,11,gasboiler,2025,all-year,all-week,morning,0.06310000000
1,heat,R1,2030,12,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R1,2030,13,heatpump,2025,all-year,all-week,morning,0.25240000000
1,heat,R1,2030,14,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R1,2030,15,heatpump,2025,all-year,all-week,morning,0.25240000000
1,heat,R2,2025,8,gasboiler,2020,all-year,all-week,morning,0.14880000000
1,heat,R2,2025,10,gasboiler,2020,all-year,all-week,morning,0.14880000000
1,heat,R2,2025,12,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R2,2025,14,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R2,2030,9,gasboiler,2025,all-year,all-week,morning,0.06310000000
1,heat,R2,2030,11,gasboiler,2025,all-year,all-week,morning,0.06310000000
1,heat,R2,2030,12,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R2,2030,13,heatpump,2025,all-year,all-week,morning,0.25240000000
1,heat,R2,2030,14,heatpump,2020,all-year,all-week,morning,0.51790000000
1,heat,R2,2030,15,heatpump,2025,all-year,all-week,morning,0.25240000000
1,CO2f,R1,2025,4,gas_stove,2020,all-year,all-week,morning,7.44050000000
1,CO2f,R1,2025,6,gas_stove,2020,all-year,all-week,morning,7.44050000000
1,CO2f,R1,2025,8,gasboiler,2020,all-year,all-week,morning,9.62950000000
1,CO2f,R1,2025,10,gasboiler,2020,all-year,all-week,morning,9.62950000000
1,CO2f,R1,2030,5,gas_stove,2025,all-year,all-week,morning,3.15480000000
1,CO2f,R1,2030,7,gas_stove,2025,all-year,all-week,morning,3.15480000000
1,CO2f,R1,2030,9,gasboiler,2025,all-year,all-week,morning,4.08290000000
1,CO2f,R1,2030,11,gasboiler,2025,all-year,all-week,morning,4.08290000000
1,CO2f,R2,2025,4,gas_stove,2020,all-year,all-week,morning,7.44050000000
1,CO2f,R2,2025,6,gas_stove,2020,all-year,all-week,morning,7.44050000000
1,CO2f,R2,2025,8,gasboiler,2020,all-year,all-week,morning,9.62950000000
1,CO2f,R2,2025,10,gasboiler,2020,all-year,all-week,morning,9.62950000000
1,CO2f,R2,2030,5,gas_stove,2025,all-year,all-week,morning,3.15480000000
1,CO2f,R2,2030,7,gas_stove,2025,all-year,all-week,morning,3.15480000000
1,CO2f,R2,2030,9,gasboiler,2025,all-year,all-week,morning,4.08290000000
1,CO2f,R2,2030,11,gasboiler,2025,all-year,all-week,morning,4.08290000000
1,cook,R1,2025,0,electric_stove,2020,all-year,all-week,morning,0.51790000000
