commodity,asset,year,region,technology,installed,supply
heat,18,2036,R1,heatpump,2026,3.20000000000
heat,19,2036,R1,heatpump,2028,25.20000000000
heat,19,2038,R1,heatpump,2028,25.20000000000
heat,20,2036,R1,heatpump,2030,10.40000000000
heat,20,2038,R1,heatpump,2030,10.40000000000
heat,20,2041,R1,heatpump,2030,10.40000000000
heat,21,2036,R1,heatpump,2032,12.40000000000
heat,21,2038,R1,heatpump,2032,12.40000000000
heat,21,2041,R1,heatpump,2032,12.40000000000
heat,22,2036,R1,heatpump,2034,6.40000000000
heat,22,2038,R1,heatpump,2034,6.40000000000
heat,22,2041,R1,heatpump,2034,6.40000000000
heat,23,2038,R1,heatpump,2036,28.40000000000
heat,23,2041,R1,heatpump,2036,28.40000000000
heat,54,2036,R2,heatpump,2026,3.20000000000
heat,55,2036,R2,heatpump,2028,25.20000000000
heat,55,2038,R2,heatpump,2028,25.20000000000
heat,56,2036,R2,heatpump,2030,10.40000000000
heat,56,2038,R2,heatpump,2030,10.40000000000
heat,56,2041,R2,heatpump,2030,10.40000000000
heat,57,2036,R2,heatpump,2032,12.40000000000
heat,57,2038,R2,heatpump,2032,12.40000000000
heat,57,2041,R2,heatpump,2032,12.40000000000
heat,58,2036,R2,heatpump,2034,6.40000000000
heat,58,2038,R2,heatpump,2034,6.40000000000
heat,58,2041,R2,heatpump,2034,6.40000000000
heat,59,2038,R2,heatpump,2036,28.40000000000
heat,59,2041,R2,heatpump,2036,28.40000000000
cook,6,2036,R1,gas_stove,2026,2.13330000000
cook,7,2036,R1,gas_stove,2028,21.46670000000
cook,7,2038,R1,gas_stove,2028,21.46670000000
cook,8,2036,R1,gas_stove,2030,8.26670000000
cook,8,2038,R1,gas_stove,2030,8.26670000000
cook,8,2041,R1,gas_stove,2030,8.26670000000
cook,9,2036,R1,gas_stove,2032,10.26670000000
cook,9,2038,R1,gas_stove,2032,10.26670000000
cook,9,2041,R1,gas_stove,2032,10.26670000000
cook,10,2036,R1,gas_stove,2034,4.26670000000
cook,10,2038,R1,gas_stove,2034,4.26670000000
cook,10,2041,R1,gas_stove,2034,4.26670000000
cook,11,2038,R1,gas_stove,2036,23.60000000000
cook,11,2041,R1,gas_stove,2036,23.60000000000
cook,36,2036,R2,gas_stove,2026,1.06670000000
cook,37,2036,R2,gas_stove,2028,9.73330000000
cook,37,2038,R2,gas_stove,2028,9.73330000000
cook,38,2036,R2,gas_stove,2030,6.13330000000
cook,38,2038,R2,gas_stove,2030,6.13330000000
cook,38,2041,R2,gas_stove,2030,6.13330000000
cook,39,2036,R2,gas_stove,2032,8.13330000000
cook,39,2038,R2,gas_stove,2032,8.13330000000
cook,39,2041,R2,gas_stove,2032,8.13330000000
cook,40,2036,R2,gas_stove,2034,2.13330000000
cook,40,2038,R2,gas_stove,2034,2.13330000000
cook,40,2041,R2,gas_stove,2034,2.13330000000
cook,41,2038,R2,gas_stove,2036,10.80000000000
cook,41,2041,R2,gas_stove,2036,10.80000000000
