timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2045,11,all-year,all-week,night,heatpump,2035,0.36060000000
0,heat,R1,2045,12,all-year,all-week,night,heatpump,2040,0.57270000000
0,heat,R1,2045,25,all-year,all-week,night,heatpump,2035,0.36060000000
0,heat,R1,2045,26,all-year,all-week,night,heatpump,2040,0.57270000000
0,heat,R1,2050,12,all-year,all-week,night,heatpump,2040,0.56700000000
0,heat,R1,2050,13,all-year,all-week,night,heatpump,2045,0.48300000000
0,heat,R1,2050,26,all-year,all-week,night,heatpump,2040,0.56700000000
0,heat,R1,2050,27,all-year,all-week,night,heatpump,2045,0.48300000000
0,heat,R2,2045,11,all-year,all-week,night,heatpump,2035,0.36060000000
0,heat,R2,2045,12,all-year,all-week,night,heatpump,2040,0.57270000000
0,heat,R2,2045,25,all-year,all-week,night,heatpump,2035,0.36060000000
0,heat,R2,2045,26,all-year,all-week,night,heatpump,2040,0.57270000000
0,heat,R2,2050,12,all-year,all-week,night,heatpump,2040,0.56700000000
0,heat,R2,2050,13,all-year,all-week,night,heatpump,2045,0.48300000000
0,heat,R2,2050,26,all-year,all-week,night,heatpump,2040,0.56700000000
0,heat,R2,2050,27,all-year,all-week,night,heatpump,2045,0.48300000000
0,cook,R1,2045,3,all-year,all-week,night,electric_stove,2035,0.36060000000
0,cook,R1,2045,4,all-year,all-week,night,electric_stove,2040,0.57270000000
0,cook,R1,2045,17,all-year,all-week,night,electric_stove,2035,0.36060000000
0,cook,R1,2045,18,all-year,all-week,night,electric_stove,2040,0.57270000000
0,cook,R1,2050,4,all-year,all-week,night,electric_stove,2040,0.56700000000
0,cook,R1,2050,5,all-year,all-week,night,electric_stove,2045,0.48300000000
0,cook,R1,2050,18,all-year,all-week,night,electric_stove,2040,0.56700000000
0,cook,R1,2050,19,all-year,all-week,night,electric_stove,2045,0.48300000000
0,cook,R2,2045,3,all-year,all-week,night,electric_stove,2035,0.36060000000
0,cook,R2,2045,4,all-year,all-week,night,electric_stove,2040,0.57270000000
0,cook,R2,2045,17,all-year,all-week,night,electric_stove,2035,0.36060000000
0,cook,R2,2045,18,all-year,all-week,night,electric_stove,2040,0.57270000000
