asset,year,region,technology,installed,capacity
0,2050,R1,gasCCGT,2025,4.00000000000
0,2054,R1,gasCCGT,2025,4.00000000000
0,2055,R1,gasCCGT,2025,4.00000000000
0,2059,R1,gasCCGT,2025,4.00000000000
0,2060,R1,gasCCGT,2025,4.00000000000
0,2064,R1,gasCCGT,2025,4.00000000000
2,2050,R1,solarPV,2025,10.39350000000
2,2054,R1,solarPV,2025,10.39350000000
3,2050,R1,solarPV,2030,11.42930000000
3,2054,R1,solarPV,2030,11.42930000000
3,2055,R1,solarPV,2030,11.42930000000
3,2059,R1,solarPV,2030,11.42930000000
4,2050,R1,solarPV,2035,15.71520000000
4,2054,R1,solarPV,2035,15.71520000000
4,2055,R1,solarPV,2035,15.71520000000
4,2059,R1,solarPV,2035,15.71520000000
4,2060,R1,solarPV,2035,15.71520000000
4,2064,R1,solarPV,2035,15.71520000000
5,2050,R1,solarPV,2040,8.99470000000
5,2054,R1,solarPV,2040,8.99470000000
5,2055,R1,solarPV,2040,8.99470000000
5,2059,R1,solarPV,2040,8.99470000000
5,2060,R1,solarPV,2040,8.99470000000
5,2064,R1,solarPV,2040,8.99470000000
5,2065,R1,solarPV,2040,8.99470000000
5,2069,R1,solarPV,2040,8.99470000000
6,2050,R1,solarPV,2045,24.89670000000
6,2054,R1,solarPV,2045,24.89670000000
6,2055,R1,solarPV,2045,24.89670000000
6,2059,R1,solarPV,2045,24.89670000000
6,2060,R1,solarPV,2045,24.89670000000
6,2064,R1,solarPV,2045,24.89670000000
6,2065,R1,solarPV,2045,24.89670000000
6,2069,R1,solarPV,2045,24.89670000000
6,2070,R1,solarPV,2045,24.89670000000
6,2074,R1,solarPV,2045,24.89670000000
8,2050,R1,windturbine,2040,2.43470000000
8,2054,R1,windturbine,2040,2.43470000000
8,2055,R1,windturbine,2040,2.43470000000
8,2059,R1,windturbine,2040,2.43470000000
8,2060,R1,windturbine,2040,2.43470000000
8,2064,R1,windturbine,2040,2.43470000000
8,2065,R1,windturbine,2040,2.43470000000
8,2069,R1,windturbine,2040,2.43470000000
9,2050,R1,windturbine,2045,20.00000000000
9,2054,R1,windturbine,2045,20.00000000000
9,2055,R1,windturbine,2045,20.00000000000
9,2059,R1,windturbine,2045,20.00000000000
9,2060,R1,windturbine,2045,20.00000000000
9,2064,R1,windturbine,2045,20.00000000000
9,2065,R1,windturbine,2045,20.00000000000
9,2069,R1,windturbine,2045,20.00000000000
9,2070,R1,windturbine,2045,20.00000000000
9,2074,R1,windturbine,2045,20.00000000000
10,2055,R1,windturbine,2050,10.39350000000
10,2059,R1,windturbine,2050,10.39350000000
10,2060,R1,windturbine,2050,10.39350000000
10,2064,R1,windturbine,2050,10.39350000000
10,2065,R1,windturbine,2050,10.39350000000
10,2069,R1,windturbine,2050,10.39350000000
10,2070,R1,windturbine,2050,10.39350000000
10,2074,R1,windturbine,2050,10.39350000000
10,2075,R1,windturbine,2050,10.39350000000
10,2079,R1,windturbine,2050,10.39350000000
11,2050,R2,gasCCGT,2025,4.00000000000
11,2054,R2,gasCCGT,2025,4.00000000000
11,2055,R2,gasCCGT,2025,4.00000000000
11,2059,R2,gasCCGT,2025,4.00000000000
11,2060,R2,gasCCGT,2025,4.00000000000
11,2064,R2,gasCCGT,2025,4.00000000000
13,2050,R2,solarPV,2025,10.39350000000
13,2054,R2,solarPV,2025,10.39350000000
14,2050,R2,solarPV,2030,11.42930000000
14,2054,R2,solarPV,2030,11.42930000000
14,2055,R2,solarPV,2030,11.42930000000
14,2059,R2,solarPV,2030,11.42930000000
15,2050,R2,solarPV,2035,15.71520000000
15,2054,R2,solarPV,2035,15.71520000000
15,2055,R2,solarPV,2035,15.71520000000
15,2059,R2,solarPV,2035,15.71520000000
15,2060,R2,solarPV,2035,15.71520000000
15,2064,R2,solarPV,2035,15.71520000000
16,2050,R2,solarPV,2040,8.99470000000
16,2054,R2,solarPV,2040,8.99470000000
16,2055,R2,solarPV,2040,8.99470000000
16,2059,R2,solarPV,2040,8.99470000000
16,2060,R2,solarPV,2040,8.99470000000
16,2064,R2,solarPV,2040,8.99470000000
16,2065,R2,solarPV,2040,8.99470000000
16,2069,R2,solarPV,2040,8.99470000000
17,2050,R2,solarPV,2045,24.89670000000
17,2054,R2,solarPV,2045,24.89670000000
17,2055,R2,solarPV,2045,24.89670000000
17,2059,R2,solarPV,2045,24.89670000000
17,2060,R2,solarPV,2045,24.89670000000
17,2064,R2,solarPV,2045,24.89670000000
17,2065,R2,solarPV,2045,24.89670000000
17,2069,R2,solarPV,2045,24.89670000000
17,2070,R2,solarPV,2045,24.89670000000
17,2074,R2,solarPV,2045,24.89670000000
19,2050,R2,windturbine,2040,2.43470000000
19,2054,R2,windturbine,2040,2.43470000000
19,2055,R2,windturbine,2040,2.43470000000
19,2059,R2,windturbine,2040,2.43470000000
19,2060,R2,windturbine,2040,2.43470000000
19,2064,R2,windturbine,2040,2.43470000000
19,2065,R2,windturbine,2040,2.43470000000
19,2069,R2,windturbine,2040,2.43470000000
20,2050,R2,windturbine,2045,20.00000000000
20,2054,R2,windturbine,2045,20.00000000000
20,2055,R2,windturbine,2045,20.00000000000
20,2059,R2,windturbine,2045,20.00000000000
20,2060,R2,windturbine,2045,20.00000000000
20,2064,R2,windturbine,2045,20.00000000000
20,2065,R2,windturbine,2045,20.00000000000
20,2069,R2,windturbine,2045,20.00000000000
20,2070,R2,windturbine,2045,20.00000000000
20,2074,R2,windturbine,2045,20.00000000000
21,2055,R2,windturbine,2050,10.39350000000
21,2059,R2,windturbine,2050,10.39350000000
21,2060,R2,windturbine,2050,10.39350000000
21,2064,R2,windturbine,2050,10.39350000000
