timeslice,commodity,region,year,asset,month,day,hour,technology,installed,supply
0,heat,R1,2020,4,all-year,all-week,night,gasboiler,2020,0.35700000000
0,heat,R1,2020,5,all-year,all-week,night,gasboiler,2020,0.35700000000
0,heat,R1,2025,4,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R1,2025,5,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R1,2025,6,all-year,all-week,night,heatpump,2020,0.37190000000
0,heat,R1,2025,7,all-year,all-week,night,heatpump,2020,0.37190000000
0,heat,R2,2020,4,all-year,all-week,night,gasboiler,2020,0.35700000000
0,heat,R2,2020,5,all-year,all-week,night,gasboiler,2020,0.35700000000
0,heat,R2,2025,4,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R2,2025,5,all-year,all-week,night,gasboiler,2020,0.10410000000
0,heat,R2,2025,6,all-year,all-week,night,heatpump,2020,0.37190000000
0,heat,R2,2025,7,all-year,all-week,night,heatpump,2020,0.37190000000
0,CO2f,R1,2020,2,all-year,all-week,night,gas_stove,2020,17.85000000000
0,CO2f,R1,2020,3,all-year,all-week,night,gas_stove,2020,17.85000000000
0,CO2f,R1,2020,4,all-year,all-week,night,gasboiler,2020,23.10150000000
0,CO2f,R1,2020,5,all-year,all-week,night,gasboiler,2020,23.10150000000
0,CO2f,R1,2025,2,all-year,all-week,night,gas_stove,2020,5.20590000000
0,CO2f,R1,2025,3,all-year,all-week,night,gas_stove,2020,5.20590000000
0,CO2f,R1,2025,4,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R1,2025,5,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R2,2020,2,all-year,all-week,night,gas_stove,2020,17.85000000000
0,CO2f,R2,2020,3,all-year,all-week,night,gas_stove,2020,17.85000000000
0,CO2f,R2,2020,4,all-year,all-week,night,gasboiler,2020,23.10150000000
0,CO2f,R2,2020,5,all-year,all-week,night,gasboiler,2020,23.10150000000
0,CO2f,R2,2025,2,all-year,all-week,night,gas_stove,2020,5.20590000000
0,CO2f,R2,2025,3,all-year,all-week,night,gas_stove,2020,5.20590000000
0,CO2f,R2,2025,4,all-year,all-week,night,gasboiler,2020,6.73750000000
0,CO2f,R2,2025,5,all-year,all-week,night,gasboiler,2020,6.73750000000
0,cook,R1,2020,2,all-year,all-week,night,gas_stove,2020,0.35700000000
0,cook,R1,2020,3,all-year,all-week,night,gas_stove,2020,0.35700000000
0,cook,R1,2025,0,all-year,all-week,night,estove,2020,0.37190000000
0,cook,R1,2025,1,all-year,all-week,night,estove,2020,0.37190000000
0,cook,R1,2025,2,all-year,all-week,night,gas_stove,2020,0.10410000000
0,cook,R1,2025,3,all-year,all-week,night,gas_stove,2020,0.10410000000
0,cook,R2,2020,2,all-year,all-week,night,gas_stove,2020,0.35700000000
0,cook,R2,2020,3,all-year,all-week,night,gas_stove,2020,0.35700000000
0,cook,R2,2025,0,all-year,all-week,night,estove,2020,0.37190000000
0,cook,R2,2025,1,all-year,all-week,night,estove,2020,0.37190000000
0,cook,R2,2025,2,all-year,all-week,night,gas_stove,2020,0.10410000000
0,cook,R2,2025,3,all-year,all-week,night,gas_stove,2020,0.10410000000
1,heat,R1,2020,4,all-year,all-week,morning,gasboiler,2020,0.53550000000
1,heat,R1,2020,5,all-year,all-week,morning,gasboiler,2020,0.53550000000
1,heat,R1,2025,4,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R1,2025,5,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R1,2025,6,all-year,all-week,morning,heatpump,2020,0.55780000000
1,heat,R1,2025,7,all-year,all-week,morning,heatpump,2020,0.55780000000
1,heat,R2,2020,4,all-year,all-week,morning,gasboiler,2020,0.53550000000
1,heat,R2,2020,5,all-year,all-week,morning,gasboiler,2020,0.53550000000
1,heat,R2,2025,4,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R2,2025,5,all-year,all-week,morning,gasboiler,2020,0.15620000000
1,heat,R2,2025,6,all-year,all-week,morning,heatpump,2020,0.55780000000
1,heat,R2,2025,7,all-year,all-week,morning,heatpump,2020,0.55780000000
1,CO2f,R1,2020,2,all-year,all-week,morning,gas_stove,2020,26.77500000000
1,CO2f,R1,2020,3,all-year,all-week,morning,gas_stove,2020,26.77500000000
1,CO2f,R1,2020,4,all-year,all-week,morning,gasboiler,2020,34.65220000000
1,CO2f,R1,2020,5,all-year,all-week,morning,gasboiler,2020,34.65220000000
1,CO2f,R1,2025,2,all-year,all-week,morning,gas_stove,2020,7.80890000000
1,CO2f,R1,2025,3,all-year,all-week,morning,gas_stove,2020,7.80890000000
1,CO2f,R1,2025,4,all-year,all-week,morning,gasboiler,2020,10.10620000000
1,CO2f,R1,2025,5,all-year,all-week,morning,gasboiler,2020,10.10620000000
1,CO2f,R2,2020,2,all-year,all-week,morning,gas_stove,2020,26.77500000000
1,CO2f,R2,2020,3,all-year,all-week,morning,gas_stove,2020,26.77500000000
1,CO2f,R2,2020,4,all-year,all-week,morning,gasboiler,2020,34.65220000000
1,CO2f,R2,2020,5,all-year,all-week,morning,gasboiler,2020,34.65220000000
1,CO2f,R2,2025,2,all-year,all-week,morning,gas_stove,2020,7.80890000000
1,CO2f,R2,2025,3,all-year,all-week,morning,gas_stove,2020,7.80890000000
1,CO2f,R2,2025,4,all-year,all-week,morning,gasboiler,2020,10.10620000000
1,CO2f,R2,2025,5,all-year,all-week,morning,gasboiler,2020,10.10620000000
1,cook,R1,2020,2,all-year,all-week,morning,gas_stove,2020,0.53550000000
1,cook,R1,2020,3,all-year,all-week,morning,gas_stove,2020,0.53550000000
1,cook,R1,2025,0,all-year,all-week,morning,estove,2020,0.55780000000
1,cook,R1,2025,1,all-year,all-week,morning,estove,2020,0.55780000000
1,cook,R1,2025,2,all-year,all-week,morning,gas_stove,2020,0.15620000000
1,cook,R1,2025,3,all-year,all-week,morning,gas_stove,2020,0.15620000000
1,cook,R2,2020,2,all-year,all-week,morning,gas_stove,2020,0.53550000000
1,cook,R2,2020,3,all-year,all-week,morning,gas_stove,2020,0.53550000000
1,cook,R2,2025,0,all-year,all-week,morning,estove,2020,0.55780000000
1,cook,R2,2025,1,all-year,all-week,morning,estove,2020,0.55780000000
1,cook,R2,2025,2,all-year,all-week,morning,gas_stove,2020,0.15620000000
1,cook,R2,2025,3,all-year,all-week,morning,gas_stove,2020,0.15620000000
2,heat,R1,2020,4,all-year,all-week,mid-afternoon,gasboiler,2020,0.35700000000
2,heat,R1,2020,5,all-year,all-week,mid-afternoon,gasboiler,2020,0.35700000000
2,heat,R1,2025,4,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R1,2025,5,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R1,2025,6,all-year,all-week,mid-afternoon,heatpump,2020,0.37190000000
2,heat,R1,2025,7,all-year,all-week,mid-afternoon,heatpump,2020,0.37190000000
2,heat,R2,2020,4,all-year,all-week,mid-afternoon,gasboiler,2020,0.35700000000
2,heat,R2,2020,5,all-year,all-week,mid-afternoon,gasboiler,2020,0.35700000000
2,heat,R2,2025,4,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R2,2025,5,all-year,all-week,mid-afternoon,gasboiler,2020,0.10410000000
2,heat,R2,2025,6,all-year,all-week,mid-afternoon,heatpump,2020,0.37190000000
2,heat,R2,2025,7,all-year,all-week,mid-afternoon,heatpump,2020,0.37190000000
2,CO2f,R1,2020,2,all-year,all-week,mid-afternoon,gas_stove,2020,17.85000000000
2,CO2f,R1,2020,3,all-year,all-week,mid-afternoon,gas_stove,2020,17.85000000000
2,CO2f,R1,2020,4,all-year,all-week,mid-afternoon,gasboiler,2020,23.10150000000
2,CO2f,R1,2020,5,all-year,all-week,mid-afternoon,gasboiler,2020,23.10150000000
2,CO2f,R1,2025,2,all-year,all-week,mid-afternoon,gas_stove,2020,5.20590000000
2,CO2f,R1,2025,3,all-year,all-week,mid-afternoon,gas_stove,2020,5.20590000000
2,CO2f,R1,2025,4,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R1,2025,5,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R2,2020,2,all-year,all-week,mid-afternoon,gas_stove,2020,17.85000000000
2,CO2f,R2,2020,3,all-year,all-week,mid-afternoon,gas_stove,2020,17.85000000000
2,CO2f,R2,2020,4,all-year,all-week,mid-afternoon,gasboiler,2020,23.10150000000
2,CO2f,R2,2020,5,all-year,all-week,mid-afternoon,gasboiler,2020,23.10150000000
2,CO2f,R2,2025,2,all-year,all-week,mid-afternoon,gas_stove,2020,5.20590000000
2,CO2f,R2,2025,3,all-year,all-week,mid-afternoon,gas_stove,2020,5.20590000000
2,CO2f,R2,2025,4,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,CO2f,R2,2025,5,all-year,all-week,mid-afternoon,gasboiler,2020,6.73750000000
2,cook,R1,2020,2,all-year,all-week,mid-afternoon,gas_stove,2020,0.35700000000
2,cook,R1,2020,3,all-year,all-week,mid-afternoon,gas_stove,2020,0.35700000000
2,cook,R1,2025,0,all-year,all-week,mid-afternoon,estove,2020,0.37190000000
2,cook,R1,2025,1,all-year,all-week,mid-afternoon,estove,2020,0.37190000000
2,cook,R1,2025,2,all-year,all-week,mid-afternoon,gas_stove,2020,0.10410000000
2,cook,R1,2025,3,all-year,all-week,mid-afternoon,gas_stove,2020,0.10410000000
2,cook,R2,2020,2,all-year,all-week,mid-afternoon,gas_stove,2020,0.35700000000
2,cook,R2,2020,3,all-year,all-week,mid-afternoon,gas_stove,2020,0.35700000000
2,cook,R2,2025,0,all-year,all-week,mid-afternoon,estove,2020,0.37190000000
2,cook,R2,2025,1,all-year,all-week,mid-afternoon,estove,2020,0.37190000000
2,cook,R2,2025,2,all-year,all-week,mid-afternoon,gas_stove,2020,0.10410000000
2,cook,R2,2025,3,all-year,all-week,mid-afternoon,gas_stove,2020,0.10410000000
3,heat,R1,2020,4,all-year,all-week,early-peak,gasboiler,2020,0.53550000000
3,heat,R1,2020,5,all-year,all-week,early-peak,gasboiler,2020,0.53550000000
3,heat,R1,2025,4,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R1,2025,5,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R1,2025,6,all-year,all-week,early-peak,heatpump,2020,0.55780000000
3,heat,R1,2025,7,all-year,all-week,early-peak,heatpump,2020,0.55780000000
3,heat,R2,2020,4,all-year,all-week,early-peak,gasboiler,2020,0.53550000000
3,heat,R2,2020,5,all-year,all-week,early-peak,gasboiler,2020,0.53550000000
3,heat,R2,2025,4,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R2,2025,5,all-year,all-week,early-peak,gasboiler,2020,0.15620000000
3,heat,R2,2025,6,all-year,all-week,early-peak,heatpump,2020,0.55780000000
3,heat,R2,2025,7,all-year,all-week,early-peak,heatpump,2020,0.55780000000
3,CO2f,R1,2020,2,all-year,all-week,early-peak,gas_stove,2020,26.77500000000
3,CO2f,R1,2020,3,all-year,all-week,early-peak,gas_stove,2020,26.77500000000
3,CO2f,R1,2020,4,all-year,all-week,early-peak,gasboiler,2020,34.65220000000
3,CO2f,R1,2020,5,all-year,all-week,early-peak,gasboiler,2020,34.65220000000
3,CO2f,R1,2025,2,all-year,all-week,early-peak,gas_stove,2020,7.80890000000
3,CO2f,R1,2025,3,all-year,all-week,early-peak,gas_stove,2020,7.80890000000
3,CO2f,R1,2025,4,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R1,2025,5,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R2,2020,2,all-year,all-week,early-peak,gas_stove,2020,26.77500000000
3,CO2f,R2,2020,3,all-year,all-week,early-peak,gas_stove,2020,26.77500000000
3,CO2f,R2,2020,4,all-year,all-week,early-peak,gasboiler,2020,34.65220000000
3,CO2f,R2,2020,5,all-year,all-week,early-peak,gasboiler,2020,34.65220000000
3,CO2f,R2,2025,2,all-year,all-week,early-peak,gas_stove,2020,7.80890000000
3,CO2f,R2,2025,3,all-year,all-week,early-peak,gas_stove,2020,7.80890000000
3,CO2f,R2,2025,4,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,CO2f,R2,2025,5,all-year,all-week,early-peak,gasboiler,2020,10.10620000000
3,cook,R1,2020,2,all-year,all-week,early-peak,gas_stove,2020,0.53550000000
