,asset,year,region,installed,technology,capacity
1,0,2025,R1,2020,gassupply1,15.00000000000
2,0,2030,R1,2020,gassupply1,7.50000000000
11,1,2030,R1,2025,gassupply1,3.91000000000
12,1,2035,R1,2025,gassupply1,3.91000000000
13,1,2040,R1,2025,gassupply1,3.91000000000
14,1,2045,R1,2025,gassupply1,3.91000000000
15,1,2050,R1,2025,gassupply1,3.91000000000
16,1,2064,R1,2025,gassupply1,3.91000000000
19,2,2025,R2,2020,gassupply1,15.00000000000
20,2,2030,R2,2020,gassupply1,7.50000000000
29,3,2030,R2,2025,gassupply1,3.91000000000
30,3,2035,R2,2025,gassupply1,3.91000000000
31,3,2040,R2,2025,gassupply1,3.91000000000
32,3,2045,R2,2025,gassupply1,3.91000000000
33,3,2050,R2,2025,gassupply1,3.91000000000
34,3,2064,R2,2025,gassupply1,3.91000000000
