,agent,capacity,dst_region,index,installed,region,sector,technology,type,year
7,A1,5.00000000000,R1,8,2020,R1,residential,gasboiler,retrofit,2020
9,A1,5.00000000000,R1,16,2020,R1,residential,gasstove,retrofit,2020
21,A1,5.00000000000,R2,8,2020,R2,residential,gasboiler,retrofit,2020
23,A1,5.00000000000,R2,16,2020,R2,residential,gasstove,retrofit,2020
35,A2,5.00000000000,R1,8,2020,R1,residential,gasboiler,retrofit,2020
37,A2,5.00000000000,R1,16,2020,R1,residential,gasstove,retrofit,2020
49,A2,5.00000000000,R2,8,2020,R2,residential,gasboiler,retrofit,2020
51,A2,5.00000000000,R2,16,2020,R2,residential,gasstove,retrofit,2020
0,A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2020
14,A1,1.00000000000,R2,0,2020,R2,power,gasCCGT,retrofit,2020
0,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2020
3,A1,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2020
4,A1,8.07200000000,R1,0,2020,R1,residential,estove,retrofit,2025
11,A1,2.50000000000,R1,16,2020,R1,residential,gasboiler,retrofit,2025
16,A1,2.50000000000,R1,32,2020,R1,residential,gasstove,retrofit,2025
21,A1,8.92930000000,R1,48,2020,R1,residential,heatpump,retrofit,2025
32,A1,8.07200000000,R2,0,2020,R2,residential,estove,retrofit,2025
39,A1,2.50000000000,R2,16,2020,R2,residential,gasboiler,retrofit,2025
44,A1,2.50000000000,R2,32,2020,R2,residential,gasstove,retrofit,2025
49,A1,8.92930000000,R2,48,2020,R2,residential,heatpump,retrofit,2025
60,A2,8.07200000000,R1,0,2020,R1,residential,estove,retrofit,2025
67,A2,2.50000000000,R1,16,2020,R1,residential,gasboiler,retrofit,2025
72,A2,2.50000000000,R1,32,2020,R1,residential,gasstove,retrofit,2025
77,A2,8.92930000000,R1,48,2020,R1,residential,heatpump,retrofit,2025
88,A2,8.07200000000,R2,0,2020,R2,residential,estove,retrofit,2025
95,A2,2.50000000000,R2,16,2020,R2,residential,gasboiler,retrofit,2025
100,A2,2.50000000000,R2,32,2020,R2,residential,gasstove,retrofit,2025
105,A2,8.92930000000,R2,48,2020,R2,residential,heatpump,retrofit,2025
2,A1,1.00000000000,R1,0,2020,R1,power,gasCCGT,retrofit,2025
12,A1,10.13830000000,R1,22,2020,R1,power,solarPV,retrofit,2025
25,A1,20.00000000000,R1,44,2020,R1,power,windturbine,retrofit,2025
33,A1,1.00000000000,R2,0,2020,R2,power,gasCCGT,retrofit,2025
43,A1,10.13830000000,R2,22,2020,R2,power,solarPV,retrofit,2025
56,A1,20.00000000000,R2,44,2020,R2,power,windturbine,retrofit,2025
0,A1,15.00000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2025
8,A1,15.00000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2025
4,A1,8.07200000000,R1,0,2020,R1,residential,estove,retrofit,2030
5,A1,3.61440000000,R1,1,2025,R1,residential,estove,retrofit,2030
14,A1,1.07150000000,R1,24,2025,R1,residential,gasboiler,retrofit,2030
18,A1,0.88560000000,R1,32,2025,R1,residential,gasstove,retrofit,2030
22,A1,8.92930000000,R1,40,2020,R1,residential,heatpump,retrofit,2030
23,A1,4.28590000000,R1,41,2025,R1,residential,heatpump,retrofit,2030
36,A1,8.07200000000,R2,0,2020,R2,residential,estove,retrofit,2030
37,A1,3.61440000000,R2,1,2025,R2,residential,estove,retrofit,2030
46,A1,1.07150000000,R2,24,2025,R2,residential,gasboiler,retrofit,2030
50,A1,0.88560000000,R2,32,2025,R2,residential,gasstove,retrofit,2030
54,A1,8.92930000000,R2,40,2020,R2,residential,heatpump,retrofit,2030
55,A1,4.28590000000,R2,41,2025,R2,residential,heatpump,retrofit,2030
68,A2,8.07200000000,R1,0,2020,R1,residential,estove,retrofit,2030
69,A2,3.61440000000,R1,1,2025,R1,residential,estove,retrofit,2030
78,A2,1.07150000000,R1,24,2025,R1,residential,gasboiler,retrofit,2030
82,A2,0.88560000000,R1,32,2025,R1,residential,gasstove,retrofit,2030
86,A2,8.92930000000,R1,40,2020,R1,residential,heatpump,retrofit,2030
87,A2,4.28590000000,R1,41,2025,R1,residential,heatpump,retrofit,2030
100,A2,8.07200000000,R2,0,2020,R2,residential,estove,retrofit,2030
101,A2,3.61440000000,R2,1,2025,R2,residential,estove,retrofit,2030
110,A2,1.07150000000,R2,24,2025,R2,residential,gasboiler,retrofit,2030
114,A2,0.88560000000,R2,32,2025,R2,residential,gasstove,retrofit,2030
118,A2,8.92930000000,R2,40,2020,R2,residential,heatpump,retrofit,2030
119,A2,4.28590000000,R2,41,2025,R2,residential,heatpump,retrofit,2030
0,A1,4.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2030
11,A1,10.13830000000,R1,12,2020,R1,power,solarPV,retrofit,2030
12,A1,8.32770000000,R1,13,2025,R1,power,solarPV,retrofit,2030
31,A1,20.00000000000,R1,48,2020,R1,power,windturbine,retrofit,2030
36,A1,4.00000000000,R2,0,2025,R2,power,gasCCGT,retrofit,2030
47,A1,10.13830000000,R2,12,2020,R2,power,solarPV,retrofit,2030
48,A1,8.32770000000,R2,13,2025,R2,power,solarPV,retrofit,2030
67,A1,20.00000000000,R2,48,2020,R2,power,windturbine,retrofit,2030
2,A1,7.50000000000,R1,0,2020,R1,gas,gassupply1,retrofit,2030
3,A1,3.91000000000,R1,1,2025,R1,gas,gassupply1,retrofit,2030
18,A1,7.50000000000,R2,0,2020,R2,gas,gassupply1,retrofit,2030
19,A1,3.91000000000,R2,1,2025,R2,gas,gassupply1,retrofit,2030
4,A1,3.61440000000,R1,0,2025,R1,residential,estove,retrofit,2035
5,A1,10.07200000000,R1,1,2030,R1,residential,estove,retrofit,2035
14,A1,1.07150000000,R1,21,2025,R1,residential,gasboiler,retrofit,2035
16,A1,0.88560000000,R1,28,2025,R1,residential,gasstove,retrofit,2035
18,A1,4.28590000000,R1,35,2025,R1,residential,heatpump,retrofit,2035
19,A1,11.78670000000,R1,36,2030,R1,residential,heatpump,retrofit,2035
32,A1,3.61440000000,R2,0,2025,R2,residential,estove,retrofit,2035
33,A1,10.07200000000,R2,1,2030,R2,residential,estove,retrofit,2035
42,A1,1.07150000000,R2,21,2025,R2,residential,gasboiler,retrofit,2035
44,A1,0.88560000000,R2,28,2025,R2,residential,gasstove,retrofit,2035
46,A1,4.28590000000,R2,35,2025,R2,residential,heatpump,retrofit,2035
47,A1,11.78670000000,R2,36,2030,R2,residential,heatpump,retrofit,2035
60,A2,3.61440000000,R1,0,2025,R1,residential,estove,retrofit,2035
61,A2,10.07200000000,R1,1,2030,R1,residential,estove,retrofit,2035
70,A2,1.07150000000,R1,21,2025,R1,residential,gasboiler,retrofit,2035
72,A2,0.88560000000,R1,28,2025,R1,residential,gasstove,retrofit,2035
74,A2,4.28590000000,R1,35,2025,R1,residential,heatpump,retrofit,2035
75,A2,11.78670000000,R1,36,2030,R1,residential,heatpump,retrofit,2035
88,A2,3.61440000000,R2,0,2025,R2,residential,estove,retrofit,2035
89,A2,10.07200000000,R2,1,2030,R2,residential,estove,retrofit,2035
98,A2,1.07150000000,R2,21,2025,R2,residential,gasboiler,retrofit,2035
100,A2,0.88560000000,R2,28,2025,R2,residential,gasstove,retrofit,2035
102,A2,4.28590000000,R2,35,2025,R2,residential,heatpump,retrofit,2035
103,A2,11.78670000000,R2,36,2030,R2,residential,heatpump,retrofit,2035
0,A1,4.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2035
10,A1,10.13830000000,R1,11,2020,R1,power,solarPV,retrofit,2035
11,A1,8.32770000000,R1,12,2025,R1,power,solarPV,retrofit,2035
12,A1,9.31470000000,R1,13,2030,R1,power,solarPV,retrofit,2035
37,A1,20.00000000000,R1,55,2020,R1,power,windturbine,retrofit,2035
41,A1,4.00000000000,R2,0,2025,R2,power,gasCCGT,retrofit,2035
51,A1,10.13830000000,R2,11,2020,R2,power,solarPV,retrofit,2035
52,A1,8.32770000000,R2,12,2025,R2,power,solarPV,retrofit,2035
53,A1,9.31470000000,R2,13,2030,R2,power,solarPV,retrofit,2035
78,A1,20.00000000000,R2,55,2020,R2,power,windturbine,retrofit,2035
0,A1,3.91000000000,R1,0,2025,R1,gas,gassupply1,retrofit,2035
1,A1,7.50010000000,R1,1,2030,R1,gas,gassupply1,retrofit,2035
12,A1,3.91000000000,R2,0,2025,R2,gas,gassupply1,retrofit,2035
13,A1,7.50010000000,R2,1,2030,R2,gas,gassupply1,retrofit,2035
4,A1,10.07200000000,R1,0,2030,R1,residential,estove,retrofit,2040
5,A1,6.50000000000,R1,1,2035,R1,residential,estove,retrofit,2040
14,A1,11.78670000000,R1,21,2030,R1,residential,heatpump,retrofit,2040
15,A1,8.21470000000,R1,22,2035,R1,residential,heatpump,retrofit,2040
28,A1,10.07200000000,R2,0,2030,R2,residential,estove,retrofit,2040
29,A1,6.50000000000,R2,1,2035,R2,residential,estove,retrofit,2040
38,A1,11.78670000000,R2,21,2030,R2,residential,heatpump,retrofit,2040
39,A1,8.21470000000,R2,22,2035,R2,residential,heatpump,retrofit,2040
52,A2,10.07200000000,R1,0,2030,R1,residential,estove,retrofit,2040
53,A2,6.50000000000,R1,1,2035,R1,residential,estove,retrofit,2040
62,A2,11.78670000000,R1,21,2030,R1,residential,heatpump,retrofit,2040
63,A2,8.21470000000,R1,22,2035,R1,residential,heatpump,retrofit,2040
76,A2,10.07200000000,R2,0,2030,R2,residential,estove,retrofit,2040
77,A2,6.50000000000,R2,1,2035,R2,residential,estove,retrofit,2040
86,A2,11.78670000000,R2,21,2030,R2,residential,heatpump,retrofit,2040
87,A2,8.21470000000,R2,22,2035,R2,residential,heatpump,retrofit,2040
0,A1,4.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2040
9,A1,10.13830000000,R1,12,2020,R1,power,solarPV,retrofit,2040
10,A1,8.32770000000,R1,13,2025,R1,power,solarPV,retrofit,2040
11,A1,9.31470000000,R1,14,2030,R1,power,solarPV,retrofit,2040
12,A1,13.05170000000,R1,15,2035,R1,power,solarPV,retrofit,2040
43,A1,20.00000000000,R1,72,2020,R1,power,windturbine,retrofit,2040
46,A1,4.00000000000,R2,0,2025,R2,power,gasCCGT,retrofit,2040
55,A1,10.13830000000,R2,12,2020,R2,power,solarPV,retrofit,2040
56,A1,8.32770000000,R2,13,2025,R2,power,solarPV,retrofit,2040
57,A1,9.31470000000,R2,14,2030,R2,power,solarPV,retrofit,2040
58,A1,13.05170000000,R2,15,2035,R2,power,solarPV,retrofit,2040
89,A1,20.00000000000,R2,72,2020,R2,power,windturbine,retrofit,2040
0,A1,3.91000000000,R1,0,2025,R1,gas,gassupply1,retrofit,2040
1,A1,7.50010000000,R1,1,2030,R1,gas,gassupply1,retrofit,2040
10,A1,3.91000000000,R2,0,2025,R2,gas,gassupply1,retrofit,2040
11,A1,7.50010000000,R2,1,2030,R2,gas,gassupply1,retrofit,2040
4,A1,6.50000000000,R1,0,2035,R1,residential,estove,retrofit,2045
5,A1,12.07200000000,R1,1,2040,R1,residential,estove,retrofit,2045
14,A1,8.21470000000,R1,21,2035,R1,residential,heatpump,retrofit,2045
15,A1,14.64400000000,R1,22,2040,R1,residential,heatpump,retrofit,2045
28,A1,6.50000000000,R2,0,2035,R2,residential,estove,retrofit,2045
29,A1,12.07200000000,R2,1,2040,R2,residential,estove,retrofit,2045
38,A1,8.21470000000,R2,21,2035,R2,residential,heatpump,retrofit,2045
39,A1,14.64400000000,R2,22,2040,R2,residential,heatpump,retrofit,2045
52,A2,6.50000000000,R1,0,2035,R1,residential,estove,retrofit,2045
53,A2,12.07200000000,R1,1,2040,R1,residential,estove,retrofit,2045
62,A2,8.21470000000,R1,21,2035,R1,residential,heatpump,retrofit,2045
63,A2,14.64400000000,R1,22,2040,R1,residential,heatpump,retrofit,2045
76,A2,6.50000000000,R2,0,2035,R2,residential,estove,retrofit,2045
77,A2,12.07200000000,R2,1,2040,R2,residential,estove,retrofit,2045
86,A2,8.21470000000,R2,21,2035,R2,residential,heatpump,retrofit,2045
87,A2,14.64400000000,R2,22,2040,R2,residential,heatpump,retrofit,2045
2,A1,4.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2045
10,A1,10.13830000000,R1,13,2020,R1,power,solarPV,retrofit,2045
11,A1,8.32770000000,R1,14,2025,R1,power,solarPV,retrofit,2045
12,A1,9.31470000000,R1,15,2030,R1,power,solarPV,retrofit,2045
13,A1,13.05170000000,R1,16,2035,R1,power,solarPV,retrofit,2045
14,A1,9.31470000000,R1,17,2040,R1,power,solarPV,retrofit,2045
50,A1,20.00000000000,R1,91,2020,R1,power,windturbine,retrofit,2045
64,A1,4.00000000000,R2,0,2025,R2,power,gasCCGT,retrofit,2045
72,A1,10.13830000000,R2,13,2020,R2,power,solarPV,retrofit,2045
73,A1,8.32770000000,R2,14,2025,R2,power,solarPV,retrofit,2045
74,A1,9.31470000000,R2,15,2030,R2,power,solarPV,retrofit,2045
75,A1,13.05170000000,R2,16,2035,R2,power,solarPV,retrofit,2045
76,A1,9.31470000000,R2,17,2040,R2,power,solarPV,retrofit,2045
112,A1,20.00000000000,R2,91,2020,R2,power,windturbine,retrofit,2045
0,A1,3.91000000000,R1,0,2025,R1,gas,gassupply1,retrofit,2045
1,A1,7.50010000000,R1,1,2030,R1,gas,gassupply1,retrofit,2045
8,A1,3.91000000000,R2,0,2025,R2,gas,gassupply1,retrofit,2045
9,A1,7.50010000000,R2,1,2030,R2,gas,gassupply1,retrofit,2045
0,A1,12.07200000000,R1,0,2040,R1,residential,estove,retrofit,2050
1,A1,8.50000000000,R1,1,2045,R1,residential,estove,retrofit,2050
10,A1,14.64400000000,R1,21,2040,R1,residential,heatpump,retrofit,2050
11,A1,11.07200000000,R1,22,2045,R1,residential,heatpump,retrofit,2050
20,A1,12.07200000000,R2,0,2040,R2,residential,estove,retrofit,2050
21,A1,8.50000000000,R2,1,2045,R2,residential,estove,retrofit,2050
30,A1,14.64400000000,R2,21,2040,R2,residential,heatpump,retrofit,2050
31,A1,11.07200000000,R2,22,2045,R2,residential,heatpump,retrofit,2050
40,A2,12.07200000000,R1,0,2040,R1,residential,estove,retrofit,2050
41,A2,8.50000000000,R1,1,2045,R1,residential,estove,retrofit,2050
50,A2,14.64400000000,R1,21,2040,R1,residential,heatpump,retrofit,2050
51,A2,11.07200000000,R1,22,2045,R1,residential,heatpump,retrofit,2050
60,A2,12.07200000000,R2,0,2040,R2,residential,estove,retrofit,2050
61,A2,8.50000000000,R2,1,2045,R2,residential,estove,retrofit,2050
70,A2,14.64400000000,R2,21,2040,R2,residential,heatpump,retrofit,2050
71,A2,11.07200000000,R2,22,2045,R2,residential,heatpump,retrofit,2050
0,A1,4.00000000000,R1,0,2025,R1,power,gasCCGT,retrofit,2050
6,A1,8.32770000000,R1,13,2025,R1,power,solarPV,retrofit,2050
7,A1,9.31470000000,R1,14,2030,R1,power,solarPV,retrofit,2050
8,A1,13.05170000000,R1,15,2035,R1,power,solarPV,retrofit,2050
9,A1,9.31470000000,R1,16,2040,R1,power,solarPV,retrofit,2050
10,A1,29.30600000000,R1,17,2045,R1,power,solarPV,retrofit,2050
36,A1,10.14690000000,R1,78,2045,R1,power,windturbine,retrofit,2050
56,A1,4.00000000000,R2,0,2025,R2,power,gasCCGT,retrofit,2050
62,A1,8.32770000000,R2,13,2025,R2,power,solarPV,retrofit,2050
63,A1,9.31470000000,R2,14,2030,R2,power,solarPV,retrofit,2050
64,A1,13.05170000000,R2,15,2035,R2,power,solarPV,retrofit,2050
65,A1,9.31470000000,R2,16,2040,R2,power,solarPV,retrofit,2050
66,A1,29.30600000000,R2,17,2045,R2,power,solarPV,retrofit,2050
92,A1,10.14690000000,R2,78,2045,R2,power,windturbine,retrofit,2050
0,A1,3.91000000000,R1,0,2025,R1,gas,gassupply1,retrofit,2050
1,A1,7.50010000000,R1,1,2030,R1,gas,gassupply1,retrofit,2050
8,A1,3.91000000000,R2,0,2025,R2,gas,gassupply1,retrofit,2050
9,A1,7.50010000000,R2,1,2030,R2,gas,gassupply1,retrofit,2050
