,asset,year,technology,region,installed,capacity
0,0,2030,estove,R1,2020,16.14400000000
1,0,2034,estove,R1,2020,16.14400000000
8,1,2030,estove,R1,2025,7.22880000000
9,1,2034,estove,R1,2025,7.22880000000
10,1,2035,estove,R1,2025,7.22880000000
11,1,2039,estove,R1,2025,7.22880000000
18,2,2035,estove,R1,2030,20.14400000000
19,2,2039,estove,R1,2030,20.14400000000
20,2,2040,estove,R1,2030,20.14400000000
21,2,2044,estove,R1,2030,20.14400000000
24,3,2030,estove,R2,2020,16.14400000000
25,3,2034,estove,R2,2020,16.14400000000
32,4,2030,estove,R2,2025,7.22880000000
33,4,2034,estove,R2,2025,7.22880000000
34,4,2035,estove,R2,2025,7.22880000000
35,4,2039,estove,R2,2025,7.22880000000
42,5,2035,estove,R2,2030,20.14400000000
43,5,2039,estove,R2,2030,20.14400000000
44,5,2040,estove,R2,2030,20.14400000000
45,5,2044,estove,R2,2030,20.14400000000
48,6,2030,gasboiler,R1,2025,2.14290000000
49,6,2034,gasboiler,R1,2025,2.14290000000
50,6,2035,gasboiler,R1,2025,2.14290000000
51,6,2039,gasboiler,R1,2025,2.14290000000
56,7,2030,gasboiler,R2,2025,2.14290000000
57,7,2034,gasboiler,R2,2025,2.14290000000
58,7,2035,gasboiler,R2,2025,2.14290000000
59,7,2039,gasboiler,R2,2025,2.14290000000
64,8,2030,gasstove,R1,2025,1.77120000000
65,8,2034,gasstove,R1,2025,1.77120000000
66,8,2035,gasstove,R1,2025,1.77120000000
67,8,2039,gasstove,R1,2025,1.77120000000
72,9,2030,gasstove,R2,2025,1.77120000000
73,9,2034,gasstove,R2,2025,1.77120000000
74,9,2035,gasstove,R2,2025,1.77120000000
75,9,2039,gasstove,R2,2025,1.77120000000
80,10,2030,heatpump,R1,2020,17.85870000000
81,10,2034,heatpump,R1,2020,17.85870000000
88,11,2030,heatpump,R1,2025,8.57170000000
89,11,2034,heatpump,R1,2025,8.57170000000
90,11,2035,heatpump,R1,2025,8.57170000000
91,11,2039,heatpump,R1,2025,8.57170000000
98,12,2035,heatpump,R1,2030,23.57330000000
99,12,2039,heatpump,R1,2030,23.57330000000
100,12,2040,heatpump,R1,2030,23.57330000000
101,12,2044,heatpump,R1,2030,23.57330000000
104,13,2030,heatpump,R2,2020,17.85870000000
105,13,2034,heatpump,R2,2020,17.85870000000
112,14,2030,heatpump,R2,2025,8.57170000000
113,14,2034,heatpump,R2,2025,8.57170000000
114,14,2035,heatpump,R2,2025,8.57170000000
115,14,2039,heatpump,R2,2025,8.57170000000
122,15,2035,heatpump,R2,2030,23.57330000000
123,15,2039,heatpump,R2,2030,23.57330000000
124,15,2040,heatpump,R2,2030,23.57330000000
125,15,2044,heatpump,R2,2030,23.57330000000
