,asset,year,region,installed,technology,capacity
20,2,2050,R1,2040,estove,24.14400000000
21,2,2054,R1,2040,estove,24.14400000000
29,3,2050,R1,2040,heatpump,29.28800000000
30,3,2054,R1,2040,heatpump,29.28800000000
38,4,2050,R1,2045,estove,17.00000000000
39,4,2054,R1,2045,estove,17.00000000000
40,4,2055,R1,2045,estove,17.00000000000
41,4,2059,R1,2045,estove,17.00000000000
47,5,2050,R1,2045,heatpump,22.14400000000
48,5,2054,R1,2045,heatpump,22.14400000000
49,5,2055,R1,2045,heatpump,22.14400000000
50,5,2059,R1,2045,heatpump,22.14400000000
58,6,2055,R1,2050,estove,24.14400000000
59,6,2059,R1,2050,estove,24.14400000000
60,6,2060,R1,2050,estove,24.14400000000
61,6,2064,R1,2050,estove,24.14400000000
67,7,2055,R1,2050,heatpump,29.28800000000
68,7,2059,R1,2050,heatpump,29.28800000000
69,7,2060,R1,2050,heatpump,29.28800000000
70,7,2064,R1,2050,heatpump,29.28800000000
92,10,2050,R2,2040,estove,24.14400000000
93,10,2054,R2,2040,estove,24.14400000000
101,11,2050,R2,2040,heatpump,29.28800000000
102,11,2054,R2,2040,heatpump,29.28800000000
110,12,2050,R2,2045,estove,17.00000000000
111,12,2054,R2,2045,estove,17.00000000000
112,12,2055,R2,2045,estove,17.00000000000
113,12,2059,R2,2045,estove,17.00000000000
119,13,2050,R2,2045,heatpump,22.14400000000
120,13,2054,R2,2045,heatpump,22.14400000000
121,13,2055,R2,2045,heatpump,22.14400000000
122,13,2059,R2,2045,heatpump,22.14400000000
130,14,2055,R2,2050,estove,24.14400000000
131,14,2059,R2,2050,estove,24.14400000000
132,14,2060,R2,2050,estove,24.14400000000
133,14,2064,R2,2050,estove,24.14400000000
139,15,2055,R2,2050,heatpump,29.28800000000
140,15,2059,R2,2050,heatpump,29.28800000000
141,15,2060,R2,2050,heatpump,29.28800000000
142,15,2064,R2,2050,heatpump,29.28800000000
