region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2050,all-year,all-week,night,2.14200000000
R1,0,heat,2055,all-year,all-week,night,2.14200000000
R1,0,cook,2050,all-year,all-week,night,1.71400000000
R1,0,cook,2055,all-year,all-week,night,1.71400000000
R1,1,heat,2050,all-year,all-week,morning,3.21300000000
R1,1,heat,2055,all-year,all-week,morning,3.21300000000
R1,1,cook,2050,all-year,all-week,morning,2.57000000000
R1,1,cook,2055,all-year,all-week,morning,2.57000000000
R1,2,heat,2050,all-year,all-week,mid-afternoon,2.14200000000
R1,2,heat,2055,all-year,all-week,mid-afternoon,2.14200000000
R1,2,cook,2050,all-year,all-week,mid-afternoon,1.71400000000
R1,2,cook,2055,all-year,all-week,mid-afternoon,1.71400000000
R1,3,heat,2050,all-year,all-week,early-peak,3.21300000000
R1,3,heat,2055,all-year,all-week,early-peak,3.21300000000
R1,3,cook,2050,all-year,all-week,early-peak,2.57000000000
R1,3,cook,2055,all-year,all-week,early-peak,2.57000000000
R1,4,heat,2050,all-year,all-week,late-peak,6.42900000000
R1,4,heat,2055,all-year,all-week,late-peak,6.42900000000
R1,4,cook,2050,all-year,all-week,late-peak,5.14300000000
R1,4,cook,2055,all-year,all-week,late-peak,5.14300000000
R1,5,heat,2050,all-year,all-week,evening,4.28700000000
R1,5,heat,2055,all-year,all-week,evening,4.28700000000
R1,5,cook,2050,all-year,all-week,evening,3.43000000000
R1,5,cook,2055,all-year,all-week,evening,3.43000000000
R1,6,heat,2050,all-year,all-week,early-morning,4.28700000000
R1,6,heat,2055,all-year,all-week,early-morning,4.28700000000
R1,6,cook,2050,all-year,all-week,early-morning,3.43000000000
R1,6,cook,2055,all-year,all-week,early-morning,3.43000000000
R1,7,heat,2050,all-year,all-week,late-afternoon,4.28700000000
R1,7,heat,2055,all-year,all-week,late-afternoon,4.28700000000
R1,7,cook,2050,all-year,all-week,late-afternoon,3.43000000000
R1,7,cook,2055,all-year,all-week,late-afternoon,3.43000000000
R2,0,heat,2050,all-year,all-week,night,2.14200000000
R2,0,heat,2055,all-year,all-week,night,2.14200000000
R2,0,cook,2050,all-year,all-week,night,1.71400000000
R2,0,cook,2055,all-year,all-week,night,1.71400000000
R2,1,heat,2050,all-year,all-week,morning,3.21300000000
R2,1,heat,2055,all-year,all-week,morning,3.21300000000
R2,1,cook,2050,all-year,all-week,morning,2.57000000000
R2,1,cook,2055,all-year,all-week,morning,2.57000000000
R2,2,heat,2050,all-year,all-week,mid-afternoon,2.14200000000
R2,2,heat,2055,all-year,all-week,mid-afternoon,2.14200000000
R2,2,cook,2050,all-year,all-week,mid-afternoon,1.71400000000
R2,2,cook,2055,all-year,all-week,mid-afternoon,1.71400000000
R2,3,heat,2050,all-year,all-week,early-peak,3.21300000000
R2,3,heat,2055,all-year,all-week,early-peak,3.21300000000
R2,3,cook,2050,all-year,all-week,early-peak,2.57000000000
R2,3,cook,2055,all-year,all-week,early-peak,2.57000000000
R2,4,heat,2050,all-year,all-week,late-peak,6.42900000000
R2,4,heat,2055,all-year,all-week,late-peak,6.42900000000
R2,4,cook,2050,all-year,all-week,late-peak,5.14300000000
R2,4,cook,2055,all-year,all-week,late-peak,5.14300000000
R2,5,heat,2050,all-year,all-week,evening,4.28700000000
R2,5,heat,2055,all-year,all-week,evening,4.28700000000
R2,5,cook,2050,all-year,all-week,evening,3.43000000000
R2,5,cook,2055,all-year,all-week,evening,3.43000000000
R2,6,heat,2050,all-year,all-week,early-morning,4.28700000000
R2,6,heat,2055,all-year,all-week,early-morning,4.28700000000
R2,6,cook,2050,all-year,all-week,early-morning,3.43000000000
R2,6,cook,2055,all-year,all-week,early-morning,3.43000000000
R2,7,heat,2050,all-year,all-week,late-afternoon,4.28700000000
R2,7,heat,2055,all-year,all-week,late-afternoon,4.28700000000
R2,7,cook,2050,all-year,all-week,late-afternoon,3.43000000000
R2,7,cook,2055,all-year,all-week,late-afternoon,3.43000000000
