asset,capacity,installed,region,technology,year
0,15.00000000000,2020,R1,gassupply1,2020
0,15.39710000000,2020,R1,gassupply1,2025
0,7.89710000000,2020,R1,gassupply1,2030
1,5.10950000000,2025,R1,gassupply1,2030
0,0.39710000000,2020,R1,gassupply1,2035
1,5.10950000000,2025,R1,gassupply1,2035
2,6.35960000000,2030,R1,gassupply1,2035
0,0.39710000000,2020,R1,gassupply1,2040
1,5.10950000000,2025,R1,gassupply1,2040
2,6.35960000000,2030,R1,gassupply1,2040
3,0.32400000000,2035,R1,gassupply1,2040
0,0.39710000000,2020,R1,gassupply1,2045
1,5.10950000000,2025,R1,gassupply1,2045
2,6.35960000000,2030,R1,gassupply1,2045
3,0.32400000000,2035,R1,gassupply1,2045
0,0.39710000000,2020,R1,gassupply1,2050
1,5.10950000000,2025,R1,gassupply1,2050
2,6.35960000000,2030,R1,gassupply1,2050
3,0.32400000000,2035,R1,gassupply1,2050
